Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
9200,1,60,579,1000,2548750,2828777,-525199,0
9240,1,60,539,1000,2548642,2829099,-589557,0
9300,1,60,479,1000,2548503,2829176,-601241,0
9340,1,60,439,1000,2548366,2829222,-577021,0
9380,1,60,399,1000,2548239,2829232,-531614,0
9420,1,60,359,1000,2548118,2829290,-475244,0
9460,1,60,319,1000,2548009,2829269,-413739,0
9520,1,60,259,1000,2547878,2829246,-349930,0
9560,1,60,219,1000,2547749,2829265,-285266,0
9600,1,60,179,1000,2547616,2829223,-220979,0
9640,1,60,139,1000,2547501,2829170,-158606,0
9680,1,60,99,1000,2547359,2829027,-99983.4,0
9720,1,60,59,1000,2547195,2828869,-46958.6,0
9740,1,60,39,1000,2547042,2828795,-1057.78,0
9780,1,60,999,1000,2547033,2828835,36754.7,0
9820,1,60,959,1000,2546962,2828836,66140.7,0
9860,1,60,919,1000,2546868,2828862,87300.5,0
9900,1,60,879,1000,2546776,2828817,100838,0
9960,1,60,819,1000,2546691,2828699,107626,0
9990,1,60,789,1000,2546530,2828596,108669,0
10040,1,60,739,1000,2546441,2828575,105014,0
10070,1,60,709,1000,2546393,2828543,97695.8,0
10120,1,60,659,1000,2546342,2828495,87695.5,0
10150,1,60,629,1000,2546314,2828503,75908.2,0
10160,1,60,619,1000,2546318,2828557,63132.2,0
10200,1,60,579,1000,2546334,2828610,50063.7,0
10240,1,60,539,1000,2546307,2828551,37285,0
10280,1,60,499,1000,2546277,2828547,25260.4,0
10320,1,60,459,1000,2546211,2828492,14342.7,0
10380,1,60,399,1000,2546153,2828473,4781.29,0
10420,1,60,359,1000,2546180,2828540,-3263.48,1
10460,1,60,319,1000,2546170,2828537,-9715.14,0
10500,1,60,279,1000,2546117,2828478,-14588,0
10540,1,60,239,1000,2546137,2828439,-17968.1,0
10590,1,60,189,1000,2546127,2828405,-19985.1,0
10630,1,60,149,1000,2546095,2828334,-20804.3,0
10670,1,60,109,1000,2546060,2828333,-20615.5,0
10710,1,60,69,1000,2546015,2828315,-19613.7,0
10750,1,60,29,1000,2546010,2828331,-17986.5,0
10810,1,60,969,1000,2546000,2828377,-15907.7,0
10850,1,60,929,1000,2545984,2828428,-13539.7,0
10890,1,60,889,1000,2545916,2828390,-11035.7,0
10930,1,60,849,1000,2545948,2828516,-8526.63,0
10970,1,60,809,1000,2545990,2828616,-6109.88,0
11010,1,60,769,1000,2545928,2828543,-3866.29,0
11050,1,60,729,1000,2545904,2828544,-1868.49,0
11090,1,60,689,1000,2545868,2828478,-162.846,0
11130,1,60,649,1000,2545856,2828512,1233.43,0
11170,1,60,609,1000,2545868,2828529,2324.81,0
11220,1,60,559,1000,2545819,2828458,3125.81,0
11270,1,60,509,1000,2545782,2828395,3652.31,0
11300,1,60,479,1000,2545841,2828463,3933.59,0
11350,1,60,429,1000,2545903,2828525,4014.33,0
11380,1,60,399,1000,2545802,2828346,3926.06,0
11440,1,60,339,1000,2545759,2828272,3683.22,0
11480,1,60,299,1000,2545783,2828378,3316.6,0
11520,1,60,259,1000,2545824,2828506,2876.61,0
11560,1,60,219,1000,2545824,2828535,2405.85,0
11600,1,60,179,1000,2545782,2828496,1926.41,0
11640,1,60,139,1000,2545793,2828512,1451.99,0
11640,1,60,139,1000,2545791,2828529,1000.52,0
11680,1,60,99,1000,2545769,2828539,587.363,0
11720,1,60,59,1000,2545752,2828561,221.03,0
11760,1,60,19,1000,2545760,2828566,-90.6822,1
11800,1,60,979,1000,2545681,2828487,-345.134,0
11860,1,60,919,1000,2545646,2828406,-547.333,0
11900,1,60,879,1000,2545543,2828088,-702.288,0
11940,1,60,839,1000,2545328,2827605,-821.772,0
11980,1,60,799,1000,2545288,2827384,-911.887,0
12020,1,60,759,1000,2545333,2827512,-949.692,0
12080,1,60,699,1000,2545444,2827864,-905.791,0
12120,1,60,659,1000,2545560,2828226,-775.645,0
12160,1,60,619,1000,2545616,2828415,-586.713,0
12200,1,60,579,1000,2545609,2828530,-387.884,0
12240,1,60,539,1000,2545571,2828439,-224.775,0
12280,1,60,499,1000,2545535,2828431,-118.87,0
12300,1,60,479,1000,2545599,2828483,-59.3031,0
12340,1,60,439,1000,2545566,2828463,-20.7522,0
12380,1,60,399,1000,2545515,2828422,7.60378,0
12420,1,60,359,1000,2545574,2828545,31.2466,0
12460,1,60,319,1000,2545597,2828588,61.822,0
12500,1,60,279,1000,2545537,2828533,96.5474,0
12540,1,60,239,1000,2545540,2828523,121.135,0
12580,1,60,199,1000,2545542,2828545,132.068,0
12620,1,60,159,1000,2545580,2828616,135.862,0
12660,1,60,119,1000,2545566,2828618,137.092,0
12720,1,60,59,1000,2545551,2828604,132.904,0
12760,1,60,19,1000,2545551,2828621,120.29,0
12800,1,60,979,1000,2545521,2828604,100.183,0
12840,1,60,939,1000,2545544,2828627,76.2135,0
12880,1,60,899,1000,2545520,2828613,53.6257,0
12930,1,60,849,1000,2545471,2828595,31.2615,0
12970,1,60,809,1000,2545493,2828619,8.07361,0
13010,1,60,769,1000,2545487,2828594,-9.66989,1
13050,1,60,729,1000,2545439,2828510,-21.4393,0
13090,1,60,689,1000,2545387,2828419,-34.7412,0
13150,1,60,629,1000,2545382,2828400,-51.1917,0
13190,1,60,589,1000,2545397,2828455,-62.3272,0
13230,1,60,549,1000,2545406,2828499,-60.1822,0
13270,1,60,509,1000,2545404,2828499,-45.6757,0
13310,1,60,469,1000,2545426,2828562,-24.4464,0
13350,1,60,429,1000,2545448,2828592,-0.542273,0
13390,1,60,389,1000,2545411,2828570,19.6682,0
13430,1,60,349,1000,2545409,2828543,28.4366,0
13470,1,60,309,1000,2545420,2828571,26.9963,0
13510,1,60,269,1000,2545416,2828561,22.0884,0
13570,1,60,209,1000,2545399,2828556,16.3842,0
13610,1,60,169,1000,2545415,2828610,11.0818,0
13650,1,60,129,1000,2545397,2828578,7.83344,0
13690,1,60,89,1000,2545357,2828536,3.49036,0
13730,1,60,49,1000,2545358,2828531,-4.80406,1
13770,1,60,9,1000,2545365,2828495,-12.5036,0
13780,1,60,999,1000,2545330,2828445,-16.4876,0
13820,1,60,959,1000,2545330,2828400,-18.6963,0
13860,1,60,919,1000,2545318,2828339,-19.3688,0
13900,1,60,879,1000,2545297,2828347,-18.7688,0
13940,1,60,839,1000,2545301,2828291,-17.5576,0
14000,1,60,779,1000,2545277,2828213,-15.3655,0
14040,1,60,739,1000,2545259,2828191,-13.7387,0
14080,1,60,699,1000,2545271,2828211,-12.2839,0
14120,1,60,659,1000,2545239,2828170,-9.44089,0
14160,1,60,619,1000,2545261,2828219,-5.31353,0
14200,1,60,579,1000,2545268,2828307,2.13466,0
14210,1,60,569,1000,2545279,2828314,13.6257,0
14240,1,60,539,1000,2545287,2828298,26.4466,0
14290,1,60,489,1000,2545261,2828254,35.6323,0
14320,1,60,459,1000,2545251,2828253,36.1233,0
14370,1,60,409,1000,2545247,2828276,28.6278,0
14420,1,60,359,1000,2545262,2828283,19.2373,0
14460,1,60,319,1000,2545234,2828335,11.8168,0
14500,1,60,279,1000,2545262,2828317,7.05987,0
