Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
42770,1,60,276,1000,2542070,2827032,143496,0
42810,1,60,236,1000,2542069,2827035,572834,0
42850,1,60,196,1000,2542050,2827020,1.06421e+06,0
42890,1,60,156,1000,2542045,2827026,1.30285e+06,0
42930,1,60,116,1000,2542053,2827024,1.20905e+06,0
42990,1,60,56,1000,2542040,2827045,862241,0
43030,1,60,16,1000,2542038,2827025,404807,0
43070,1,60,750,1000,2542065,2827077,-32907.4,1
43110,1,60,710,1000,2542039,2827093,-370589,0
43150,1,60,670,1000,2542036,2827060,-582755,0
43190,1,60,630,1000,2542028,2827052,-683531,0
43230,1,60,590,1000,2542009,2826977,-705407,0
43270,1,60,550,1000,2541972,2826917,-681681,0
43310,1,60,510,1000,2541927,2826819,-636704,0
43350,1,60,470,1000,2541883,2826721,-583577,0
43410,1,60,410,1000,2541859,2826644,-526637,0
43450,1,60,370,1000,2541821,2826520,-465670,0
43490,1,60,330,1000,2541737,2826204,-399611,0
43530,1,60,290,1000,2541497,2825406,-328679,0
43570,1,60,250,1000,2821073,3096547,-239104,0
43610,1,60,210,1000,1459936,1716551,-195315,0
43620,1,60,200,1000,38742,310586,-381940,0
43660,1,60,160,1000,9810,13422,-798068,0
43700,1,60,120,1000,4110,5457,-1.16285e+06,0
43740,1,60,80,1000,2185,2632,-1.24777e+06,0
43780,1,60,40,1000,1834,1489,-1.03126e+06,0
43820,1,60,0,1000,1830,1440,-617273,0
43860,1,60,960,1000,1848,1453,-145845,0
43900,1,60,920,1000,1834,1452,269394,0
43940,1,60,880,1000,1838,1450,567665,0
43980,1,60,840,1000,1836,1441,738534,0
44040,1,60,780,1000,1813,1433,804149,0
44080,1,60,740,1000,1828,1447,798907,0
44120,1,60,700,1000,1825,1445,754384,0
44160,1,60,660,1000,1823,1442,692105,0
44200,1,60,620,1000,1831,1430,622928,0
44240,1,60,580,1000,1843,1445,550210,0
44260,1,60,560,1000,1855,1446,473899,0
44300,1,60,520,1000,1847,1445,393720,0
44340,1,60,480,1000,1851,1437,310775,0
44380,1,60,440,1000,1847,1428,227702,0
44420,1,60,400,1000,1863,1412,148000,0
44480,1,60,340,1000,1845,1412,75116.1,0
44520,1,60,300,1000,1823,1409,11733.1,0
44560,1,60,750,1000,1834,1376,-40562.3,1
44600,1,60,710,1000,1847,1333,-81272.2,0
44640,1,60,670,1000,1843,1288,-110771,0
44680,1,60,630,1000,1862,1288,-130006,0
44720,1,60,590,1000,1853,1305,-140229,0
