Time (s),Red,IR,filtered,isZeroX
38.23,3086911,3374647,0,0
38.27,3086871,3374543,0,0
38.31,3086909,3374577,0,0
38.35,3086960,3374724,0,0
38.39,3087010,3374909,0,0
38.65,3087264,3375521,0,0
38.69,3087282,3375568,0,0
38.73,3087158,3375258,0,0
38.77,3086865,3374437,0,0
38.81,3086690,3373967,0,0
38.88,3086685,3373968,0,0
38.92,3086782,3374211,0,0
38.96,3086951,3374664,0,0
39.00,3087094,3375044,0,0
39.04,3087124,3375128,0,0
39.10,3087090,3375085,0,0
39.14,3087096,3375090,0,0
39.18,3087130,3375179,0,0
39.22,3087198,3375328,0,0
39.26,3087246,3375488,0,0
39.30,3087315,3375604,0,0
39.30,3087346,3375711,0,0
39.34,3087378,3375774,0,0
39.38,3087385,3375813,0,0
39.42,3087418,3375899,0,0
39.46,3087454,3376023,0,0
39.52,3087515,3376113,0,0
39.56,3087473,3376085,0,0
39.60,3087212,3375441,0,0
39.64,3086992,3374746,0,0
39.68,3086916,3374532,0,0
39.74,3086983,3374727,0,0
39.78,3087153,3375223,0,0
39.82,3087296,3375629,0,0
39.86,3087357,3375752,0,0
39.90,3087319,3375683,0,0
39.94,3087292,3375600,0,0
39.95,3087307,3375636,0,0
39.99,3087352,3375770,0,0
40.03,3087386,3375898,0,0
40.07,3087419,3375994,0,0
40.11,3087454,3376063,0,0
40.17,3087449,3376069,0,0
40.21,3087440,3376040,0,0
40.25,3087452,3376063,0,0
40.29,3087476,3376192,0,0
40.33,3087521,3376286,0,0
40.39,3087465,3376142,0,0
40.43,3087230,3375501,0,0
40.47,3086951,3374743,0,0
40.51,3086846,3374455,0,0
40.55,3086876,3374583,0,0
40.59,3087031,3374971,0,0
40.59,3087139,3375300,0,0
40.63,3087197,3375423,0,0
40.67,3087150,3375322,0,0
40.71,3087107,3375207,0,0
40.75,3087119,3375257,0,0
40.81,3087166,3375393,0,0
40.85,3087218,3375508,0,0
40.89,3087254,3375639,0,0
40.93,3087321,3375822,0,0
40.97,3087326,3375865,0,0
41.03,3087363,3375968,0,0
41.07,3087400,3376071,0,0
41.11,3087418,3376132,0,0
41.15,3087325,3375903,0,0
41.19,3087013,3375053,0,0
41.24,3086722,3374245,0,0
41.28,3086570,3373924,0,0
41.32,3086574,3373980,0,0
41.36,3086676,3374268,0,0
41.40,3086809,3374597,0,0
41.46,3086857,3374769,0,0
41.50,3086849,3374755,0,0
41.54,3086811,3374715,0,0
41.58,3086828,3374773,0,0
41.62,3086893,3374941,0,0
41.66,3086962,3375105,0,0
41.68,3087029,3375300,0,0
41.72,3087087,3375451,0,0
41.76,3087104,3375532,0,0
41.80,3087134,3375583,0,0
41.84,3087148,3375631,0,0
41.88,3087190,3375728,0,0
41.92,3087224,3375840,0,0
41.96,3087184,3375777,0,0
42.00,3086921,3375031,0,0
42.04,3086578,3374106,0,0
42.10,3086383,3373657,0,0
42.15,3086351,3373623,0,0
42.19,3086442,3373875,0,0
