Time (s),Red,IR
8.25,3090998,3099392
8.29,3091045,3099520
8.33,3091109,3099629
8.37,3091137,3099767
8.43,3091146,3099775
8.47,3091005,3099470
8.51,3090811,3099003
8.55,3090648,3098655
8.59,3090574,3098453
8.64,3090586,3098411
8.68,3090603,3098500
8.72,3090609,3098542
8.76,3090593,3098527
8.80,3090598,3098481
8.86,3090648,3098579
8.90,3090683,3098729
8.94,3090739,3098827
8.98,3090790,3098938
9.02,3090826,3099067
9.06,3090866,3099145
9.10,3090892,3099239
9.14,3090959,3099372
9.18,3091004,3099519
9.22,3091028,3099587
9.28,3090928,3099370
9.32,3090701,3098794
9.36,3090468,3098199
9.40,3090286,3097759
9.44,3090201,3097486
9.49,3090187,3097443
9.54,3090211,3097499
9.57,3090199,3097508
9.62,3090190,3097437
9.65,3090206,3097453
9.70,3090251,3097538
9.70,3090304,3097645
9.73,3090361,3097776
9.78,3090426,3097932
9.81,3090515,3098084
9.86,3090559,3098200
9.92,3090601,3098325
9.96,3090670,3098456
10.00,3090724,3098608
10.04,3090792,3098770
10.08,3090819,3098847
10.13,3090729,3098606
10.17,3090490,3097969
10.21,3090241,3097295
10.25,3090054,3096818
10.29,3089967,3096573
10.33,3090002,3096631
10.35,3090057,3096790
10.39,3090089,3096825
10.43,3090084,3096815
10.47,3090140,3096905
10.51,3090203,3097001
10.55,3090276,3097174
10.59,3090354,3097371
10.63,3090448,3097543
10.67,3090530,3097710
10.71,3090596,3097904
10.77,3090653,3098028
10.81,3090718,3098205
10.85,3090792,3098353
10.89,3090875,3098517
10.93,3090929,3098656
10.97,3090881,3098633
10.99,3090682,3098119
11.03,3090410,3097444
11.07,3090213,3096911
11.11,3090120,3096656
11.15,3090128,3096615
11.21,3090199,3096763
11.25,3090240,3096922
11.29,3090257,3096948
11.33,3090279,3096980
11.37,3090317,3097074
11.41,3090485,3097417
11.45,3090574,3097619
11.49,3090646,3097785
11.53,3090711,3097919
11.57,3090782,3098090
11.62,3090835,3098233
11.66,3090885,3098373
11.71,3090970,3098534
11.74,3091028,3098677
