Time (s),Red,IR,filtered,isZeroX
52.08,3362888,3383613,25.33,0
52.12,3362862,3383623,18.02,0
52.16,3362924,3383711,18.25,0
52.20,3362927,3383743,29.1,0
52.24,3362962,3383836,46.92,0
52.30,3362909,3383847,60.92,0
52.34,3362902,3383863,60.41,0
52.38,3362951,3383941,48.63,0
52.42,3362890,3383894,34.13,0
52.46,3362827,3383734,12.9,0
52.52,3362715,3383479,-22.33,1
52.56,3362697,3383439,-67.22,0
52.60,3362727,3383507,-101.76,0
52.64,3362713,3383578,-108.91,0
52.68,3362754,3383691,-88.57,0
52.72,3362768,3383751,-49.01,0
52.73,3362822,3383829,-0.83,0
52.77,3362810,3383840,44.06,0
52.80,3362825,3383869,74.32,0
52.84,3362786,3383871,83.64,0
52.88,3362801,3383884,73.84,0
52.95,3362838,3383966,56.88,0
52.99,3362812,3383959,43.15,0
53.03,3362835,3384049,33.31,0
53.07,3362839,3384050,27.25,0
53.11,3362831,3384074,23.46,0
53.17,3362826,3384112,18.06,0
53.21,3362796,3384098,8.26,0
53.25,3362792,3384084,-6.19,1
53.29,3362674,3383859,-27.51,0
53.33,3362605,3383674,-60.96,0
53.37,3362555,3383616,-101.11,0
53.37,3362576,3383645,-130.02,0
53.41,3362566,3383691,-132.82,0
53.45,3362576,3383770,-109.06,0
53.49,3362591,3383829,-67.84,0
53.53,3362552,3383806,-22.99,0
53.57,3362569,3383786,12.63,0
53.61,3362580,3383818,37.14,0
53.65,3362561,3383836,52.59,0
53.69,3362575,3383862,59.73,0
53.73,3362574,3383878,61.93,0
53.79,3362566,3383922,61.36,0
53.83,3362575,3383973,58.54,0
53.87,3362594,3383997,56.03,0
53.91,3362567,3384025,53.72,0
53.95,3362597,3384072,49.5,0
54.01,3362564,3384054,43.0,0
54.05,3362530,3384030,30.79,0
54.09,3362490,3383881,9.86,0
54.13,3362366,3383621,-22.09,1
54.17,3362398,3383637,-60.54,0
54.21,3362439,3383668,-84.24,0
54.22,3362454,3383788,-78.15,0
54.26,3362472,3383882,-48.35,0
54.30,3362425,3383815,-12.65,0
54.34,3362420,3383785,11.75,0
54.38,3362396,3383745,19.62,0
54.44,3362346,3383697,12.83,0
54.48,3362365,3383704,-2.04,1
54.52,3362404,3383785,-10.54,0
54.56,3362418,3383842,-3.11,0
54.60,3362409,3383789,15.07,0
54.66,3362399,3383846,32.13,0
54.70,3362362,3383793,38.66,0
54.74,3362347,3383836,31.57,0
54.78,3362349,3383818,16.58,0
54.82,3362292,3383747,-0.15,0
54.86,3362245,3383577,-19.23,1
54.90,3362168,3383383,-42.43,0
54.94,3362127,3383341,-67.67,0
54.98,3362207,3383442,-81.43,0
55.02,3362193,3383466,-69.56,0
55.06,3362242,3383603,-35.45,0
55.10,3362261,3383651,9.34,0
55.14,3362211,3383551,48.75,0
55.18,3362175,3383525,65.64,0
55.22,3362194,3383569,59.62,0
55.28,3362165,3383555,43.03,0
55.32,3362162,3383599,25.08,0
55.36,3362215,3383671,14.66,0
55.40,3362195,3383666,17.04,0
55.44,3362202,3383741,25.82,0
55.48,3362218,3383786,34.17,0
55.52,3362278,3383856,43.19,0
55.56,3362249,3383849,52.38,0
55.60,3362198,3383771,51.31,0
55.68,3361995,3383321,22.45,0
55.72,3361983,3383282,-37.62,1
55.76,3362001,3383358,-99.47,0
55.80,3362017,3383430,-129.69,0
55.90,3362013,3383498,-121.09,0
55.94,3361942,3383412,-90.2,0
55.98,3361994,3383474,-55.41,0
56.02,3361977,3383430,-21.79,0
56.06,3362008,3383532,8.8,0
56.10,3361996,3383535,33.63,0
56.14,3361998,3383552,50.22,0
56.18,3362012,3383612,58.63,0
56.22,3362017,3383676,62.23,0
56.26,3362018,3383716,62.73,0
56.31,3362067,3383774,62.9,0
56.35,3362064,3383795,65.49,0
56.39,3362038,3383765,65.27,0
56.43,3361946,3383558,50.82,0
56.47,3361867,3383330,14.58,0
56.52,3361801,3383214,-37.92,1
56.56,3361788,3383243,-88.89,0
56.60,3361857,3383351,-114.97,0
56.65,3361880,3383468,-102.12,0
56.69,3361899,3383569,-58.99,0
56.74,3361871,3383505,-8.65,0
56.78,3361880,3383537,29.17,0
56.83,3361884,3383553,48.67,0
56.87,3361902,3383635,54.56,0
56.91,3361880,3383651,52.02,0
56.95,3361855,3383649,42.12,0
56.99,3361873,3383701,28.02,0
57.03,3361868,3383693,16.66,0
57.07,3361895,3383753,12.28,0
57.11,3361860,3383731,13.06,0
57.17,3361835,3383722,11.38,0
57.21,3361782,3383627,0.72,0
57.25,3361676,3383371,-23.34,1
57.29,3361633,3383152,-59.82,0
57.33,3361600,3383082,-95.68,0
57.37,3361631,3383139,-113.28,0
57.39,3361647,3383222,-101.96,0
57.43,3361686,3383335,-63.96,0
57.47,3361648,3383350,-14.6,0
57.51,3361678,3383377,28.32,0
57.55,3361664,3383359,56.88,0
57.59,3361684,3383423,71.09,0
57.63,3361699,3383448,75.55,0
57.67,3361703,3383517,75.4,0
57.71,3361748,3383601,74.48,0
57.75,3361730,3383618,74.27,0
57.79,3361750,3383650,71.5,0
57.83,3361751,3383619,64.51,0
57.87,3361746,3383636,53.37,0
57.91,3361740,3383671,37.88,0
57.95,3361717,3383633,18.65,0
58.02,3361653,3383472,-5.9,1
58.05,3361533,3383190,-41.54,0
58.09,3361497,3383079,-87.65,0
58.13,3361489,3383086,-127.83,0
58.17,3361555,3383221,-140.47,0
58.22,3361562,3383304,-116.88,0
58.23,3361576,3383398,-68.89,0
58.27,3361576,3383404,-16.59,0
58.31,3361553,3383342,23.67,0
58.35,3361572,3383416,45.1,0
58.39,3361525,3383384,49.49,0
58.44,3361557,3383454,42.49,0
58.48,3361534,3383511,32.93,0
58.52,3361558,3383575,26.82,0
58.56,3361584,3383611,27.91,0
58.60,3361576,3383627,35.65,0
58.66,3361596,3383661,44.12,0
58.70,3361587,3383686,48.83,0
58.74,3361609,3383694,48.23,0
58.78,3361599,3383699,43.08,0
58.82,3361534,3383486,30.2,0
58.86,3361400,3383191,-0.39,0
58.88,3361340,3383102,-51.19,1
58.92,3361364,3383105,-102.42,0
58.96,3361358,3383145,-128.28,0
59.00,3361382,3383223,-120.22,0
59.04,3361390,3383258,-85.33,0
59.08,3361369,3383217,-39.81,0
59.12,3361346,3383212,-1.71,0
59.16,3361361,3383261,21.49,0
59.20,3361391,3383322,35.25,0
59.24,3361361,3383300,44.69,0
59.28,3361418,3383376,51.49,0
59.32,3361395,3383376,58.17,0
59.36,3361430,3383446,63.81,0
59.40,3361424,3383419,66.86,0
59.44,3361439,3383452,66.3,0
59.50,3361444,3383463,61.64,0
59.54,3361409,3383439,51.46,0
59.58,3361494,3383486,38.86,0
59.62,3361411,3383283,28.24,0
59.66,3361302,3383040,7.47,0
59.70,3361307,3383019,-29.79,1
59.71,3361305,3383033,-66.29,0
59.75,3361367,3383178,-81.98,0
59.79,3361360,3383222,-70.61,0
59.83,3361376,3383268,-42.28,0
59.87,3361411,3383272,-9.44,0
59.91,3361331,3383186,15.52,0
59.95,3361389,3383233,24.04,0
59.99,3361390,3383230,23.47,0
60.03,3361447,3383330,24.8,0
60.07,3361488,3383427,34.03,0
60.13,3361450,3383424,46.68,0
60.17,3361547,3383588,55.76,0
60.21,3361461,3383497,58.56,0
60.25,3361466,3383556,47.33,0
60.29,3361469,3383547,23.81,0
60.33,3361456,3383533,-1.34,1
60.37,3361392,3383432,-25.84,0
60.41,3361259,3383135,-57.5,0
60.45,3361244,3383040,-98.27,0
60.49,3361209,3382995,-133.23,0
60.53,3361261,3383114,-144.41,0
60.57,3361276,3383186,-123.39,0
60.61,3361356,3383305,-73.84,0
60.65,3361377,3383338,-8.51,0
60.69,3361315,3383230,49.02,0
60.75,3361321,3383278,77.81,0
60.79,3361369,3383381,81.7,0
60.83,3361352,3383369,75.39,0
60.87,3361390,3383456,66.86,0
60.91,3361483,3383620,65.82,0
60.97,3361454,3383625,75.39,0
61.01,3361498,3383699,84.73,0
61.05,3361507,3383744,86.61,0
61.09,3361473,3383712,77.05,0
61.13,3361408,3383612,49.54,0
61.18,3361318,3383271,1.73,0
61.22,3361215,3383030,-61.94,1
61.26,3361201,3383019,-126.29,0
61.30,3361204,3383088,-167.99,0
61.34,3361263,3383263,-169.94,0
61.40,3361335,3383423,-129.01,0
61.44,3361332,3383391,-60.52,0
61.48,3361332,3383377,6.97,0
61.52,3361363,3383446,54.33,0
61.56,3361331,3383412,76.82,0
61.62,3361372,3383500,77.97,0
61.66,3361368,3383538,68.44,0
61.70,3361385,3383592,56.97,0
61.74,3361334,3383563,44.19,0
61.78,3361368,3383620,29.4,0
61.82,3361423,3383725,20.55,0
