Time (s)	Red	IR
43.222	2819146	3110677
43.262	2819143	3110664
43.302	2819154	3110727
43.342	2819171	3110829
43.382	2819195	3110938
44.271	2819229	3111076
44.311	2819215	3111083
44.351	2819225	3111086
44.391	2819233	3111119
44.431	2819235	3111163
44.492	2819238	3111213
44.532	2819267	3111251
44.572	2819268	3111306
44.612	2819290	3111348
44.652	2819275	3111365
44.692	2819299	3111397
44.694	2819295	3111459
44.734	2819352	3111487
44.774	2819350	3111496
44.814	2819304	3111324
44.854	2819215	3111068
44.896	2819170	3110995
44.936	2819186	3111062
44.976	2819239	3111195
45.016	2819287	3111316
45.056	2819322	3111390
45.096	2819335	3111412
45.136	2819327	3111418
45.176	2819320	3111438
45.216	2819313	3111491
45.256	2819358	3111527
45.301	2819331	3111572
45.341	2819379	3111597
45.381	2819388	3111637
45.421	2819383	3111636
45.461	2819389	3111631
45.522	2819381	3111664
45.562	2819392	3111683
45.602	2819395	3111703
45.642	2819366	3111622
45.682	2819298	3111398
45.741	2819228	3111211
45.781	2819207	3111204
45.821	2819242	3111262
45.861	2819274	3111344
45.901	2819288	3111413
45.941	2819285	3111437
45.946	2819279	3111433
45.986	2819282	3111419
46.026	2819284	3111407
46.066	2819254	3111409
46.106	2819279	3111406
46.166	2819273	3111442
46.206	2819280	3111491
46.246	2819286	3111507
46.286	2819299	3111548
46.326	2819324	3111559
46.386	2819308	3111540
46.426	2819307	3111601
46.466	2819279	3111503
46.506	2819202	3111270
46.546	2819140	3111102
46.586	2819127	3111059
46.591	2819171	3111139
46.631	2819180	3111248
46.671	2819232	3111348
46.711	2819232	3111390
46.751	2819234	3111374
46.812	2819221	3111374
46.852	2819228	3111396
46.892	2819246	3111458
46.932	2819252	3111478
46.972	2819285	3111453
47.032	2819277	3111542
47.072	2819262	3111543
47.112	2819246	3111537
47.152	2819277	3111578
47.192	2819291	3111617
47.237	2819299	3111587
47.277	2819227	3111376
47.317	2819129	3111125
47.357	2819130	3111070
47.397	2819130	3111123
47.458	2819180	3111232
47.498	2819204	3111341
47.538	2819239	3111432
47.578	2819251	3111453
47.618	2819258	3111477
47.658	2819253	3111519
47.678	2819271	3111551
47.718	2819270	3111593
47.758	2819281	3111624
47.798	2819304	3111656
47.838	2819304	3111667
47.883	2819312	3111680
47.923	2819340	3111712
47.963	2819350	3111774
48.003	2819380	3111828
48.043	2819367	3111839
48.102	2819318	3111694
48.142	2819293	3111581
48.182	2819327	3111672
48.222	2819362	3111801
48.262	2819403	3111903
48.302	2819422	3111975
48.303	2819399	3111953
48.343	2819364	3111852
48.383	2819354	3111775
48.423	2819341	3111709
48.463	2819313	3111710
48.506	2819340	3111779
48.546	2819400	3111954
48.586	2819490	3112153
48.626	2819543	3112251
48.666	2819515	3112187
48.727	2819463	3112069
48.767	2819470	3112068
48.807	2819483	3112094
48.847	2819533	3112181
48.887	2819484	3112005
48.928	2819411	3111809
48.968	2819366	3111687
49.008	2819351	3111619
49.048	2819361	3111689
49.088	2819367	3111694
49.13	2819330	3111596
49.17	2819310	3111500
49.21	2819277	3111439
49.25	2819277	3111439
49.29	2819259	3111413
49.35	2819288	3111403
49.39	2819285	3111468
49.43	2819320	3111561
49.47	2819319	3111602
49.51	2819333	3111614
49.55	2819356	3111697
49.554	2819333	3111699
49.594	2819332	3111653
49.634	2819260	3111464
49.674	2819143	3111099
49.714	2819124	3110951
49.776	2819109	3110969
49.816	2819121	3111049
49.856	2819164	3111184
49.896	2819205	3111292
49.936	2819236	3111383
49.997	2819230	3111356
50.037	2819238	3111330
50.077	2819213	3111333
50.117	2819232	3111317
50.157	2819216	3111322
50.197	2819218	3111344
50.198	2819206	3111418
50.238	2819281	3111523
50.278	2819312	3111614
50.318	2819342	3111676
50.358	2819318	3111670
50.4	2819283	3111507
50.44	2819153	3111183
50.48	2819060	3110932
50.52	2819041	3110866
50.56	2819079	3110995
50.621	2819131	3111173
50.661	2819185	3111333
50.701	2819226	3111428
50.741	2819241	3111484
50.781	2819226	3111469
50.823	2819193	3111404
50.863	2819178	3111375
50.903	2819170	3111326
50.943	2819187	3111315
50.983	2819187	3111311
51.024	2819227	3111445
51.064	2819272	3111548
51.104	2819298	3111703
51.144	2819298	3111693
51.246	2819106	3111114
51.286	2819006	3110883
51.326	2819010	3110878
51.366	2819030	3110996
51.406	2819092	3111082
51.449	2819114	3111254
51.489	2819158	3111368
51.529	2819188	3111386
51.569	2819177	3111374
51.609	2819175	3111394
51.671	2819193	3111396
51.711	2819178	3111410
51.751	2819189	3111454
51.791	2819208	3111504
51.831	2819219	3111573
51.871	2819268	3111669
51.872	2819319	3111824
51.912	2819389	3111996
51.952	2819395	3112037
51.992	2819291	3111797
52.032	2819138	3111387
52.075	2819018	3110984
52.115	2818982	3110827
52.155	2818980	3110803
52.195	2819005	3110921
52.235	2819023	3110990
52.297	2819022	3111049
52.337	2819013	3110977
52.377	2818999	3110942
52.417	2818988	3110943
52.457	2818999	3110941
52.518	2819001	3110979
52.558	2818998	3110990
52.598	2819012	3111063
52.638	2819023	3111081
52.678	2818992	3111077
52.718	2819010	3111094
52.721	2819023	3111153
52.761	2819024	3111191
52.801	2819004	3111152
52.841	2818930	3110833
52.881	2818813	3110509
52.922	2818754	3110458
52.962	2818764	3110491
53.002	2818805	3110609
53.042	2818843	3110721
53.082	2818876	3110778
53.142	2818863	3110768
53.182	2818876	3110747
53.222	2818860	3110809
53.262	2818887	3110859
53.302	2818897	3110916
53.347	2818904	3110946
53.387	2818928	3111016
53.427	2818927	3111068
53.467	2818955	3111119
53.507	2818970	3111118
53.568	2818978	3111149
53.608	2818961	3111228
53.648	2818983	3111233
53.688	2818927	3111076
53.728	2818782	3110679
53.768	2818682	3110422
53.787	2818681	3110432
53.827	2818711	3110527
53.867	2818759	3110682
53.907	2818814	3110813
53.947	2818826	3110881
53.992	2818843	3110887
54.032	2818829	3110876
54.072	2818838	3110896
54.112	2818854	3110924
54.152	2818864	3110966
54.213	2818876	3111002
54.253	2818877	3111033
54.293	2818904	3111073
54.333	2818904	3111092
54.373	2818906	3111118
54.413	2818910	3111152
54.433	2818917	3111191
54.473	2818932	3111240
54.513	2818934	3111223
54.553	2818828	3110910
54.593	2818719	3110573
54.638	2818669	3110534
54.678	2818713	3110624
54.718	2818771	3110803
54.758	2818855	3110982
54.798	2818859	3111089
54.857	2818909	3111155
54.897	2818903	3111183
54.937	2818917	3111228
54.977	2818917	3111282
55.017	2818954	3111343
55.077	2818960	3111379
55.117	2818982	3111410
55.157	2818991	3111456
55.197	2818990	3111473
55.237	2818988	3111475
55.281	2818991	3111520
55.321	2819018	3111571
55.361	2818965	3111461
55.401	2818870	3111137
55.502	2818754	3110819
55.542	2818770	3110877
55.582	2818812	3110996
55.622	2818852	3111077
55.662	2818873	3111124
55.722	2818867	3111107
55.762	2818863	3111118
55.802	2818822	3111069
55.842	2818820	3111109
55.882	2818847	3111176
55.926	2818890	3111249
55.966	2818899	3111300
56.006	2818889	3111307
56.046	2818903	3111346
56.086	2818910	3111371
56.147	2818928	3111374
56.187	2818935	3111419
56.227	2818936	3111420
56.267	2818872	3111275
56.307	2818758	3110935
56.347	2818695	3110753
56.387	2818717	3110771
56.427	2818739	3110877
56.467	2818780	3111019
56.507	2818821	3111093
56.55	2818826	3111137
56.59	2818826	3111140
56.63	2818803	3111094
56.67	2818806	3111111
56.71	2818821	3111120
56.771	2818835	3111170
56.811	2818832	3111214
56.851	2818844	3111215
56.891	2818866	3111281
56.931	2818861	3111316
56.971	2818856	3111314
56.972	2818885	3111324
57.012	2818880	3111351
57.052	2818886	3111403
57.092	2818903	3111436
57.132	2818849	3111301
57.175	2818725	3110964
57.215	2818688	3110793
57.255	2818694	3110806
57.295	2818716	3110870
57.335	2818743	3111005
57.397	2818793	3111112
57.437	2818805	3111133
57.477	2818807	3111147
57.517	2818801	3111126
57.557	2818811	3111112
57.598	2818805	3111153
57.638	2818814	3111187
57.678	2818841	3111223
57.718	2818851	3111248
57.758	2818857	3111265
57.8	2818868	3111295
57.84	2818873	3111324
57.88	2818882	3111356
57.92	2818875	3111377
57.96	2818895	3111434
58	2818902	3111475
58.04	2818908	3111462
58.08	2818824	3111242
58.12	2818736	3110962
58.16	2818718	3110901
58.205	2818717	3110962
58.245	2818781	3111096
58.285	2818813	3111207
58.325	2818836	3111304
58.365	2818863	3111331
58.426	2818868	3111360
58.466	2818853	3111357
58.506	2818866	3111374
58.546	2818900	3111363
