Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
41140,1,60,906,1000,5491,10137,309.902,0
41180,1,60,866,1000,5490,10137,1237.07,0
41220,1,60,826,1000,5487,10138,2297.94,0
41260,1,60,786,1000,5486,10139,2812.57,0
41300,1,60,746,1000,5491,10142,2609.44,0
41360,1,60,686,1000,5478,10132,1860.13,0
41400,1,60,646,1000,5481,10125,871.324,0
41440,1,60,750,1000,5481,10106,-74.9049,1
41480,1,60,710,1000,5478,10104,-804.34,0
41520,1,60,670,1000,5487,10095,-1261.65,0
41560,1,60,630,1000,5499,10082,-1476.25,0
41600,1,60,590,1000,5486,10075,-1519.25,0
41640,1,60,550,1000,5489,10084,-1465.5,0
41680,1,60,510,1000,5484,10070,-1368.57,0
41760,1,60,430,1000,5465,10090,-1257.03,0
41800,1,60,390,1000,5473,10096,-1139.59,0
41840,1,60,350,1000,5487,10095,-1011.61,0
41880,1,60,310,1000,5470,10097,-868.827,0
41980,1,60,210,1000,5480,10099,-713.81,0
42020,1,60,170,1000,5486,10108,-551.471,0
42060,1,60,130,1000,5480,10113,-389.34,0
42100,1,60,90,1000,5481,10114,-237.091,0
42140,1,60,50,1000,5493,10114,-101.253,0
42200,1,60,990,1000,5501,10106,15.3953,0
42240,1,60,950,1000,5504,10100,110.925,0
42280,1,60,910,1000,5507,10093,183.895,0
42320,1,60,870,1000,5499,10095,233.974,0
42360,1,60,830,1000,5498,10082,262.313,0
42400,1,60,790,1000,5493,10096,272.111,0
42440,1,60,750,1000,5500,10092,268.031,0
42480,1,60,710,1000,5501,10105,254.758,0
42520,1,60,670,1000,5498,10105,234.983,0
42560,1,60,630,1000,5502,10096,210.009,0
42620,1,60,570,1000,5498,10100,181.214,0
42660,1,60,530,1000,5501,10087,149.914,0
42700,1,60,490,1000,5476,10085,116.369,0
47270,1,60,216,1000,3365520,3385471,189750,0
47310,1,60,176,1000,3365434,3385401,757199,0
47350,1,60,136,1000,3365315,3385232,1.40664e+06,0
47390,1,60,96,1000,3365228,3385106,1.72201e+06,0
47450,1,60,36,1000,3365164,3385025,1.59796e+06,0
47490,1,60,996,1000,3365029,3384897,1.13951e+06,0
47530,1,60,956,1000,3365001,3384831,534851,0
47570,0.973215,58,770,1027,3365017,3384869,-43717.2,1
47610,0.973215,58,730,1027,3365023,3384929,-490031,0
47650,0.973215,58,690,1027,3365005,3384981,-770411,0
47690,0.973215,58,650,1027,3364944,3384820,-903548,0
47730,0.973215,58,610,1027,3364889,3384720,-932409,0
47770,0.973215,58,570,1027,3364830,3384697,-901014,0
47810,0.973215,58,530,1027,3364893,3384767,-841537,0
47860,0.973215,58,480,1027,3364799,3384757,-771281,0
47900,0.973215,58,440,1027,3364865,3384876,-695982,0
47940,0.973215,58,400,1027,3364825,3384861,-615363,0
47980,0.973215,58,360,1027,3364773,3384823,-528019,0
48020,0.973215,58,320,1027,3364717,3384785,-434234,0
48080,0.973215,58,260,1027,3364620,3384746,-336664,0
48120,0.973215,58,220,1027,3364636,3384840,-239629,0
48160,0.973215,58,180,1027,3364577,3384832,-147873,0
48200,0.973215,58,140,1027,3364607,3384933,-65468.8,0
48240,0.973215,58,100,1027,3364538,3384838,4821.18,0
48300,0.973215,58,40,1027,3364544,3384826,61680.4,0
48340,0.973215,58,0,1027,3364540,3384828,105035,0
48380,0.973215,58,987,1027,3364483,3384818,135674,0
48420,0.973215,58,947,1027,3364459,3384804,154877,0
48460,0.973215,58,907,1027,3364421,3384700,164145,0
48500,0.973215,58,867,1027,3364341,3384506,165027,0
48540,0.973215,58,827,1027,3364280,3384380,159038,0
48580,0.973215,58,787,1027,3364216,3384330,147645,0
48620,0.973215,58,747,1027,3364227,3384413,132249,0
48660,0.973215,58,707,1027,3364210,3384444,114172,0
48700,0.973215,58,667,1027,3364210,3384467,94618,0
48720,0.973215,58,647,1027,3364233,3384640,74653.6,0
48760,0.973215,58,607,1027,3364254,3384702,55182.7,0
48800,0.973215,58,567,1027,3364237,3384652,36929.1,0
48840,0.973215,58,527,1027,3364181,3384649,20429.6,0
48880,0.973215,58,487,1027,3364132,3384566,6049.13,0
48940,0.951492,57,787,1050,3364098,3384503,-5996.21,1
48980,0.951492,57,747,1050,3364120,3384546,-15618.1,0
49020,0.951492,57,707,1050,3364090,3384508,-22844.9,0
49060,0.951492,57,667,1050,3364099,3384485,-27807.4,0
49100,0.951492,57,627,1050,3364077,3384524,-30711.6,0
49140,0.951492,57,587,1050,3364010,3384453,-31817,0
49180,0.951492,57,547,1050,3363949,3384399,-31413.6,0
49220,0.951492,57,507,1050,3363917,3384341,-29793.3,0
49260,0.951492,57,467,1050,3363809,3384132,-27240.6,0
49350,0.951492,57,377,1050,3363721,3383953,-24030.6,0
49390,0.951492,57,337,1050,3363741,3384004,-20407.5,0
49430,0.951492,57,297,1050,3363715,3384080,-16579.9,0
49470,0.951492,57,257,1050,3363696,3384091,-12737.3,0
49510,0.951492,57,217,1050,3363700,3384167,-9045.19,0
49570,0.951492,57,157,1050,3363666,3384129,-5635.51,0
49610,0.951492,57,117,1050,3363697,3384178,-2604.4,0
49650,0.951492,57,77,1050,3363716,3384263,-9.02558,0
49690,0.951492,57,37,1050,3363675,3384291,2119.48,0
49730,0.951492,57,1047,1050,3363680,3384311,3770.56,0
49780,0.951492,57,997,1050,3363663,3384331,4960.61,0
49830,0.951492,57,947,1050,3363695,3384380,5727.8,0
49870,0.951492,57,907,1050,3363652,3384355,6119.79,0
49910,0.951492,57,867,1050,3363648,3384365,6185.95,0
49950,0.951492,57,827,1050,3363616,3384379,5980.19,0
49990,0.951492,57,787,1050,3363569,3384359,5558.24,0
50030,0.951492,57,747,1050,3363562,3384285,4976.34,0
50070,0.951492,57,707,1050,3363445,3384020,4286.68,0
50110,0.951492,57,667,1050,3363349,3383847,3530.03,0
50150,0.951492,57,627,1050,3363316,3383797,2750.18,0
50210,0.951492,57,567,1050,3363303,3383778,1997.77,0
50250,0.951492,57,527,1050,3363269,3383824,1311.2,0
50290,0.951492,57,487,1050,3363267,3383876,709.986,0
50330,0.951492,57,447,1050,3363270,3383926,202.694,0
50370,0.931738,55,804,1073,3363246,3383883,-211.245,1
50430,0.931738,55,744,1073,3363233,3383861,-539.623,0
50470,0.931738,55,704,1073,3363194,3383800,-791.158,0
50510,0.931738,55,664,1073,3363179,3383767,-972.409,0
50550,0.931738,55,624,1073,3363161,3383785,-1086.52,0
50590,0.931738,55,584,1073,3363170,3383827,-1135.22,0
50630,0.931738,55,544,1073,3363131,3383748,-1124.94,0
50630,0.931738,55,544,1073,3363068,3383699,-1071.18,0
50670,0.931738,55,504,1073,3363049,3383665,-988.958,0
50710,0.931738,55,464,1073,3363043,3383560,-883.071,0
50750,0.931738,55,424,1073,3363064,3383579,-753.81,0
50790,0.931738,55,384,1073,3363056,3383545,-605.973,0
50840,0.931738,55,334,1073,3362980,3383400,-455.58,0
50880,0.931738,55,294,1073,3362873,3383167,-325.368,0
50920,0.931738,55,254,1073,3362818,3383044,-226.311,0
50960,0.931738,55,214,1073,3362832,3383034,-146.849,0
51000,0.931738,55,174,1073,3362881,3383142,-64.7937,0
51050,0.931738,55,124,1073,3362868,3383201,28.7506,0
51090,0.931738,55,84,1073,3362867,3383244,122.572,0
51130,0.931738,55,44,1073,3362902,3383280,203.562,0
51170,0.931738,55,4,1073,3362915,3383241,266.05,0
51210,0.931738,55,1037,1073,3362954,3383256,307.724,0
51260,0.931738,55,987,1073,3362976,3383364,329.157,0
51300,0.931738,55,947,1073,3362948,3383368,329.023,0
51340,0.931738,55,907,1073,3363001,3383429,308.297,0
51380,0.931738,55,867,1073,3363016,3383514,276.463,0
51410,0.931738,55,837,1073,3363015,3383500,239.616,0
51460,0.931738,55,787,1073,3363051,3383569,199.612,0
51500,0.931738,55,747,1073,3363069,3383555,160.575,0
51540,0.931738,55,707,1073,3363104,3383681,125.331,0
51580,0.931738,55,667,1073,3363094,3383681,92.6339,0
51620,0.931738,55,627,1073,3363025,3383600,54.3548,0
51680,0.931738,55,567,1073,3362978,3383451,2.73415,0
51720,0.913912,54,820,1094,3362854,3383223,-62.5211,1
51760,0.913912,54,780,1094,3362835,3383205,-132.761,0
51800,0.913912,54,740,1094,3362813,3383206,-188.419,0
51840,0.913912,54,700,1094,3362883,3383308,-209.167,0
