Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
27662,0.947716,56,903,1055,2257871,1981008,165.607,0
27702,0.947716,56,863,1055,2257977,1981132,178.826,0
27742,0.947716,56,823,1055,2258009,1981029,208.351,0
27800,0.947716,56,765,1055,2257722,1980561,206.705,0
27840,0.947716,56,725,1055,2257821,1980431,143.149,0
27880,0.947716,56,685,1055,2258355,1980722,79.5977,0
27920,0.947716,56,645,1055,2258231,1980539,80.7408,0
27960,0.947716,56,605,1055,2257898,1980306,88.4604,0
28000,0.947716,56,565,1055,2257918,1980395,31.5351,0
28000,0.932554,55,804,1072,2258152,1980625,-54.1887,1
28040,0.932554,55,764,1072,2258345,1980820,-93.514,0
28080,0.932554,55,724,1072,2258296,1980826,-72.4972,0
28120,0.932554,55,684,1072,2258006,1980668,-51.3404,0
28160,0.932554,55,644,1072,2257977,1980716,-84.0182,0
28221,0.932554,55,583,1072,2258410,1981120,-129.184,0
28261,0.932554,55,543,1072,2258440,1981206,-114.584,0
28301,0.932554,55,503,1072,2257943,1980886,-78.857,0
28341,0.932554,55,463,1072,2257873,1980912,-106.799,0
28381,0.932554,55,423,1072,2258158,1981213,-170.652,0
28439,0.932554,55,365,1072,2258321,1981404,-180.452,0
28479,0.932554,55,325,1072,2258328,1981409,-115.554,0
28519,0.932554,55,285,1072,2257894,1980849,-47.009,0
28559,0.932554,55,245,1072,2257589,1980374,-63.3412,0
28599,0.932554,55,205,1072,2258151,1980673,-131.684,0
28639,0.932554,55,165,1072,2258366,1980740,-125.635,0
28643,0.932554,55,161,1072,2257891,1980336,-44.2923,0
28683,0.932554,55,121,1072,2257651,1980170,-4.72027,0
28723,0.932554,55,81,1072,2257661,1980342,-44.64,0
28763,0.932554,55,41,1072,2258091,1980669,-82.4738,0
28803,0.932554,55,1,1072,2258081,1980691,-41.9525,0
28860,0.932554,55,1016,1072,2257485,1980264,20.46,0
28900,0.932554,55,976,1072,2257491,1980374,9.65148,0
28940,0.958308,57,782,1043,2257910,1980775,-30.6881,1
28980,0.958308,57,742,1043,2258033,1980929,-2.71775,0
29020,0.958308,57,702,1043,2257834,1980837,81.6631,0
29082,0.958308,57,640,1043,2257508,1980656,128.822,0
29122,0.958308,57,600,1043,2257653,1980849,99.8905,0
29162,0.958308,57,560,1043,2257975,1981181,62.7087,0
29202,0.958308,57,520,1043,2258279,1981399,98.0742,0
29242,0.958308,57,480,1043,2257861,1980835,178.4,0
29282,0.958308,57,440,1043,2257275,1980134,174.467,0
29304,0.958308,57,418,1043,2257804,1980384,61.061,0
29344,1.05831,63,708,944,2258206,1980564,-15.8776,1
29384,1.05831,63,668,944,2257875,1980231,8.03988,0
29424,1.05831,63,628,944,2257372,1979904,22.2695,0
29464,1.15831,69,647,863,2257323,1979932,-55.7175,1
29523,1.15831,69,588,863,2257932,1980447,-143.568,0
29563,1.15831,69,548,863,2258036,1980563,-121.295,0
29603,1.15831,69,508,863,2257425,1980128,-36.6048,0
29643,1.15831,69,468,863,2257199,1980035,-27.1725,0
29683,1.15831,69,428,863,2257550,1980401,-91.0423,0
29725,1.15831,69,386,863,2257590,1980526,-124.778,0
29765,1.15831,69,346,863,2257219,1980288,-115.01,0
29805,1.15831,69,306,863,2257302,1980488,-109.576,0
29845,1.15831,69,266,863,2257620,1980826,-85.8908,0
29944,1.15831,69,167,863,2257823,1980776,4.61466,0
29984,1.15831,69,127,863,2257214,1980010,106.947,0
30024,1.15831,69,87,863,2257719,1980180,148.39,0
30064,1.15831,69,47,863,2258400,1980523,204.367,0
30104,1.15831,69,7,863,2258489,1980458,346.171,0
30163,1.15831,69,811,863,2257790,1979919,457.9,0
30203,1.15831,69,771,863,2257795,1980014,402.429,0
30243,1.15831,69,731,863,2258103,1980300,231.509,0
30283,1.15831,69,691,863,2258216,1980415,83.1147,0
30323,1.06876,64,701,935,2257756,1980119,-17.8571,1
30365,1.06876,64,659,935,2257408,1979926,-140.697,0
30405,1.06876,64,619,935,2257406,1980000,-298.505,0
30445,1.06876,64,579,935,2257619,1980254,-411.927,0
30485,1.06876,64,539,935,2257573,1980273,-419.714,0
30525,1.06876,64,499,935,2257067,1979945,-371.044,0
30585,1.06876,64,439,935,2256889,1979907,-355.526,0
30625,1.06876,64,399,935,2256857,1979968,-377.714,0
30665,1.06876,64,359,935,2256878,1980059,-380.661,0
30705,1.06876,64,319,935,2256836,1979926,-329.849,0
30745,1.06876,64,279,935,2256187,1979128,-267.226,0
30785,1.06876,64,239,935,2255813,1978600,-273.098,0
30787,1.06876,64,237,935,2256820,1979158,-278.745,0
30827,1.06876,64,197,935,2257375,1979492,-103.127,0
30867,1.06876,64,157,935,2256874,1979024,223.849,0
30907,1.06876,64,117,935,2255995,1978442,440.757,0
30947,1.06876,64,77,935,2256265,1978752,413.828,0
31007,1.06876,64,17,935,2256433,1978886,273.88,0
31047,1.06876,64,912,935,2254760,1977606,77.4467,0
31087,1.10508,66,678,904,2253711,1976887,-295.201,1
31127,1.10508,66,638,904,2254710,1977778,-720.578,0
31167,1.10508,66,598,904,2255431,1978407,-834.477,0
31226,1.10508,66,539,904,2255515,1978525,-523.613,0
31266,1.10508,66,499,904,2255389,1978519,-10.5004,0
31306,1.10508,66,459,904,2255263,1978517,434.88,0
31346,1.10508,66,419,904,2255154,1978500,670.531,0
31386,1.10508,66,379,904,2255580,1978935,719.384,0
31426,1.10508,66,339,904,2256334,1979503,729.257,0
31447,1.10508,66,318,904,2256081,1979041,781.098,0
31487,1.10508,66,278,904,2255106,1978054,745.264,0
31527,1.10508,66,238,904,2255870,1978439,548.372,0
31567,1.10508,66,198,904,2256807,1979047,389.005,0
31607,1.10508,66,158,904,2256267,1978539,381.71,0
31667,1.10508,66,98,904,2255635,1978135,353.408,0
31707,1.10508,66,58,904,2256394,1978841,215.79,0
31747,1.10508,66,18,904,2257168,1979465,129.21,0
31787,1.10508,66,882,904,2257258,1979512,192.011,0
31827,1.10508,66,842,904,2257177,1979579,299.045,0
31867,1.10508,66,802,904,2257667,1980049,349.331,0
31867,1.10508,66,802,904,2258124,1980476,363.696,0
31907,1.10508,66,762,904,2258405,1980757,377.707,0
31947,1.10508,66,722,904,2258600,1980968,374.758,0
31987,1.10508,66,682,904,2258507,1980966,312.87,0
32027,1.10508,66,642,904,2258438,1980991,159.157,0
32088,1.08066,64,693,925,2258739,1981318,-51.2084,1
32127,1.08066,64,654,925,2259014,1981527,-224.777,0
32168,1.08066,64,613,925,2258379,1980818,-352.346,0
32208,1.08066,64,573,925,2257877,1980186,-530.662,0
32248,1.08066,64,533,925,2258364,1980422,-745.539,0
32307,1.08066,64,474,925,2258800,1980667,-836.011,0
32348,1.08066,64,433,925,2258369,1980277,-758.054,0
32388,1.08066,64,393,925,2257881,1979968,-654.216,0
32428,1.08066,64,353,925,2257837,1980035,-626.511,0
32467,1.08066,64,314,925,2258120,1980314,-619.743,0
32508,1.08066,64,273,925,2258153,1980384,-545.055,0
32528,1.08066,64,253,925,2257804,1980180,-416.794,0
32568,1.08066,64,213,925,2257499,1980039,-319.072,0
32608,1.08066,64,173,925,2257569,1980179,-275.57,0
32647,1.08066,64,134,925,2257828,1980479,-219.915,0
32688,1.08066,64,93,925,2257691,1980430,-107.242,0
32749,1.08066,64,32,925,2257125,1980086,-3.08609,0
32789,1.08066,64,917,925,2256952,1980031,10.8916,0
32829,1.12783,67,664,886,2257154,1980321,-27.6454,1
32869,1.12783,67,624,886,2257428,1980498,-10.3315,0
32909,1.12783,67,584,886,2257102,1980032,84.9097,0
32949,1.12783,67,544,886,2256216,1979132,135.782,0
32970,1.12783,67,523,886,2256857,1979516,87.9079,0
33010,1.12783,67,483,886,2257683,1980088,107.366,0
33050,1.12783,67,443,886,2257256,1979694,277.021,0
33090,1.12783,67,403,886,2256452,1979166,410.004,0
33130,1.12783,67,363,886,2256818,1979549,374.393,0
33171,1.12783,67,322,886,2257826,1980369,318.852,0
33211,1.12783,67,282,886,2257976,1980534,407.183,0
33251,1.12783,67,242,886,2257556,1980257,554.374,0
33291,1.12783,67,202,886,2257491,1980283,589.728,0
33331,1.12783,67,162,886,2257346,1980272,471.619,0
33391,1.12783,67,102,886,2257395,1980382,262.598,0
33431,1.12783,67,62,886,2257695,1980692,66.8718,0
33471,1.18091,70,634,846,2257441,1980574,-53.7801,1
33511,1.18091,70,594,846,2256966,1980280,-152.209,0
33551,1.18091,70,554,846,2258034,1981218,-221.215,0
33612,1.18091,70,493,846,2257499,1980556,-189.882,0
33652,1.18091,70,453,846,2256486,1979599,-184.57,0
33692,1.18091,70,413,846,2257293,1980143,-291.822,0
33732,1.18091,70,373,846,2258049,1980720,-321.258,0
33772,1.18091,70,333,846,2258008,1980609,-158.236,0
33832,1.18091,70,273,846,2257135,1980010,27.634,0
33872,1.18091,70,233,846,2256928,1979938,37.4274,0
33912,1.28091,76,585,780,2257350,1980322,-89.1308,1
33952,1.28091,76,545,780,2257996,1980858,-151.682,0
33992,1.28091,76,505,780,2257797,1980763,-64.9453,0
34051,1.28091,76,446,780,2256700,1980058,14.6786,0
34091,1.38091,82,543,724,2257321,1980630,-38.0745,1
34131,1.38091,82,503,724,2257820,1981060,-89.0794,0
34171,1.38091,82,463,724,2257595,1980950,-31.6714,0
34211,1.38091,82,423,724,2257434,1980919,52.7672,0
34253,1.38091,82,381,724,2258271,1981640,133.766,0
34293,1.38091,82,341,724,2258501,1981680,273.767,0
34333,1.38091,82,301,724,2257844,1980938,403.295,0
34373,1.38091,82,261,724,2257167,1980275,345.411,0
34413,1.38091,82,221,724,2256815,1979902,56.464,0
34472,1.45558,87,515,687,2256194,1979403,-357.119,1
34512,1.45558,87,475,687,2255634,1979003,-776.708,0
34552,1.45558,87,435,687,2255359,1978843,-1100.55,0
34592,1.45558,87,395,687,2254796,1978462,-1263.26,0
34632,1.45558,87,355,687,2254971,1978656,-1243.01,0
34672,1.45558,87,315,687,2255485,1979089,-997.165,0
34712,1.45558,87,275,687,2255412,1979080,-547.432,0
34752,1.45558,87,235,687,2254631,1978543,-89.7828,0
34792,1.45558,87,195,687,2254477,1978452,178.168,0
34832,1.45558,87,155,687,2254744,1978815,273.917,0
34893,1.45558,87,94,687,2255460,1979410,368.831,0
34933,1.45558,87,54,687,2255471,1979482,563.735,0
34973,1.45558,87,14,687,2254592,1978876,741.056,0
35013,1.45558,87,661,687,2255485,1979522,792.338,0
35053,1.45558,87,621,687,2255379,1979191,795.552,0
35093,1.45558,87,581,687,2254358,1978189,728.348,0
35113,1.45558,87,561,687,2254644,1978306,515.694,0
35153,1.45558,87,521,687,2255826,1979108,332.144,0
35193,1.45558,87,481,687,2256351,1979481,390.513,0
35233,1.45558,87,441,687,2254467,1978044,526.102,0
35273,1.45558,87,401,687,2252930,1976967,329.787,0
35314,1.35714,81,552,736,2253832,1977772,-207.767,1
35354,1.35714,81,512,736,2255646,1979192,-576.92,0
35394,1.35714,81,472,736,2255256,1978914,-463.563,0
35434,1.35714,81,432,736,2253459,1977608,-186.874,0
35474,1.35714,81,392,736,2253231,1977531,-162.732,0
35535,1.35714,81,331,736,2253874,1978101,-335.146,0
35575,1.35714,81,291,736,2253972,1978239,-432.294,0
35615,1.35714,81,251,736,2253800,1978162,-375.504,0
35655,1.35714,81,211,736,2252770,1977454,-295.868,0
35695,1.35714,81,171,736,2252411,1977221,-336.414,0
35735,1.35714,81,131,736,2254448,1978663,-346.093,0
35755,1.35714,81,111,736,2254869,1978697,-45.9596,0
35795,1.35714,81,71,736,2253008,1977044,377.181,0
35835,1.35714,81,31,736,2252105,1976254,464.855,0
35875,1.35714,81,727,736,2253426,1977225,230.413,0
35915,1.35714,81,687,736,2254170,1977826,86.7101,0
35955,1.35714,81,647,736,2253951,1977695,199.538,0
35995,1.35714,81,607,736,2252625,1976723,332.377,0
36035,1.35714,81,567,736,2251995,1976293,217.738,0
36075,1.36482,81,549,732,2252480,1976745,-87.5432,1
36115,1.36482,81,509,732,2253153,1977309,-288.626,0
36175,1.36482,81,449,732,2253094,1977334,-232.198,0
36215,1.36482,81,409,732,2252429,1976893,-53.5273,0
36255,1.36482,81,369,732,2251974,1976615,31.2877,0
36295,1.46482,87,511,682,2252303,1976956,-11.7313,1
36335,1.46482,87,471,682,2252864,1977476,-32.9838,0
36375,1.46482,87,431,682,2252943,1977584,71.7528,0
36377,1.46482,87,429,682,2252659,1977312,231.998,0
36417,1.46482,87,389,682,2252484,1976960,319.213,0
36457,1.46482,87,349,682,2252755,1976941,310.032,0
36497,1.46482,87,309,682,2253610,1977448,316.233,0
36537,1.46482,87,269,682,2253396,1977157,408.288,0
