Time (s),Red,IR
49.936,3094022,3387705
49.976,3094019,3387722
50.016,3093998,3387698
50.056,3093935,3387564
50.096,3093866,3387412
50.143,3093840,3387385
50.183,3093866,3387438
50.223,3093895,3387529
50.263,3093929,3387606
50.303,3093939,3387635
50.345,3093938,3387643
50.385,3093937,3387634
50.425,3093924,3387643
50.465,3093940,3387672
50.505,3093952,3387690
50.552,3093947,3387699
50.592,3093951,3387721
50.632,3093942,3387729
50.672,3093951,3387736
50.712,3093949,3387748
50.758,3093942,3387739
50.798,3093936,3387758
50.838,3093937,3387749
50.878,3093888,3387650
50.918,3093785,3387428
50.958,3093735,3387337
50.96,3093758,3387397
51,3093794,3387488
51.04,3093843,3387611
51.08,3093849,3387660
51.12,3093844,3387662
51.166,3093864,3387653
51.206,3093865,3387679
51.246,3093853,3387690
51.286,3093871,3387713
51.326,3093869,3387728
51.369,3093871,3387736
51.409,3093870,3387761
51.449,3093872,3387760
51.489,3093874,3387774
51.529,3093880,3387772
51.575,3093863,3387789
51.615,3093872,3387801
51.655,3093846,3387770
51.695,3093769,3387569
51.735,3093658,3387329
51.78,3093655,3387320
51.82,3093692,3387428
51.86,3093740,3387569
51.9,3093788,3387655
51.94,3093792,3387684
51.984,3093784,3387684
52.024,3093775,3387677
52.064,3093787,3387687
52.104,3093788,3387712
52.144,3093797,3387733
52.186,3093793,3387745
52.226,3093797,3387754
52.266,3093806,3387759
52.306,3093812,3387781
52.346,3093804,3387802
52.39,3093802,3387792
52.43,3093791,3387803
52.47,3093782,3387792
52.51,3093739,3387693
52.55,3093620,3387438
52.593,3093587,3387384
52.633,3093624,3387491
52.673,3093685,3387615
52.713,3093718,3387719
52.753,3093731,3387751
52.793,3093721,3387737
52.793,3093725,3387732
52.833,3093744,3387754
52.873,3093774,3387762
52.913,3093817,3387785
52.953,3093847,3387794
52.997,3093869,3387820
53.037,3093853,3387833
53.077,3093847,3387840
53.117,3093842,3387873
53.157,3093847,3387865
53.201,3093855,3387884
53.241,3093838,3387845
53.281,3093762,3387702
53.321,3093671,3387537
53.361,3093657,3387530
53.403,3093689,3387627
53.443,3093743,3387737
53.483,3093763,3387820
53.523,3093766,3387850
53.563,3093739,3387850
53.605,3093727,3387823
53.645,3093723,3387833
53.685,3093728,3387844
53.725,3093728,3387875
53.765,3093730,3387889
53.807,3093723,3387897
53.847,3093711,3387889
53.887,3093728,3387881
53.927,3093754,3387902
53.967,3093756,3387904
54.013,3093754,3387905
54.053,3093715,3387827
54.093,3093635,3387649
54.133,3093594,3387545
54.173,3093607,3387608
54.22,3093642,3387706
54.26,3093706,3387834
54.3,3093714,3387880
54.34,3093696,3387882
54.38,3093689,3387872
54.422,3093684,3387878
54.462,3093686,3387897
54.502,3093679,3387895
54.542,3093671,3387907
54.582,3093677,3387914
54.623,3093657,3387921
54.663,3093659,3387939
54.703,3093661,3387933
54.743,3093646,3387949
54.783,3093638,3387953
54.826,3093569,3387892
54.866,3093529,3387830
54.906,3093493,3387792
54.946,3093500,3387831
54.986,3093528,3387875
55.026,3093571,3387894
55.026,3093570,3387912
55.066,3093571,3387897
55.106,3093562,3387903
55.146,3093562,3387921
55.186,3093574,3387967
55.227,3093575,3388011
55.267,3093583,3388001
55.307,3093584,3388017
55.347,3093592,3388039
55.387,3093591,3388047
55.434,3093588,3388051
55.474,3093585,3388054
55.514,3093546,3387975
55.554,3093479,3387787
55.594,3093429,3387707
55.635,3093456,3387808
55.675,3093516,3387917
55.715,3093549,3387997
55.755,3093569,3388028
55.795,3093578,3388037
55.837,3093582,3388037
55.877,3093573,3388057
55.917,3093578,3388086
55.957,3093603,3388120
55.997,3093614,3388130
56.038,3093623,3388153
56.078,3093649,3388172
56.118,3093666,3388190
56.158,3093694,3388215
56.198,3093707,3388214
56.244,3093682,3388167
56.284,3093612,3387970
56.324,3093546,3387794
56.364,3093570,3387837
56.404,3093640,3387971
56.45,3093720,3388136
56.49,3093750,3388227
56.53,3093785,3388269
56.57,3093799,3388277
56.61,3093821,3388299
56.651,3093837,3388342
56.691,3093870,3388387
56.731,3093897,3388437
56.771,3093930,3388481
56.811,3093944,3388505
56.858,3093964,3388538
56.898,3093999,3388572
56.938,3094019,3388597
56.978,3094008,3388578
57.018,3093942,3388409
57.064,3093774,3387941
57.104,3093837,3388041
57.144,3093916,3388228
57.184,3093991,3388367
57.224,3094025,3388431
57.265,3094035,3388443
57.305,3094041,3388460
57.345,3094053,3388483
57.385,3094077,3388516
57.425,3094084,3388540
57.472,3094095,3388567
57.512,3094106,3388607
57.552,3094116,3388626
57.592,3094130,3388641
57.632,3094135,3388664
57.675,3094130,3388673
57.715,3094100,3388593
57.755,3093978,3388285
57.795,3093872,3387970
57.835,3093878,3388027
57.877,3093965,3388229
57.917,3094047,3388413
57.957,3094081,3388503
57.997,3094100,3388544
58.037,3094112,3388558
58.081,3094119,3388601
58.121,3094149,3388645
58.161,3094155,3388687
58.201,3094171,3388718
58.241,3094194,3388756
58.286,3094222,3388780
58.326,3094228,3388805
58.366,3094230,3388818
58.406,3094240,3388846
58.446,3094241,3388833
58.49,3094170,3388679
58.53,3094018,3388328
58.57,3093995,3388224
58.61,3094050,3388396
58.65,3094135,3388599
