Time (s)Time (s),Red,IR
1187.0371255.288,2813183,3094503
1187.0771255.328,2813225,3094618
1187.1171255.368,2813258,3094680
1187.1571255.408,2813303,3094833
1187.1971255.448,2813387,3095028
1187.2381255.449,2813468,3095239
1187.2781255.489,2813528,3095485
1187.3181255.529,2813614,3095711
1187.3581255.569,2813662,3095864
1187.3981255.609,2813678,3095935
1187.441255.656,2813712,3096041
1187.481255.696,2813742,3096124
1187.521255.736,2813753,3096181
1187.561255.776,2813746,3096227
1187.61255.816,2813780,3096298
1187.6431255.862,2813800,3096350
1187.6831255.902,2813816,3096423
1187.7231255.942,2813839,3096505
1187.7631255.982,2813778,3096318
1187.8031256.022,2813495,3095458
1187.8481256.068,2813259,3094790
1187.8881256.108,2813182,3094551
1187.9281256.148,2813152,3094478
1187.9681256.188,2813122,3094427
1188.0081256.228,2813095,3094400
1188.0511256.268,2813017,3094338
1188.0911256.308,2812945,3094204
1188.1311256.348,2812913,3094164
1188.1711256.388,2812936,3094231
1188.2111256.428,2812948,3094301
1188.2571256.471,2812947,3094382
1188.2971256.511,2812968,3094512
1188.3371256.551,2813033,3094664
1188.3771256.591,2813074,3094785
1188.4171256.631,2813123,3094945
1188.461256.677,2813182,3095213
1188.51256.717,2813284,3095451
1188.541256.757,2813422,3095800
1188.581256.797,2813539,3096057
1188.621256.837,2813599,3096193
1188.6641256.878,2813652,3096325
1188.7041256.918,2813705,3096443
1188.7441256.958,2813673,3096418
1188.7841256.998,2813407,3095686
1188.8241257.038,2812867,3094351
1188.8661257.083,2812582,3093663
1188.9061257.123,2812504,3093419
1188.9461257.163,2812489,3093335
1188.9861257.203,2812460,3093278
1189.0261257.243,2812450,3093298
1189.0731257.283,2812442,3093352
1189.1131257.287,2812435,3093339
1189.1531257.327,2812461,3093359
1189.1931257.367,2812510,3093479
1189.2331257.407,2812553,3093660
1189.2781257.447,2812678,3093949
1189.3181257.492,2812813,3094253
1189.3581257.532,2812963,3094655
1189.3981257.572,2813130,3095063
1189.4381257.612,2813302,3095518
1189.4811257.652,2813468,3095985
1189.5211257.694,2813606,3096319
1189.5611257.734,2813670,3096512
1189.6011257.774,2813714,3096644
1189.6411257.814,2813777,3096750
1189.6851257.854,2813800,3096832
1189.7251257.898,2813826,3096898
1189.7651257.938,2813802,3096851
1189.8051257.978,2813700,3096467
1189.8451258.018,2813541,3095935
1189.8891258.058,2813463,3095689
1189.9291258.102,2813450,3095657
1189.9691258.142,2813462,3095676
1190.0091258.182,2813501,3095797
1190.0491258.222,2813572,3096026
1190.091258.262,2813633,3096199
1190.131258.304,2813706,3096340
1190.171258.344,2813761,3096471
1190.211258.384,2813818,3096607
1190.251258.424,2813865,3096751
1190.2971258.464,2813895,3096885
1190.3371258.509,2813938,3097008
1190.3771258.549,2814003,3097145
1190.4171258.589,2814034,3097253
1190.4571258.629,2814092,3097392
1190.5011258.669,2814138,3097501
1190.5411258.715,2814165,3097579
1190.5811258.755,2814175,3097632
1190.6211258.795,2814212,3097700
1190.6611258.835,2814269,3097787
1190.7041258.875,2814311,3097843
1190.7441258.915,2814300,3097848
1190.7841258.918,2814210,3097579
1190.8241258.958,2814116,3097265
1190.8641258.998,2814055,3097100
1190.9041259.038,2814066,3097090
1190.9441259.078,2814110,3097175
1190.9841259.122,2814122,3097255
1191.0241259.162,2814182,3097407
1191.0641259.202,2814232,3097499
1191.1081259.242,2814238,3097534
1191.1481259.282,2814253,3097569
1191.1881259.328,2814269,3097616
1191.2281259.368,2814300,3097661
1191.2681259.408,2814292,3097698
1191.3131259.448,2814316,3097746
1191.3531259.488,2814291,3097735
1191.3931259.534,2814258,3097676
1191.4331259.574,2814248,3097628
1191.4731259.614,2814252,3097637
1191.521259.654,2814233,3097631
1191.561259.694,2814250,3097661
1191.61259.736,2814236,3097670
1191.641259.776,2814242,3097671
1191.681259.816,2814228,3097662
1191.721259.856,2814202,3097635
1191.7251259.896,2814129,3097392
1191.7651259.941,2813964,3096838
1191.8051259.981,2813774,3096403
1191.8451260.021,2813708,3096216
1191.8851260.061,2813635,3096044
1191.9271260.101,2813547,3095885
1191.9671260.142,2813506,3095843
1192.0071260.182,2813521,3095932
1192.0471260.222,2813531,3095967
1192.0871260.262,2813507,3095941
1192.1291260.302,2813504,3095923
1192.1691260.344,2813477,3095892
1192.2091260.384,2813383,3095778
1192.2491260.424,2813235,3095611
1192.2891260.464,2813100,3095419
1192.3291260.504,2813012,3095295
1192.3691260.545,2812986,3095225
1192.4091260.585,2812952,3095198
1192.4491260.625,2812909,3095152
1192.4891260.665,2812873,3095124
1192.531260.705,2812880,3095145
1192.571260.746,2812889,3095151
1192.611260.786,2812854,3095138
1192.651260.826,2812827,3095129
1192.691260.866,2812763,3095053
1192.7351260.906,2812638,3094693
1192.7751260.948,2812416,3094188
1192.8151260.988,2812223,3093751
1192.8551261.028,2812029,3093434
1192.8951261.068,2811871,3093140
1192.9421261.108,2811734,3092897
1192.9821261.148,2811574,3092709
1193.0221261.153,2811443,3092559
1193.0621261.193,2811300,3092374
1193.1021261.233,2811200,3092186
1193.1471261.273,2811106,3092067
1193.1871261.313,2811028,3091951
1193.2271261.36,2810925,3091839
1193.2671261.4,2810804,3091744
1193.3071261.44,2810681,3091669
1193.3471261.48,2810574,3091557
1193.3871261.52,2810488,3091414
1193.4271261.561,2810388,3091310
1193.4671261.601,2810318,3091224
1193.5071261.641,2810256,3091137
1193.5521261.681,2810190,3091031
1193.5921261.721,2810117,3090961
1193.6321261.765,2810046,3090890
1193.6721261.805,2809978,3090804
1193.7121261.845,2809839,3090515
1193.7521261.885,2809624,3089948
1193.7531261.925,2809419,3089355
1193.7931261.97,2809198,3088856
1193.8331262.01,2809007,3088364
1193.8731262.05,2808844,3087873
1193.9131262.09,2808714,3087546
1193.9581262.13,2808671,3087360
1193.9981262.176,2808637,3087181
1194.0381262.216,2808639,3087039
1194.0781262.256,2808705,3087021
1194.1181262.296,2808768,3087066
1194.1631262.336,2808843,3087158
1194.2031262.377,2809014,3087365
1194.2431262.417,2809184,3087585
1194.2831262.457,2809324,3087770
1194.3231262.497,2809458,3087961
1194.3641262.537,2809586,3088152
1194.4041262.583,2809745,3088343
1194.4441262.623,2809915,3088578
1194.4841262.663,2810063,3088796
1194.5241262.703,2810245,3089077
1194.5661262.743,2810437,3089366
1194.6061262.783,2810616,3089676
1194.6461262.786,2810806,3089937
1194.6861262.826,2810842,3089807
1194.7261262.866,2810881,3089597
1194.7731262.906,2810993,3089639
1194.8131262.946,2811135,3089782
1194.8531262.99,2811260,3089976
1194.8931263.03,2811413,3090197
1194.9331263.07,2811562,3090527
1194.9751263.11,2811716,3090841
1195.0151263.15,2811857,3091058
1195.0551263.191,2812001,3091306
1195.0951263.231,2812142,3091623
1195.1351263.271,2812286,3091952
1195.1781263.311,2812425,3092297
1195.2181263.351,2812565,3092600
1195.2581263.396,2812676,3092861
1195.2981263.436,2812774,3093057
1195.3381263.476,2812790,3093144
1195.3841263.516,2812767,3093138
1195.4241263.556,2812718,3093040
1195.4641263.602,2812617,3092906
1195.5041263.642,2812584,3092781
1195.5441263.682,2812535,3092645
1195.5851263.722,2812426,3092430
1195.6251263.762,2812302,3092215
1195.6651263.806,2812130,3091814
1195.7051263.846,2811872,3091136
1195.7451263.886,2811642,3090518
1195.7861263.926,2811448,3090103
1195.8261263.966,2811267,3089772
1195.8661264.009,2811123,3089480
1195.9061264.049,2811012,3089248
1195.9461264.089,2810933,3089107
1195.9911264.129,2810848,3088946
1196.0311264.169,2810772,3088791
1196.0711264.209,2810740,3088679
1196.1111264.249,2810703,3088568
1196.1511264.289,2810652,3088513
1196.1931264.329,2810626,3088450
1196.2331264.369,2810621,3088428
1196.2731264.416,2810595,3088373
1196.3131264.456,2810554,3088321
1196.3531264.496,2810529,3088283
1196.3991264.536,2810508,3088244
1196.4391264.576,2810491,3088213
1196.4791264.616,2810475,3088192
1196.5191264.617,2810461,3088189
1196.5591264.657,2810465,3088192
1196.61264.697,2810476,3088205
1196.641264.737,2810479,3088194
1196.681264.777,2810424,3087979
1196.721264.818,2810263,3087466
1196.761264.858,2810118,3086985
1196.8071264.898,2810020,3086638
1196.8471264.938,2809957,3086389
1196.8871264.978,2809921,3086199
1196.9271265.02,2809930,3086108
1196.9671265.06,2809981,3086099
1197.0121265.1,2810002,3086071
1197.0521265.14,2810053,3086076
1197.0921265.18,2810110,3086112
1197.1321265.221,2810148,3086142
1197.1721265.261,2810251,3086246
1197.2141265.301,2810333,3086366
1197.2541265.341,2810419,3086488
1197.2941265.381,2810484,3086583
1197.3341265.424,2810574,3086710
1197.3741265.464,2810667,3086861
1197.4151265.504,2810745,3086967
1197.4551265.544,2810841,3087095
1197.4951265.584,2810943,3087249
1197.5351265.63,2811069,3087448
1197.5751265.67,2811216,3087695
1197.621265.71,2811377,3087945
1197.661265.75,2811583,3088216
1197.71265.79,2811706,3088184
1197.741265.836,2811764,3088038
1197.781265.876,2811881,3088085
1197.821265.916,2812000,3088206
1197.8211265.956,2812122,3088353
1197.8611265.996,2812208,3088489
1197.9011266.037,2812284,3088665
1197.9411266.077,2812344,3088793
1197.9811266.117,2812380,3088835
1198.0251266.157,2812457,3088932
1198.0651266.197,2812522,3089044
1198.1051266.238,2812581,3089197
1198.1451266.278,2812674,3089394
1198.1851266.318,2812791,3089641
1198.2261266.358,2812889,3089855
1198.2661266.398,2813001,3090059
1198.3061266.438,2813081,3090214
1198.3461266.478,2813166,3090367
1198.3861266.518,2813256,3090552
1198.4281266.558,2813332,3090702
1198.4681266.598,2813390,3090852
1198.5081266.639,2813464,3090999
1198.5481266.679,2813538,3091165
1198.5881266.719,2813597,3091278
1198.6331266.759,2813567,3091201
1198.6731266.799,2813426,3090699
1198.7131266.839,2813318,3090234
1198.7531266.879,2813280,3090069
1198.7931266.919,2813300,3090031
1198.8361266.959,2813317,3090051
1198.8761266.999,2813358,3090134
1198.9161267.044,2813421,3090302
1198.9561267.084,2813497,3090452
1198.9961267.124,2813521,3090495
1199.0381267.164,2813527,3090531
1199.0781267.204,2813555,3090623
1199.1181267.248,2813704,3090965
1199.1581267.288,2813758,3091101
1199.1981267.328,2813802,3091218
1199.2391267.368,2813870,3091351
1199.2791267.408,2813890,3091453
1199.3191267.45,2813942,3091575
1199.3591267.49,2813988,3091706
1199.3991267.53,2813998,3091769
1199.4411267.57,2814002,3091787
1199.4811267.61,2813990,3091807
1199.5211267.652,2813992,3091815
1199.5611267.692,2813941,3091787
1199.6011267.732,2813854,3091593
1199.6431267.772,2813713,3091108
1199.6831267.812,2813591,3090701
1199.7231267.855,2813498,3090457
1199.7631267.895,2813402,3090282
1199.8031267.935,2813346,3090157
1199.8451267.975,2813300,3090088
1199.8851268.015,2813297,3090138
1199.9251268.058,2813297,3090161
1199.9651268.098,2813284,3090117
1200.0051268.138,2813267,3090127
1200.0481268.178,2813298,3090172
1200.0881268.218,2813309,3090231
1200.1281268.26,2813318,3090303
1200.1681268.3,2813360,3090374
1200.2081268.34,2813370,3090411
1200.2481268.38,2813362,3090452
1200.2481268.42,2813349,3090445
1200.2881268.466,2813317,3090443
1200.3281268.506,2813292,3090462
1200.3681268.546,2813283,3090480
1200.4081268.586,2813266,3090484
1200.4481268.626,2813258,3090487
1200.4881268.671,2813243,3090485
1200.5281268.711,2813186,3090406
1200.5681268.751,2813058,3090086
1200.6081268.791,2812919,3089667
1200.6511268.831,2812758,3089327
1200.6911268.873,2812617,3089058
1200.7311268.913,2812496,3088838
1200.7711268.953,2812411,3088669
1200.8111268.993,2812340,3088579
1200.8551269.033,2812286,3088479
1200.8951269.074,2812209,3088372
1200.9351269.114,2812171,3088284
1200.9751269.154,2812157,3088237
1201.0151269.194,2812157,3088236
1201.0571269.234,2812139,3088234
1201.0971269.28,2812127,3088224
1201.1371269.32,2812154,3088248
1201.1771269.36,2812169,3088255
1201.2171269.4,2812157,3088277
1201.261269.44,2812157,3088285
1201.31269.48,2812154,3088301
1201.341269.485,2812174,3088328
1201.381269.525,2812168,3088338
1201.421269.565,2812175,3088367
1201.4641269.605,2812167,3088377
1201.5041269.645,2812126,3088204
1201.5441269.689,2812005,3087799
1201.5841269.729,2811872,3087406
1201.6241269.769,2811740,3087088
1201.6681269.809,2811668,3086845
1201.7081269.849,2811607,3086651
1201.7481269.893,2811581,3086547
1201.7881269.933,2811582,3086538
1201.8281269.973,2811559,3086478
1201.8681270.013,2811549,3086402
1201.9081270.053,2811601,3086419
1201.9481270.096,2811628,3086420
1201.9881270.136,2811646,3086466
1202.0281270.176,2811654,3086503
1202.0741270.216,2811684,3086549
1202.1141270.256,2811717,3086587
1202.1541270.298,2811734,3086577
1202.1941270.338,2811741,3086597
1202.2341270.378,2811745,3086600
1202.2781270.418,2811731,3086568
1202.3181270.458,2811659,3086527
1202.3581270.505,2811565,3086425
1202.3981270.545,2811496,3086288
1202.4381270.585,2811340,3086020
1202.4791270.625,2811145,3085452
1202.5191270.665,2810995,3084873
1202.5591270.708,2810805,3084305
1202.5991270.748,2810684,3083843
1202.6391270.788,2810687,3083625
1202.6791270.828,2810698,3083510
1202.6841270.868,2810702,3083475
1202.7241270.911,2810694,3083417
1202.7641270.951,2810614,3083210
1202.8041270.991,2810541,3082958
1202.8441271.031,2810523,3082823
1202.8861271.071,2810509,3082745
1202.9261271.111,2810445,3082638
1202.9661271.118,2810299,3082394
1203.0061271.158,2810215,3082181
1203.0461271.198,2810066,3081816
1203.0921271.238,2810037,3081613
1203.1321271.278,2810100,3081619
1203.1721271.323,2810151,3081595
1203.2121271.363,2810165,3081570
1203.2521271.403,2810218,3081625
1203.2971271.443,2810255,3081682
1203.3371271.483,2810270,3081644
1203.3771271.524,2810279,3081513
1203.4171271.564,2810194,3081075
1203.4571271.604,2810111,3080539
1203.5011271.644,2810105,2818046
1203.5411271.684,2809935,2817608
1203.5811271.724,2809803,2817109
1203.6211271.764,2809766,2816841
1203.6611271.804,2809774,2816757
1203.7031271.844,2809799,2816724
1203.7431271.884,2809802,2816676
1203.7831271.927,2809814,2816638
1203.8231271.967,2809895,2816714
1203.8631272.007,2810134,2817101
1203.9041272.047,2810463,2817632
1203.9441272.087,2810682,2818030
1203.9841272.132,2810791,2818225
1204.0241272.172,2810862,2818352
1204.0641272.212,2810958,2818569
1204.111272.252,2811010,2818667
1204.151272.292,2811043,2818706
1204.191272.336,2811063,2818814
1204.231272.376,2810693,2818483
1204.271272.416,2809755,2817145
1204.3121272.456,2808334,2815157
1204.3521272.496,2807554,2814069
1204.3921272.542,2807157,2813134
1204.4321272.582,2806708,2811659
1204.4721272.622,2806567,2810158
1204.5121272.662,2807978,2809747
1204.5181272.702,2808472,2810634
1204.5581272.749,2808939,2812355
1204.5981272.789,2809626,2814183
1204.6381272.829,2811161,2817590
1204.6781272.869,2813336,2822185
1204.7231272.909,2815006,2826058
1204.7631272.949,2816374,2828727
1204.8031272.953,2817461,2830395
1204.8431272.993,2818219,2831078
1204.8831273.033,2818705,2831045
1204.9271273.073,2818847,2830851
1204.9671273.113,2819091,2831085
1205.0071273.153,2819338,2831358
1205.0471273.193,2819572,2831545
1205.0871273.233,2819768,2831670
1205.1321273.273,2819745,2831645
1205.1721273.313,2819783,2831663
1205.2121273.36,2819956,2831793
1205.2521273.4,2819889,2831735
1205.2921273.44,2819861,2831691
1205.3371273.48,2819512,2831182
1205.3771273.52,2819216,2830688
1205.4171273.561,2819435,2830856
1205.4571273.601,2819805,2831282
1205.4971273.641,2819848,2831450
1205.5381273.681,2819533,2831320
1205.5781273.721,2818926,2831061
1205.6181273.764,2818423,2831020
1205.6581273.804,2817969,2830917
1205.6981273.844,2817577,2830859
1205.7451273.884,2817249,2830855
1205.7851273.924,2816972,2830935
1205.8251273.968,2816692,2831023
1205.8651274.008,2816365,2831049
1205.9051274.048,2816136,2831025
1205.9471274.088,2815760,2830662
1205.9871274.128,2815296,2830207
1206.0271274.173,2815804,2830693
1206.0671274.213,2817251,2832173
1206.1071274.253,2818107,2833126
1206.1471274.293,2818433,2833475
1206.1521274.333,2818796,2833709
1206.1921274.38,2819325,2833686
1206.2321274.42,2819909,2833723
1206.2721274.46,2820003,2833479
1206.3121274.5,2820022,2833040
1206.3551274.54,2820197,2832807
1206.3951274.58,2820369,2832682
1206.4351274.586,2820461,2832575
1206.4751274.626,2820562,2832535
1206.5151274.666,2820710,2832651
1206.561274.706,2821081,2833068
1206.61274.746,2821457,2833468
1206.641274.793,2821738,2833757
1206.681274.833,2821905,2833954
1206.721274.873,2822016,2834102
1206.7611274.913,2822080,2834246
1206.8011274.953,2822152,3096510
1206.8411274.996,2822186,3096478
1206.8811275.036,2821998,3096285
1206.9211275.076,2821710,3095943
1206.9611275.116,2821550,3095738
1207.0011275.156,2821491,3095740
1207.0411275.198,2821425,3095693
1207.0811275.238,2821256,3095535
1207.1211275.278,2821109,3095413
1207.1641275.318,2820910,3095320
1207.2041275.358,2820665,3095250
1207.2441275.398,2820258,3095197
1207.2841275.438,2819802,3095085
1207.3241275.478,2819286,3094770
1207.3651275.518,2818832,3094444
1207.4051275.558,2818438,3094206
1207.4451275.599,2818230,3094109
1207.4851275.639,2817742,3093816
1207.5251275.679,2817044,3093219
1207.5711275.719,2816517,3092745
1207.6111275.759,2816466,3092658
1207.6511275.805,2816490,3092629
1207.6911275.845,2816459,3092500
1207.7311275.885,2816551,3092491
1207.7781275.925,2816845,3092641
1207.8181275.965,2817196,3092797
1207.8581276.01,2817487,3092836
1207.8981276.05,2817548,3092543
1207.9381276.09,2817392,3092092
1207.9841276.13,2817180,3091532
1208.0241276.17,2817220,3091004
1208.0641276.216,2817621,3090678
1208.1041276.256,2818049,3090833
1208.1441276.296,2818741,3091306
1208.1911276.336,2819192,3091686
1208.2311276.376,2819717,3092130
1208.2711276.417,2820191,3092350
1208.3111276.457,2820586,3092434
1208.3511276.497,2820862,3092404
1208.3951276.537,2821183,3092534
1208.4351276.577,2821483,3092636
1208.4751276.62,2821719,3092760
1208.5151276.66,2821818,3092895
1208.5551276.7,2821870,3093008
1208.61276.74,2821986,3093159
1208.641276.78,2822117,3093333
1208.681276.822,2822168,3093515
1208.721276.862,2822054,3093502
1208.761276.902,2821726,3093279
1208.8031276.942,2821298,3092939
1208.8431276.982,2820919,3092607
1208.8831277.025,2820560,3092317
1208.9231277.065,2820029,3092009
1208.9631277.105,2819578,3091830
1209.0041277.145,2819184,3091778
1209.0441277.185,2818935,3091742
1209.0841277.232,2818780,3091595
1209.1241277.272,2818689,3091521
1209.1641277.312,2818574,3091381
1209.2091277.352,2818358,3091255
1209.2491277.392,2818039,3090835
1209.2891277.434,2817526,3090230
1209.3291277.474,2816462,3088818
1209.3691277.514,2815281,3087042
1209.4141277.554,2813575,3083761
1209.4541277.594,2817721,3086207
1209.4941277.64,2816150,3084880
1209.5341277.68,2814297,3083745
1209.5741277.72,2813788,3083348
1209.6141277.76,2813786,3083427
1209.6161277.8,2813747,3083525
1209.6561277.844,2813494,3083249
1209.6961277.884,2813594,3083350
1209.7361277.924,2814060,3083986
1209.7761277.964,2815013,3085250
1209.8161278.004,2815743,3086010
1209.8561278.05,2816697,3085906
1209.8961278.09,2816959,3085977
1209.9361278.13,2817292,3086294
1209.9761278.17,2817808,3086890
1210.0211278.21,2818266,3087673
1210.0611278.252,2818570,3088258
1210.1011278.292,2818783,3088630
1210.1411278.332,2819050,3088972
1210.1811278.372,2819183,3089092
1210.2251278.412,2819081,3088861
1210.2651278.456,2818919,3088573
1210.3051278.496,2818857,3088335
1210.3451278.536,2818763,3088125
1210.3851278.576,2818753,3088041
1210.4291278.616,2818814,3088089
1210.4691278.663,2818851,3088142
1210.5091278.703,2818920,3088216
1210.5491278.743,2819037,3088372
1210.5891278.783,2819384,3088910
1210.6311278.823,2819809,3089628
1210.6711278.867,2820044,3090061
1210.7111278.907,2820071,3090262
1210.7511278.947,2820135,3090433
1210.7911278.987,2820405,3090839
1210.8321279.027,2820693,3091286
1210.8721279.068,2820827,3091514
1210.9121279.108,2820865,3091639
1210.9521279.148,2820842,3091650
1210.9921279.188,2820864,3091688
1211.0321279.228,2820890,3091714
1211.0721279.273,2820872,3091721
1211.1121279.313,2820754,3091537
1211.1521279.353,2820545,3091024
1211.1921279.393,2820317,3090472
1211.2391279.433,2820144,3090054
1211.2791279.48,2820014,3089704
1211.3191279.52,2819925,3089538
1211.3591279.56,2819970,3089608
1211.3991279.6,2820203,3090024
1211.4391279.64,2820387,3090358
1211.4791279.68,2820453,3090529
1211.5191279.684,2820392,3090535
1211.5591279.724,2820258,3090451
1211.5991279.764,2820166,3090358
1211.6461279.804,2820137,3090316
1211.6861279.844,2820104,3090238
1211.7261279.889,2820089,3090210
1211.7661279.929,2820156,3090327
1211.8061279.969,2820331,3090610
1211.8461280.009,2820356,3090727
1211.8461280.049,2820231,3090628
1211.8861280.095,2819976,3090444
1211.9261280.135,2819715,3090249
1211.9661280.175,2819502,3090049
1212.0061280.215,2819312,3089755
1212.0481280.255,2819005,3089220
1212.0881280.299,2818624,3088559
1212.1281280.339,2818322,3087976
1212.1681280.379,2818034,3087531
1212.2081280.419,2817763,3087127
1212.2491280.459,2817574,3086816
1212.2891280.504,2817431,3086550
1212.3291280.544,2817372,3086287
1212.3691280.584,2817312,3085997
1212.4091280.624,2817233,3085779
1212.451280.664,2817130,3085612
1212.491280.707,2817047,3085527
1212.531280.747,2816959,3085494
1212.571280.787,2816990,3085439
1212.611280.827,2817162,3085499
1212.6511280.867,2817431,3085642
1212.6911280.908,2817601,3085880
1212.7311280.948,2817488,3086060
1212.7711280.988,2817319,3086362
1212.8111281.028,2817233,3086611
1212.8531281.068,2816955,3086445
1212.8931281.111,2814468,3083299
1212.9331281.151,2814845,3083302
1212.9731281.191,2815630,3084038
1213.0131281.231,2815727,3084041
1213.061281.271,2815596,3083624
1213.11281.317,2815463,3083208
1213.141281.357,2815370,3082756
1213.181281.397,2815175,3082089
1213.221281.437,2815084,3081717
1213.2661281.477,2814963,3081455
1213.3061281.517,2814730,3080932
1213.3461281.521,2814423,2818027
1213.3861281.561,2814033,2817404
1213.4261281.601,2813808,2816939
1213.471281.641,2813769,2816700
1213.511281.681,2813585,2816355
1213.551281.727,2813292,2815917
1213.591281.767,2812939,2815357
1213.631281.807,2812451,2814545
1213.6721281.847,2812347,2814261
1213.7121281.887,2812228,2814035
1213.7521281.931,2812014,2813688
1213.7921281.971,2811558,2812826
1213.8321282.011,2811352,2812266
1213.8741282.051,2811453,2812218
1213.9141282.091,2811772,2812662
1213.9541282.135,2811952,2812856
1213.9941282.175,2812168,2813111
1214.0341282.215,2812667,2814151
1214.0761282.255,2813310,2815559
1214.1161282.295,2813751,2816576
1214.1561282.341,2813926,2817050
1214.1961282.381,2814285,2817768
1214.2361282.421,2814681,2818593
1214.2761282.461,2814687,2818640
1214.2831282.501,2814563,2818341
1214.3231282.543,2814356,2817866
1214.3631282.583,2814242,2817510
1214.4031282.623,2814321,2817717
1214.4431282.663,2814389,2817869
1214.4891282.703,2814386,2817798
1214.5291282.75,2814589,2818224
1214.5691282.79,2814776,2818666
1214.6091282.83,2814733,2818628
1214.6491282.87,2814687,2818545
1214.6961282.91,2814675,2818465
1214.7361282.95,2814791,2818596
1214.7761282.955,2815056,2819061
