Time (s)Time (s),Red,IR
1181.6191249.873,2812238,3092781
1181.6591249.913,2812442,3093248
1181.6991249.957,2812617,3093659
1181.7441249.997,2812752,3094058
1181.7841250.037,2812865,3094396
1181.8241250.077,2812965,3094645
1181.8641250.117,2812974,3094581
1181.9041250.157,2812728,3093739
1181.9481250.197,2812510,3093014
1181.9881250.237,2812484,3092845
1182.0281250.277,2812517,3092910
1182.0681250.317,2812620,3093115
1182.1081250.362,2812736,3093443
1182.151250.402,2812939,3093964
1182.191250.442,2813105,3094398
1182.231250.482,2813203,3094640
1182.271250.522,2813272,3094828
1182.311250.567,2813317,3094947
1182.351250.607,2813325,3095045
1182.391250.647,2813321,3095096
1182.431250.687,2813316,3095095
1182.471250.727,2813286,3095044
1182.511250.77,2813235,3094972
1182.5551250.81,2813226,3094989
1182.5951250.85,2813238,3095000
1182.6351250.89,2813245,3095033
1182.6751250.93,2813279,3095119
1182.7151250.972,2813302,3095210
1182.7551251.012,2813343,3095333
1182.7591251.052,2813386,3095450
1182.7991251.092,2813365,3095346
1182.8391251.132,2813131,3094600
1182.8791251.174,2812854,3093700
1182.9191251.214,2812766,3093420
1182.9641251.254,2812758,3093381
1183.0041251.294,2812766,3093423
1183.0441251.334,2812804,3093563
1183.0841251.381,2812880,3093763
1183.1241251.421,2812890,3093815
1183.171251.461,2812889,3093830
1183.211251.501,2812903,3093926
1183.251251.541,2812973,3094089
1183.291251.582,2813106,3094513
1183.331251.622,2813170,3094710
1183.3751251.662,2813235,3094875
1183.4151251.702,2813269,3094967
1183.4551251.742,2813270,3095014
1183.4951251.784,2813286,3095083
1183.5351251.824,2813292,3095144
1183.5811251.864,2813300,3095184
1183.6211251.904,2813321,3095263
1183.6611251.944,2813351,3095348
1183.7011251.989,2813379,3095427
1183.7411252.029,2813377,3095398
1183.7851252.069,2813169,3094716
1183.8251252.109,2812828,3093641
1183.8651252.149,2812688,3093215
1183.9051252.193,2812650,3093075
1183.9451252.233,2812617,3093018
1183.9861252.273,2812602,3092989
1184.0261252.313,2812650,3093112
1184.0661252.353,2812691,3093237
1184.1061252.399,2812697,3093273
1184.1461252.439,2812692,3093292
1184.1861252.479,2812735,3093388
1184.2261252.519,2812796,3093541
1184.2661252.559,2812876,3093781
1184.3061252.604,2812988,3094054
1184.3461252.644,2813128,3094402
1184.3861252.684,2813268,3094751
1184.4261252.724,2813387,3095107
1184.4661252.764,2813487,3095380
1184.5061252.806,2813579,3095613
1184.5461252.846,2813653,3095828
1184.5891252.886,2813735,3096033
1184.6291252.926,2813795,3096190
1184.6691252.966,2813860,3096356
1184.7091253.012,2813922,3096467
1184.7491253.052,2813925,3096476
1184.791253.092,2813815,3096067
1184.831253.132,2813623,3095423
1184.871253.172,2813484,3094984
1184.911253.219,2813430,3094855
1184.951253.259,2813432,3094857
1184.9961253.299,2813468,3094973
1185.0361253.339,2813554,3095276
1185.0761253.379,2813657,3095569
1185.1161253.419,2813735,3095771
1185.1561253.421,2813795,3095935
1185.1991253.461,2813867,3096106
1185.2391253.501,2813913,3096229
1185.2791253.541,2813938,3096370
1185.3191253.581,2813980,3096467
1185.3591253.624,2814011,3096517
1185.4081253.664,2814013,3096559
1185.4481253.704,2814025,3096596
1185.4881253.744,2814023,3096650
1185.5281253.784,2814017,3096654
1185.5681253.825,2814011,3096652
1185.6121253.865,2814000,3096686
1185.6521253.905,2814012,3096712
1185.6921253.945,2814014,3096744
1185.7321253.985,2814021,3096757
1185.7721254.031,2813940,3096574
1185.8191254.071,2813735,3095923
1185.8591254.111,2813444,3095060
1185.8991254.151,2813337,3094712
1185.9391254.191,2813308,3094621
1185.9791254.232,2813296,3094622
1186.0191254.272,2813349,3094778
1186.0591254.312,2813408,3094989
1186.0991254.352,2813454,3095111
1186.1391254.392,2813448,3095120
1186.1791254.437,2813444,3095113
1186.2221254.477,2813423,3095115
1186.2621254.517,2813447,3095172
1186.3021254.557,2813450,3095223
1186.3421254.597,2813446,3095249
1186.3821254.638,2813428,3095221
1186.4281254.678,2813435,3095269
1186.4681254.718,2813463,3095352
1186.5081254.758,2813493,3095433
1186.5481254.798,2813528,3095548
1186.5881254.839,2813565,3095679
1186.6291254.879,2813595,3095806
1186.6691254.919,2813636,3095940
1186.7091254.959,2813664,3096034
1186.7491254.999,2813662,3096025
1186.7891255.046,2813502,3095523
1186.8331255.086,2813220,3094662
1186.8731255.126,2813108,3094280
1186.9131255.166,2813083,3094193
1186.9531255.206,2813093,3094203
1186.9931255.248,2813122,3094309
