Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
61021,1,60,25,1000,1709371,2263861,96491.3,0
61061,1,60,985,1000,1988697,2549927,400959,0
61104,1,60,942,1000,2263920,2830659,794090,0
61144,1,60,902,1000,2275120,3104114,1.05567e+06,0
61184,1,60,862,1000,2551966,3382119,1.08954e+06,0
61224,1,60,822,1000,2821024,3388959,935977,0
61264,1,60,782,1000,1737848,2274231,618985,0
61307,1,60,739,1000,1983575,1991728,145354,0
61347,1,60,750,1000,1981732,1989720,-333803,1
61387,1,60,710,1000,1981552,1986186,-665190,0
61427,1,60,670,1000,1985178,1987842,-818428,0
61467,1,60,630,1000,1985816,1988950,-825607,0
61512,1,60,585,1000,1970792,1968293,-745601,0
61552,1,60,545,1000,1417359,1416650,-665163,0
61592,1,60,505,1000,1138614,1141231,-665693,0
61632,1,60,465,1000,1134566,1137252,-727726,0
61672,1,60,425,1000,860924,864646,-773686,0
61716,1,60,381,1000,583401,589718,-776092,0
61756,1,60,341,1000,579320,588180,-728336,0
61796,1,60,301,1000,592832,867069,-607795,0
61836,1,60,261,1000,1151782,1425931,-383079,0
61876,1,60,221,1000,2257818,1993913,4548.02,0
61917,1,60,180,1000,2272586,2263480,525324,0
61957,1,60,140,1000,2541188,2270031,996005,0
61997,1,60,100,1000,2538630,2265966,1.26015e+06,0
62037,1,60,60,1000,2525889,2255970,1.27393e+06,0
62077,1,60,20,1000,2250849,1982441,1.06261e+06,0
62117,1,60,980,1000,1425985,1425149,660731,0
62157,1,60,940,1000,1143226,1409335,126881,0
62197,1.02597,61,730,974,860871,868522,-399182,1
62237,1.02597,61,690,974,583938,856114,-786555,0
62277,1.02597,61,650,974,576185,586966,-976750,0
62319,1.02597,61,608,974,310077,582539,-976033,0
62359,1.02597,61,568,974,310481,582997,-844995,0
62399,1.02597,61,528,974,312571,584402,-641541,0
62439,1.02597,61,488,974,317822,589532,-408164,0
62479,1.02597,61,448,974,321411,592850,-184565,0
62523,1.02597,61,404,974,592932,601249,18146.1,0
62563,1.02597,61,364,974,597335,604157,204457,0
62603,1.02597,61,324,974,870590,876238,367724,0
62643,1.02597,61,284,974,881506,1149186,498361,0
62683,1.02597,61,244,974,1425100,1430082,604570,0
62728,1.02597,61,199,974,1435948,1707988,699200,0
62768,1.02597,61,159,974,1438776,1712600,745976,0
62808,1.02597,61,119,974,1717357,1990032,717844,0
62848,1.02597,61,79,974,1719369,1992516,637928,0
62888,1.02597,61,39,974,1983497,1993741,531757,0
62929,1.02597,61,972,974,1984484,1991567,419448,0
62969,1.02597,61,932,974,2260384,1997379,314496,0
63009,1.02597,61,892,974,2268323,2264253,223731,0
63049,1.02597,61,852,974,2270109,2272434,132585,0
63089,1.02597,61,812,974,2276119,2542396,23173.7,0
63130,1.02497,61,731,975,2276992,2543619,-98966.2,1
63170,1.02497,61,691,975,2540202,2545463,-202683,0
63210,1.02497,61,651,975,2541169,2549139,-256803,0
63250,1.02497,61,611,975,2541738,2554047,-273795,0
63290,1.02497,61,571,975,2544565,2821742,-283149,0
63330,1.02497,61,531,975,2820525,3100613,-280840,0
63370,1.02497,61,491,975,2827940,3108205,-249913,0
63410,1.02497,61,451,975,2821431,3101469,-207808,0
63450,1.02497,61,411,975,2810498,3089438,-183459,0
63534,1.02497,61,327,975,2808210,3086619,-183001,0
63574,1.02497,61,287,975,2823735,3099135,-195889,0
63614,1.02497,61,247,975,3103171,3376383,-191345,0
63654,1.02497,61,207,975,3376428,3386134,-129296,0
63694,1.02497,61,167,975,3379459,3390993,-16805.5,0
63740,1.02497,61,121,975,3378745,3654259,85632.8,0
63780,1.02497,61,81,975,3376338,3651819,130919,0
63820,1.02497,61,41,975,3373185,3647766,114277,0
63860,1.02497,61,1,975,3372209,3645974,56477.4,0
63900,1.06422,63,704,939,3373055,3645733,-14221.2,1
63943,1.06422,63,661,939,3374631,3643766,-75008.8,0
63983,1.06422,63,621,939,3375229,3642739,-114220,0
64023,1.06422,63,581,939,3375902,3643709,-130691,0
64063,1.06422,63,541,939,3384771,3654237,-129208,0
64102,1.06422,63,502,939,3383692,3656211,-116664,0
64148,1.06422,63,456,939,3389534,3662713,-99821.2,0
64188,1.06422,63,416,939,3650888,3662156,-68425.2,0
64227,1.06422,63,377,939,3640514,3653001,-10575.1,0
64267,1.06422,63,337,939,3374307,3649657,34729.1,0
64308,1.06422,63,296,939,3371036,3648355,21852.5,0
64348,1.16422,69,643,858,3366806,3647790,-31974.7,1
64388,1.16422,69,603,858,3364335,3646532,-84666.9,0
64428,1.16422,69,563,858,3363413,3646542,-112841,0
