Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
192018,1.17957,70,541,847,864188,866359,87590.6,0
192058,1.17957,70,501,847,876769,876092,84367,0
192098,1.17957,70,461,847,880876,878730,80261.8,0
192138,1.17957,70,421,847,1146971,881817,91101.3,0
192178,1.17957,70,381,847,1144264,879397,130297,0
192218,1.17957,70,341,847,1146463,880760,173479,0
192239,1.17957,70,320,847,1145586,879848,188128,0
192279,1.17957,70,280,847,1143739,878665,166710,0
192319,1.17957,70,240,847,1140896,876885,118247,0
192359,1.17957,70,200,847,1142442,878218,58658.5,0
192399,1.17957,70,160,847,1147408,881847,3044.98,0
192461,1.13971,68,657,877,1149963,883660,-39207.5,1
192501,1.13971,68,617,877,1151665,1146711,-65756,0
192541,1.13971,68,577,877,1152337,1147321,-79138.5,0
192581,1.13971,68,537,877,1160737,1153650,-83241.3,0
192621,1.13971,68,497,877,1431432,1159842,-66285.6,0
192661,1.13971,68,457,877,1433964,1161249,-16224.4,0
192681,1.13971,68,437,877,1428724,1157298,40862.5,0
192721,1.13971,68,397,877,1420354,1151260,70071,0
192761,1.13971,68,357,877,1414533,1147288,62715.4,0
192801,1.13971,68,317,877,1414447,1147359,28789,0
192841,1.23971,74,604,806,1415965,1148642,-14433.2,1
192882,1.23971,74,563,806,1416729,1149270,-52156.3,0
192922,1.23971,74,523,806,1414059,1147401,-76796.9,0
192962,1.23971,74,483,806,1147070,1143939,-102570,0
193002,1.23971,74,443,806,1146505,1143409,-147330,0
193042,1.23971,74,403,806,1145528,1142417,-191809,0
193082,1.23971,74,363,806,1145310,1142055,-206819,0
193122,1.23971,74,323,806,1144668,1141449,-186486,0
193162,1.23971,74,283,806,1146753,1142947,-140148,0
193202,1.23971,74,243,806,1148787,1144507,-82667.5,0
193242,1.23971,74,203,806,1149016,1144767,-27524.5,0
193282,1.23971,74,163,806,1147919,1144099,16591.9,0
193322,1.23971,74,123,806,1147450,1143892,46617.3,0
193362,1.23971,74,83,806,1147971,1144358,63953.8,0
193402,1.23971,74,43,806,1148047,1144512,72142,0
