Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
17496,1,60,550,1000,2807554,3092343,158482,0
17536,1,60,510,1000,2807555,3092362,632658,0
17576,1,60,470,1000,2807574,3092398,1.17536e+06,0
17616,1,60,430,1000,2807595,3092452,1.43893e+06,0
17656,1,60,390,1000,2807625,3092495,1.33534e+06,0
17700,1,60,346,1000,2807632,3092558,952328,0
17740,1,60,306,1000,2807653,3092599,447132,0
17780,1,60,750,1000,2807659,3092654,-36294,1
17820,1,60,710,1000,2807676,3092702,-409249,0
17860,1,60,670,1000,2807682,3092738,-643583,0
17902,1,60,628,1000,2807695,3092792,-754892,0
17942,1,60,588,1000,2807699,3092845,-779057,0
17982,1,60,548,1000,2807726,3092899,-752853,0
18022,1,60,508,1000,2807753,3092968,-703168,0
18062,1,60,468,1000,2807755,3093022,-644473,0
18104,1,60,426,1000,2807761,3093064,-581568,0
18144,1,60,386,1000,2807690,3092863,-514228,0
18184,1,60,346,1000,2807573,3092567,-441288,0
18224,1,60,306,1000,2807528,3092404,-362973,0
18264,1,60,266,1000,2807509,3092378,-281482,0
18304,1,60,226,1000,2807516,3092373,-200407,0
18344,1,60,186,1000,2807521,3092420,-123716,0
18384,1,60,146,1000,2807535,3092505,-54820.5,0
18424,1,60,106,1000,2807555,3092575,3957.08,0
18464,1,60,66,1000,2807565,3092615,51510.5,0
18506,1,60,24,1000,2807558,3092635,87769,0
18546,1,60,984,1000,2807567,3092681,113389,0
18586,1,60,944,1000,2807588,3092774,129447,0
18626,1,60,904,1000,2807602,3092855,137203,0
18666,1,60,864,1000,2807612,3092917,137955,0
18709,1,60,821,1000,2807643,3093021,132971,0
18749,1,60,781,1000,2807652,3093083,123475,0
18789,1,60,741,1000,2807672,3093176,110627,0
18829,1,60,701,1000,2807703,3093253,95521.4,0
18869,1,60,661,1000,2807717,3093310,79165.9,0
18914,1,60,616,1000,2807727,3093365,62452.8,0
18954,1,60,576,1000,2807751,3093429,46142.2,0
18994,1,60,536,1000,2807769,3093476,30848.7,0
19034,1,60,496,1000,2807762,3093505,17032.2,0
19074,1,60,456,1000,2807714,3093349,5000.69,0
19115,1,60,750,1000,2807570,3092981,-5078.54,1
19155,1,60,710,1000,2807470,3092727,-13151.3,0
19195,1,60,670,1000,2807446,3092646,-19239.2,0
19235,1,60,630,1000,2807443,3092642,-23426.4,0
19275,1,60,590,1000,2807459,3092663,-25863.7,0
19317,1,60,548,1000,2807484,3092730,-26759.1,0
19357,1,60,508,1000,2807481,3092788,-26359.3,0
19397,1,60,468,1000,2807490,3092796,-24927.5,0
19437,1,60,428,1000,2807493,3092828,-22720.6,0
19477,1,60,388,1000,2807515,3092887,-19974.9,0
19522,1,60,343,1000,2807539,3092991,-16900.7,0
19562,1,60,303,1000,2807560,3093057,-13681.6,0
19602,1,60,263,1000,2807570,3093137,-10476.1,0
19642,1,60,223,1000,2807588,3093197,-7415.02,0
19682,1,60,183,1000,2807596,3093255,-4599.74,0
19722,1,60,143,1000,2807618,3093303,-2102.56,0
19723,1,60,142,1000,2807626,3093351,30.8039,0
19763,1,60,102,1000,2807635,3093396,1777.06,0
19803,1,60,62,1000,2807650,3093433,3133.24,0
19843,1,60,22,1000,2807666,3093493,4114.41,0
19883,1,60,982,1000,2807671,3093555,4747.91,0
19928,1,60,937,1000,2807682,3093600,5069.51,0
19968,1,60,897,1000,2807657,3093546,5119.98,0
20008,1,60,857,1000,2807533,3093247,4936.56,0
20048,1,60,817,1000,2807428,3092954,4555.81,0
20088,1,60,777,1000,2807402,3092862,4031.5,0
20133,1,60,732,1000,2807370,3092845,3430.04,0
20173,1,60,692,1000,2807389,3092857,2808.84,0
20213,1,60,652,1000,2807392,3092929,2207.23,0
20253,1,60,612,1000,2807410,3092994,1646.02,0
20293,1,60,572,1000,2807412,3092994,1132.93,0
20336,1,60,529,1000,2807401,3093003,669.25,0
20376,1,60,489,1000,2807414,3093049,256.813,0
20416,0.969721,58,773,1031,2807430,3093112,-97.4549,1
20456,0.969721,58,733,1031,2807434,3093168,-386.953,0
20496,0.969721,58,693,1031,2807460,3093242,-608.896,0
20540,0.969721,58,649,1031,2807463,3093277,-764.145,0
20580,0.969721,58,609,1031,2807468,3093331,-858.825,0
20620,0.969721,58,569,1031,2807481,3093375,-901.132,0
20660,0.969721,58,529,1031,2807492,3093414,-898.396,0
20700,0.969721,58,489,1031,2807489,3093450,-859.23,0
20745,0.969721,58,444,1031,2807507,3093491,-792.428,0
20785,0.969721,58,404,1031,2807508,3093537,-705.141,0
20825,0.969721,58,364,1031,2807533,3093584,-603.623,0
20865,0.969721,58,324,1031,2807527,3093632,-494.316,0
20905,0.969721,58,284,1031,2807498,3093536,-386.782,0
20947,0.969721,58,242,1031,2807362,3093228,-296.686,0
20987,0.969721,58,202,1031,2807257,3092948,-237.859,0
21027,0.969721,58,162,1031,2807220,3092866,-203.91,0
21067,0.969721,58,122,1031,2807223,3092854,-170.223,0
21107,0.969721,58,82,1031,2807222,3092887,-117.314,0
21153,0.969721,58,36,1031,2807244,3092953,-42.4142,0
21193,0.969721,58,1027,1031,2807263,3092995,45.2801,0
21233,0.969721,58,987,1031,2807261,3093017,130.186,0
21273,0.969721,58,947,1031,2807256,3093033,196.269,0
