Time (s),Red,IR
12.411,2543675,2548854
12.455,2543729,2548974
12.495,2543792,2549138
12.535,2543816,2549184
12.575,2543685,2548873
12.615,2543510,2548460
12.673,2543358,2548105
12.713,2543276,2547888
12.753,2543329,2547820
12.793,2543029,2547802
12.833,2543288,2547962
12.894,2543301,2548052
12.934,2543338,2547999
12.974,2543271,2548036
13.014,2543366,2548093
13.054,2543420,2548237
13.094,2543461,2548328
13.095,2543494,2548398
13.135,2543501,2548509
13.175,2543596,2548614
13.215,2543594,2548651
13.255,2543681,2548861
13.316,2543732,2548960
13.356,2543798,2549150
13.396,2543922,2549443
13.436,2544045,2549734
13.476,2544109,2549895
13.519,2544021,2549653
13.559,2543802,2549124
13.599,2543664,2548774
13.639,2543582,2548622
13.679,2543547,2548527
13.738,2543758,2548596
13.778,2543439,2548829
13.818,2543715,2548943
13.858,2543754,2549048
13.898,2543795,2549184
13.938,2543835,2549214
13.958,2543900,2549325
13.998,2543940,2549431
14.038,2543962,2549476
14.078,2544017,2549646
14.118,2544089,2549827
14.161,2544183,2550029
14.201,2544214,2550152
14.241,2544312,2550290
14.281,2544345,2550401
14.321,2544392,2550520
14.38,2544447,2550631
14.42,2544478,2550737
14.46,2544462,2550666
14.5,2544291,2550265
14.54,2544088,2549923
14.58,2544059,2549715
14.582,2543999,2549585
14.622,2544025,2549642
14.662,2544057,2549731
14.702,2544014,2549737
14.742,2544042,2549684
14.784,2544070,2549772
14.824,2544127,2549891
14.864,2544238,2550056
14.904,2544269,2550154
14.944,2544280,2550258
14.985,2544286,2550288
15.025,2544315,2550328
15.065,2544363,2550463
15.105,2544391,2550529
15.145,2544409,2550576
15.206,2544438,2550675
15.246,2544481,2550731
15.286,2544510,2550821
15.326,2544521,2550861
15.366,2544481,2550757
15.407,2544324,2550358
15.447,2544151,2549952
15.487,2544068,2549781
15.527,2544031,2549698
15.567,2544003,2549653
15.627,2544038,2549758
15.667,2544093,2549835
15.707,2544042,2549833
15.747,2544088,2549861
15.787,2544110,2549971
15.827,2544198,2550114
15.83,2544241,2550229
15.87,2544266,2550219
15.91,2544333,2550425
15.95,2544371,2550540
15.99,2544370,2550528
16.051,2544392,2550608
16.091,2544451,2550688
16.131,2544451,2550738
16.171,2544502,2550857
16.211,2544554,2551000
16.252,2544582,2551064
16.292,2544521,2550888
16.332,2544337,2550448
16.372,2544141,2549992
16.412,2544030,2549752
16.472,2543956,2549581
16.512,2543911,2549514
16.552,2543993,2549659
16.592,2544022,2549753
16.632,2544048,2549799
16.672,2544048,2549799
16.692,2543989,2549798
16.732,2544103,2549898
16.772,2544158,2550035
16.812,2544185,2550050
16.852,2544225,2550302
16.895,2544269,2550308
16.935,2544223,2550329
16.975,2544270,2550315
17.015,2544335,2550401
17.055,2544339,2550471
17.115,2544377,2550555
17.155,2544401,2550732
17.195,2544473,2550802
17.235,2544397,2550629
17.275,2544212,2550169
17.315,2544008,2549702
17.316,2543892,2549463
17.356,2543854,2549367
17.396,2543836,2549316
17.436,2543905,2549466
17.476,2543946,2549576
17.516,2543932,2549539
17.556,2543971,2549639
17.596,2544009,2549725
17.636,2544033,2549817
17.676,2544078,2550000
17.734,2544090,2549931
17.774,2544114,2549960
17.814,2544000,2550086
17.854,2544227,2550213
17.894,2544250,2550256
