Time (s)Time (s),Red,IR
1143.0651282.87,2814687,2818545
1143.1111282.91,2814675,2818465
1143.1511282.95,2814791,2818596
1143.1911282.955,2815056,2819061
1143.2311282.995,2815330,2819729
1143.2711283.035,2815565,2820130
1143.3121283.075,2815669,2820289
1143.3521283.115,2815799,2820481
1143.3921283.155,2815800,2820419
1143.4321283.195,2815795,2820385
1143.4721283.235,2815839,2820438
1143.5151283.275,2816043,2820988
1143.5551283.315,2816466,2821967
1143.5951283.36,2816808,2822739
1143.6351283.4,2817027,2823401
1143.6751283.44,2817196,2824035
1143.721283.48,2817376,2824484
1143.761283.52,2817533,2824735
1143.81283.564,2817668,2825026
1143.841283.604,2817768,2825314
1143.881283.644,2817816,2825457
1143.9241283.684,2817882,2825621
1143.9641283.724,2817911,2825797
1144.0041283.77,2817910,2825958
1144.0441283.81,2817918,2826091
1144.0841283.85,2817954,2826228
1144.1291283.89,2818009,2826458
1144.1691283.93,2818061,2826640
1144.2091283.974,2818058,2826547
1144.2491284.014,2817997,2826238
1144.2891284.054,2817935,2825944
1144.3341284.094,2817891,2825703
1144.3741284.134,2817814,2825551
1144.4141284.179,2817717,2825308
1144.4541284.219,2817653,2825175
1144.4941284.259,2817558,2825132
1144.5391284.299,2817421,2824864
1144.5791284.339,2817304,2824430
1144.6191284.385,2817130,2823958
1144.6591284.425,2817051,2823767
1144.6991284.465,2817151,2823839
1144.7421284.505,2817348,2824072
1144.7821284.545,2817641,2824573
1144.8221284.585,2817880,2825080
1144.8621284.592,2818055,2825466
1144.9021284.632,2818204,2825726
1144.9451284.672,2818307,2825945
1144.9851284.712,2818383,2826144
1145.0251284.752,2818440,2826338
1145.0651284.798,2818477,2826488
1145.1051284.838,2818485,2826567
1145.1521284.878,2818462,2826345
1145.1921284.918,2818393,2826056
1145.2321284.958,2818337,2825852
1145.2721285.001,2818262,2825668
1145.3121285.041,2818216,2825548
1145.3581285.081,2818194,2825504
1145.3981285.121,2818204,2825578
1145.4381285.161,2818233,2825629
1145.4781285.207,2818255,2825618
1145.5181285.247,2818266,2825666
1145.5581285.287,2818350,2825770
1145.5981285.327,2818490,2825914
1145.6381285.367,2818644,2826135
1145.6781285.412,2818735,2826340
1145.7181285.452,2818797,2826550
1145.7621285.492,2818848,2826687
1145.8021285.532,2818843,2826779
1145.8421285.572,2818815,2826829
1145.8821285.619,2818764,2826818
1145.9221285.659,2818712,2826809
1145.9621285.699,2818690,2826783
1146.0021285.739,2818639,2826730
1146.0421285.779,2818556,2826552
1146.0821285.819,2818367,2826071
1146.1221285.824,2818164,2825520
1146.1621285.864,2817986,2825094
1146.2021285.904,2817844,2824812
1146.2421285.944,2817737,2824563
1146.2821285.984,2817683,2824453
1146.3221286.028,2817645,2824419
1146.3641286.068,2817667,2824432
1146.4041286.108,2817683,2824434
1146.4441286.148,2817724,2824492
1146.4841286.188,2817787,2824585
1146.5241286.234,2817855,2824712
1146.5691286.274,2817926,2824907
1146.6091286.314,2817995,2825092
1146.6491286.354,2818045,2825230
1146.6891286.394,2818099,2825378
1146.7291286.437,2818125,2825523
1146.7711286.477,2818147,2825646
1146.8111286.517,2818183,2825752
1146.8511286.557,2818236,2825864
1146.8911286.597,2818275,2826023
1146.9311286.641,2818304,2826056
1146.9711286.681,2818222,2825826
1147.0111286.721,2818091,2825457
1147.0511286.761,2817974,2825131
1147.0911286.801,2817901,2824919
1147.1311286.844,2817831,2824778
1147.1751286.884,2817778,2824702
1147.2151286.924,2817774,2824751
1147.2551286.964,2817755,2824747
1147.2951287.004,2817738,2824692
1147.3351287.049,2817724,2824667
1147.3781287.089,2817743,2824713
1147.4181287.129,2817759,2824763
1147.4581287.169,2817786,2824836
1147.4981287.209,2817817,2824938
1147.5381287.256,2817838,2825016
1147.581287.296,2817886,2825121
1147.621287.336,2817909,2825227
1147.661287.376,2817948,2825306
1147.71287.416,2817977,2825401
1147.741287.456,2818021,2825469
1147.7811287.459,2818075,2825567
1147.8211287.499,2818090,2825623
1147.8611287.539,2818021,2825440
1147.9011287.579,2817897,2825017
1147.9411287.619,2817780,2824632
1147.9871287.661,2817692,2824348
1148.0271287.701,2817652,2824122
1148.0671287.741,2817623,2823953
1148.1071287.781,2817641,2823904
1148.1471287.821,2817683,2823953
1148.1931287.864,2817729,2823965
1148.2331287.904,2817726,2823947
1148.2731287.944,2817739,2823954
1148.3131287.984,2817766,2824014
1148.3531288.024,2817805,2824073
1148.3991288.068,2817828,2824134
1148.4391288.108,2817891,2824176
1148.4791288.148,2817875,2824241
1148.5191288.188,2817825,2824238
1148.5591288.228,2817868,2824315
1148.5991288.274,2817844,2824365
1148.6041288.314,2817874,2824419
1148.6441288.354,2817879,2824483
1148.6841288.394,2817893,2824532
1148.7241288.434,2817892,2824534
1148.7641288.478,2817792,2824351
1148.8071288.518,2817654,2823923
1148.8471288.558,2817522,2823559
1148.8871288.598,2817417,2823267
1148.9271288.638,2817346,2823070
1148.9671288.678,2817281,2822932
1149.0071288.718,2817329,2822976
1149.0471288.758,2817352,2823095
1149.0871288.798,2817389,2823154
1149.1271288.838,2817422,2823221
1149.1671288.883,2817450,2823306
1149.2091288.923,2817486,2823398
1149.2491288.963,2817534,2823499
1149.2891289.003,2817577,2823604
1149.3291289.043,2817618,2823695
1149.3691289.086,2817638,2823811
1149.4141289.126,2817685,2823939
1149.4541289.166,2817718,2824032
1149.4941289.206,2817764,2824124
1149.5341289.246,2817798,2824241
1149.5741289.286,2817819,2824347
1149.621289.29,2817853,2824440
1149.661289.33,2817861,2824482
1149.71289.37,2817804,2824312
1149.741289.41,2817683,2823951
1149.781289.45,2817541,2823605
1149.8221289.494,2817421,2823348
1149.8621289.534,2817349,2823143
1149.9021289.574,2817308,2823026
1149.9421289.614,2817327,2823083
1149.9821289.654,2817337,2823107
1150.0251289.701,2817343,2823113
1150.0651289.741,2817368,2823156
1150.1051289.781,2817403,2823267
1150.1451289.821,2817447,2823368
1150.1851289.861,2817506,2823489
