Time (s)Time (s),Red,IR
1117.7811257.407,2812553,3093660
1117.8211257.447,2812678,3093949
1117.8611257.492,2812813,3094253
1117.9011257.532,2812963,3094655
1117.9411257.572,2813130,3095063
1117.9851257.612,2813302,3095518
1118.0251257.652,2813468,3095985
1118.0651257.694,2813606,3096319
1118.1051257.734,2813670,3096512
1118.1451257.774,2813714,3096644
1118.1851257.814,2813777,3096750
1118.191257.854,2813800,3096832
1118.231257.898,2813826,3096898
1118.271257.938,2813802,3096851
1118.311257.978,2813700,3096467
1118.351258.018,2813541,3095935
1118.3971258.058,2813463,3095689
1118.4371258.102,2813450,3095657
1118.4771258.142,2813462,3095676
1118.5171258.182,2813501,3095797
1118.5571258.222,2813572,3096026
1118.6011258.262,2813633,3096199
1118.6411258.304,2813706,3096340
1118.6811258.344,2813761,3096471
1118.7211258.384,2813818,3096607
1118.7611258.424,2813865,3096751
1118.8071258.464,2813895,3096885
1118.8471258.509,2813938,3097008
1118.8871258.549,2814003,3097145
1118.9271258.589,2814034,3097253
1118.9671258.629,2814092,3097392
1119.0141258.669,2814138,3097501
1119.0541258.715,2814165,3097579
1119.0941258.755,2814175,3097632
1119.1341258.795,2814212,3097700
1119.1741258.835,2814269,3097787
1119.2211258.875,2814311,3097843
1119.2611258.915,2814300,3097848
1119.3011258.918,2814210,3097579
1119.3411258.958,2814116,3097265
1119.3811258.998,2814055,3097100
1119.4211259.038,2814066,3097090
1119.4251259.078,2814110,3097175
1119.4651259.122,2814122,3097255
1119.5051259.162,2814182,3097407
1119.5451259.202,2814232,3097499
1119.5851259.242,2814238,3097534
1119.6281259.282,2814253,3097569
1119.6681259.328,2814269,3097616
1119.7081259.368,2814300,3097661
1119.7481259.408,2814292,3097698
1119.7881259.448,2814316,3097746
1119.8331259.488,2814291,3097735
1119.8731259.534,2814258,3097676
1119.9131259.574,2814248,3097628
1119.9531259.614,2814252,3097637
1119.9931259.654,2814233,3097631
1120.0351259.694,2814250,3097661
1120.0751259.736,2814236,3097670
1120.1151259.776,2814242,3097671
1120.1551259.816,2814228,3097662
1120.1951259.856,2814202,3097635
1120.2381259.896,2814129,3097392
1120.2781259.941,2813964,3096838
1120.3181259.981,2813774,3096403
1120.3581260.021,2813708,3096216
1120.3981260.061,2813635,3096044
1120.441260.101,2813547,3095885
1120.481260.142,2813506,3095843
1120.521260.182,2813521,3095932
1120.561260.222,2813531,3095967
1120.61260.262,2813507,3095941
1120.641260.302,2813504,3095923
1120.681260.344,2813477,3095892
1120.721260.384,2813383,3095778
1120.761260.424,2813235,3095611
1120.81260.464,2813100,3095419
1120.8431260.504,2813012,3095295
1120.8831260.545,2812986,3095225
1120.9231260.585,2812952,3095198
1120.9631260.625,2812909,3095152
1121.0031260.665,2812873,3095124
1121.0471260.705,2812880,3095145
1121.0871260.746,2812889,3095151
1121.1271260.786,2812854,3095138
1121.1671260.826,2812827,3095129
1121.2071260.866,2812763,3095053
1121.2521260.906,2812638,3094693
1121.2921260.948,2812416,3094188
1121.3321260.988,2812223,3093751
1121.3721261.028,2812029,3093434
1121.4121261.068,2811871,3093140
1121.4521261.108,2811734,3092897
1121.4561261.148,2811574,3092709
1121.4961261.153,2811443,3092559
1121.5361261.193,2811300,3092374
1121.5761261.233,2811200,3092186
1121.6161261.273,2811106,3092067
1121.6611261.313,2811028,3091951
1121.7011261.36,2810925,3091839
1121.7411261.4,2810804,3091744
1121.7811261.44,2810681,3091669
1121.8211261.48,2810574,3091557
1121.8681261.52,2810488,3091414
1121.9081261.561,2810388,3091310
1121.9481261.601,2810318,3091224
1121.9881261.641,2810256,3091137
1122.0281261.681,2810190,3091031
1122.0741261.721,2810117,3090961
1122.1141261.765,2810046,3090890
1122.1541261.805,2809978,3090804
1122.1941261.845,2809839,3090515
1122.2341261.885,2809624,3089948
1122.2781261.925,2809419,3089355
1122.3181261.97,2809198,3088856
1122.3581262.01,2809007,3088364
1122.3981262.05,2808844,3087873
1122.4381262.09,2808714,3087546
1122.4791262.13,2808671,3087360
1122.5191262.176,2808637,3087181
