Time (s),Red,IR
66.031,2812332,3099684
66.071,2812586,3100354
66.111,2812270,3099841
66.151,2812063,3099352
66.191,2812038,3099088
66.238,2811787,3098415
66.278,2811764,3098530
66.318,2812203,3099705
66.358,2812505,3100387
66.398,2812479,3100328
66.439,2812423,3100224
66.479,2812263,3099743
66.519,2811916,3098800
66.559,2811556,3097896
66.599,2811692,3098145
66.64,2812419,3099717
66.68,2812505,3100115
66.72,2812141,3099430
66.76,2812056,3099158
66.8,2812007,3099050
66.84,2811826,3098650
66.88,2812280,3099852
66.92,2813158,3101593
66.96,2813157,3101734
67,2813106,3101764
67.044,2813184,3101884
67.084,2812540,3100442
67.124,2812254,3099912
67.164,2812487,3100603
67.204,2813564,3102530
67.249,2813488,3102360
67.289,2812688,3100732
67.329,2811988,3098791
67.369,2811713,3098175
67.409,2811834,3098625
67.449,2811987,3099206
67.451,2812947,3101332
67.491,2813830,3102958
67.531,2813212,3101950
67.571,2812668,3100771
67.611,2812278,3100060
67.652,2812176,3099870
67.692,2812978,3101410
67.732,2813573,3102545
67.772,2813135,3101776
67.812,2812173,3099293
67.854,2811477,3097530
67.894,2811359,3097412
67.934,2811836,3098712
67.974,2813257,3101610
68.014,2813416,3102149
68.056,2813780,3102985
68.096,2813109,3101533
68.136,2812366,3100155
68.176,2812431,3100636
68.216,2813180,3102075
68.259,2812856,3101510
68.299,2812240,3099965
68.339,2811822,3098775
68.379,2811623,3098284
68.419,2811743,3098568
68.466,2812052,3099310
68.506,2812878,3100808
68.546,2812560,3100090
68.586,2811795,3098398
68.626,2811674,3098321
68.673,2811947,3099294
68.713,2813453,3102134
68.753,2813980,3103008
68.793,2813291,3101755
68.833,2812556,3100017
68.876,2812362,3099650
68.916,2812285,3099663
68.956,2812329,3100003
68.996,2812984,3101520
69.036,2813285,3102083
69.079,2812857,3101208
69.119,2812210,3099399
69.159,2811598,3097996
69.199,2811734,3098531
69.239,2813182,3101384
69.282,2813240,3101583
69.322,2813044,3101290
69.362,2812664,3100301
69.402,2812359,3099469
69.442,2812104,3098992
69.482,2812354,3099758
69.483,2813443,3101879
69.523,2813149,3101405
69.563,2812825,3100753
69.603,2812541,3100170
69.643,2812283,3099847
69.69,2812739,3100918
69.73,2814034,3103283
69.77,2813865,3103038
69.81,2812919,3100955
69.85,2812354,3099615
69.896,2812042,3099180
69.936,2811955,3099341
69.976,2812017,3099741
70.016,2812535,3101045
70.056,2813047,3102050
70.101,2812387,3100754
70.141,2811857,3099564
70.181,2811701,3099555
70.221,2811756,3099754
70.261,2812155,3100611
70.302,2811969,3100203
70.342,2811775,3099438
70.382,2811637,3098687
70.422,2811503,3098440
