Time (s),Red,IR
33.251,2257556,1980257
33.291,2257491,1980283
33.331,2257346,1980272
33.391,2257395,1980382
33.431,2257695,1980692
33.471,2257441,1980574
33.511,2256966,1980280
33.551,2258034,1981218
33.612,2257499,1980556
33.652,2256486,1979599
33.692,2257293,1980143
33.732,2258049,1980720
33.772,2258008,1980609
33.832,2257135,1980010
33.872,2256928,1979938
33.912,2257350,1980322
33.952,2257996,1980858
33.992,2257797,1980763
34.051,2256700,1980058
34.091,2257321,1980630
34.131,2257820,1981060
34.171,2257595,1980950
34.211,2257434,1980919
34.253,2258271,1981640
34.293,2258501,1981680
34.333,2257844,1980938
34.373,2257167,1980275
34.413,2256815,1979902
34.472,2256194,1979403
34.512,2255634,1979003
34.552,2255359,1978843
34.592,2254796,1978462
34.632,2254971,1978656
34.672,2255485,1979089
34.712,2255412,1979080
34.752,2254631,1978543
34.792,2254477,1978452
34.832,2254744,1978815
34.893,2255460,1979410
34.933,2255471,1979482
34.973,2254592,1978876
35.013,2255485,1979522
35.053,2255379,1979191
35.093,2254358,1978189
35.113,2254644,1978306
35.153,2255826,1979108
35.193,2256351,1979481
35.233,2254467,1978044
35.273,2252930,1976967
35.314,2253832,1977772
35.354,2255646,1979192
35.394,2255256,1978914
35.434,2253459,1977608
35.474,2253231,1977531
35.535,2253874,1978101
35.575,2253972,1978239
35.615,2253800,1978162
35.655,2252770,1977454
35.695,2252411,1977221
35.735,2254448,1978663
35.755,2254869,1978697
35.795,2253008,1977044
35.835,2252105,1976254
35.875,2253426,1977225
35.915,2254170,1977826
35.955,2253951,1977695
35.995,2252625,1976723
36.035,2251995,1976293
36.075,2252480,1976745
36.115,2253153,1977309
36.175,2253094,1977334
36.215,2252429,1976893
36.255,2251974,1976615
36.295,2252303,1976956
36.335,2252864,1977476
36.375,2252943,1977584
36.377,2252659,1977312
36.417,2252484,1976960
36.457,2252755,1976941
36.497,2253610,1977448
36.537,2253396,1977157
36.595,2252846,1976720
36.635,2253008,1976922
36.675,2253682,1977482
36.715,2253767,1977583
36.755,2253260,1977232
36.816,2253263,1977306
36.856,2253580,1977615
36.896,2254198,1978162
36.936,2254551,1978483
36.976,2253919,1978058
37.016,2254168,1978436
37.056,2254986,1979077
37.096,2254615,1978571
37.136,2253279,1977263
37.236,2253972,1977545
37.276,2254044,1977532
37.316,2253176,1976891
37.356,2252823,1976692
37.396,2252891,1976799
37.437,2253573,1977341
37.477,2253485,1977331
37.517,2252635,1976715
37.557,2252224,1976487
37.597,2252937,1977110
37.658,2253323,1977453
37.698,2252590,1976944
37.738,2252146,1976747
37.778,2252969,1977391
37.818,2253602,1977643
37.877,2252783,1976752
37.917,2252479,1976328
37.957,2253341,1976860
37.997,2253385,1976814
38.037,2253198,1976675
38.077,2253410,1976902
38.077,2253305,1976846
38.117,2253213,1976815
38.157,2253485,1977066
38.197,2253508,1977136
38.237,2252896,1976739
38.297,2252936,1976870
38.337,2253529,1977397
38.377,2253319,1977288
38.417,2252706,1976897
38.457,2253076,1977270
38.519,2253773,1977697
38.559,2253495,1977186
38.599,2252792,1976364
38.639,2253122,1976443
38.679,2253728,1976785
38.719,2253553,1976592
38.74,2253224,1976414
38.78,2253161,1976455
38.82,2253287,1976591
38.86,2253574,1976865
38.9,2253740,1977056
38.96,2253434,1976878
39,2253528,1977071
39.04,2254308,1977742
39.08,2254577,1977996
39.12,2254018,1977648
39.16,2253686,1977479
39.16,2254194,1977950
39.2,2254467,1977951
39.24,2253365,1976792
39.28,2252170,1975697
39.32,2253471,1976551
39.38,2254188,1977008
39.42,2253310,1976334
39.46,2252727,1975969
39.5,2252928,1976219
39.54,2254433,1977416
39.601,2255103,1977971
39.641,2254373,1977469
39.681,2253674,1977042
39.721,2253597,1977086
39.761,2253889,1977324
39.801,2253498,1977139
39.82,2252978,1976831
39.86,2252407,1976502
39.9,2253265,1977211
39.94,2254041,1977668
39.98,2253171,1976710
40.041,2252401,1975938
40.081,2252785,1976161
40.121,2253271,1976461
40.161,2253061,1976357
40.201,2252919,1976327
40.241,2251982,1975753
40.281,2252185,1975987
40.321,2253191,1976819
40.361,2252791,1976592
40.461,2251315,1975663
40.501,2252036,1976307
40.541,2252430,1976692
40.581,2252625,1976940
40.621,2252773,1977123
40.682,2252483,1976774
40.722,2251986,1976241
40.762,2252731,1976589
40.802,2253743,1977373
40.842,2253258,1976959
40.903,2252673,1976596
40.943,2252782,1976759
40.983,2252891,1976898
41.023,2252921,1976976
41.063,2252534,1976737
41.103,2252309,1976643
41.122,2252222,1976660
41.162,2252529,1976975
41.202,2252480,1977000
41.242,2251723,1976481
41.282,2251447,1976382
41.343,2252034,1976910
41.383,2252491,1977252
41.423,2251765,1976519
41.463,2249134,1974189
41.503,2248036,1973279
41.543,2248233,1973350
41.564,2248375,1973446
41.604,2247991,1973226
41.644,2247955,1973252
41.684,2247895,1973273
41.724,2248069,1973476
41.784,2248152,1973589
41.824,2247874,1973485
41.864,2247738,1973411
41.904,2248072,1973749
41.944,2247994,1973745
41.984,2247739,1973629
41.985,2247652,1973640
42.025,2247993,1973992
42.065,2248525,1974317
42.105,2248065,1973730
42.145,2247158,1972860
42.203,2247799,1973213
42.243,2248440,1973597
42.283,2247606,1972912
42.323,2247347,1972790
42.363,2247614,1973059
42.424,2247655,1973123
42.464,2247773,1973257
42.504,2247989,1973465
42.544,2247491,1973148
42.584,2247082,1972918
42.624,2247580,1973389
42.624,2247874,1973654
42.664,2247442,1973380
42.704,2247214,1973310
42.744,2247860,1973833
42.784,2248265,1974108
42.844,2247605,1973387
42.884,2247025,1972741
42.924,2247593,1973038
42.964,2248387,1973511
43.004,2248052,1973183
43.045,2247316,1972673
43.085,2247468,1972872
43.125,2247967,1973283
43.165,2247971,1973309
43.205,2247601,1973071
43.266,2247409,1972995
43.306,2247576,1973204
43.346,2247845,1973480
43.386,2247913,1973596
43.426,2247558,1973389
43.486,2247755,1973712
43.526,2248378,1974191
43.566,2248152,1973824
43.606,2247237,1972891
43.646,2247535,1972945
43.707,2248225,1973328
43.747,2247916,1973008
43.787,2247232,1972516
43.827,2247382,1972747
43.867,2247766,1973019
43.928,2247698,1973041
43.968,2247523,1972973
44.008,2247473,1973002
44.048,2247790,1973305
44.088,2247816,1973379
44.131,2247315,1973061
44.171,2247346,1973166
44.211,2247783,1973567
44.251,2247985,1973784
44.291,2247986,1973725
44.349,2247483,1973103
44.389,2247356,1972793
44.429,2248252,1973325
44.469,2248191,1973155
44.509,2247400,1972540
44.569,2247418,1972634
44.609,2247955,1973071
44.649,2247969,1973102
44.689,2247858,1973047
44.729,2247629,1972913
44.769,2247390,1972792
44.77,2247624,1973041
44.81,2247989,1973386
44.85,2247740,1973221
44.89,2247342,1973000
44.93,2247527,1973222
44.989,2247877,1973547
45.029,2247915,1973601
45.069,2247622,1973188
45.109,2247208,1972591
45.149,2247601,1972703
45.192,2248243,1973018
45.232,2247778,1972563
45.272,2246933,1971965
45.312,2247385,1972369
45.352,2247933,1972803
45.41,2247600,1972560
45.45,2247449,1972510
45.49,2247392,1972519
45.53,2247146,1972401
45.57,2247259,1972556
45.61,2247556,1972844
45.63,2247349,1972726
45.67,2247020,1972557
45.71,2247319,1972876
45.75,2247668,1973190
45.79,2247671,1973069
