Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC,Filtered,ZeroCross
27539,0.980097,58,965,1020,2257634,1980600,223.522,0
27582,0.980097,58,922,1020,2257579,1980629,213.413,0
27622,0.980097,58,882,1020,2257706,1980807,183.722,0
27662,0.980097,58,842,1020,2257871,1981008,165.607,0
27702,0.980097,58,802,1020,2257977,1981132,178.826,0
27742,0.980097,58,762,1020,2258009,1981029,208.351,0
27800,0.980097,58,704,1020,2257722,1980561,206.705,0
27840,0.980097,58,664,1020,2257821,1980431,143.149,0
27880,0.980097,58,624,1020,2258355,1980722,79.5977,0
27920,0.980097,58,584,1020,2258231,1980539,80.7408,0
27960,0.980097,58,544,1020,2257898,1980306,88.4604,0
28000,0.980097,58,504,1020,2257918,1980395,31.5351,0
28000,0.95291,57,786,1049,2258152,1980625,-54.1887,1
28040,0.95291,57,746,1049,2258345,1980820,-93.514,0
28080,0.95291,57,706,1049,2258296,1980826,-72.4972,0
28120,0.95291,57,666,1049,2258006,1980668,-51.3404,0
28160,0.95291,57,626,1049,2257977,1980716,-84.0182,0
28221,0.95291,57,565,1049,2258410,1981120,-129.184,0
28261,0.95291,57,525,1049,2258440,1981206,-114.584,0
28301,0.95291,57,485,1049,2257943,1980886,-78.857,0
28341,0.95291,57,445,1049,2257873,1980912,-106.799,0
28381,0.95291,57,405,1049,2258158,1981213,-170.652,0
28439,0.95291,57,347,1049,2258321,1981404,-180.452,0
28479,0.95291,57,307,1049,2258328,1981409,-115.554,0
28519,0.95291,57,267,1049,2257894,1980849,-47.009,0
28559,0.95291,57,227,1049,2257589,1980374,-63.3412,0
28599,0.95291,57,187,1049,2258151,1980673,-131.684,0
28639,0.95291,57,147,1049,2258366,1980740,-125.635,0
28643,0.95291,57,143,1049,2257891,1980336,-44.2923,0
28683,0.95291,57,103,1049,2257651,1980170,-4.72027,0
28723,0.95291,57,63,1049,2257661,1980342,-44.64,0
28763,0.95291,57,23,1049,2258091,1980669,-82.4738,0
28803,0.95291,57,1032,1049,2258081,1980691,-41.9525,0
28860,0.95291,57,975,1049,2257485,1980264,20.46,0
28900,0.95291,57,935,1049,2257491,1980374,9.65148,0
28940,0.977168,58,767,1023,2257910,1980775,-30.6881,1
28980,0.977168,58,727,1023,2258033,1980929,-2.71775,0
29020,0.977168,58,687,1023,2257834,1980837,81.6631,0
29082,0.977168,58,625,1023,2257508,1980656,128.822,0
29122,0.977168,58,585,1023,2257653,1980849,99.8905,0
29162,0.977168,58,545,1023,2257975,1981181,62.7087,0
29202,0.977168,58,505,1023,2258279,1981399,98.0742,0
29242,0.977168,58,465,1023,2257861,1980835,178.4,0
