Time (s),Red,IR
45.004,1422451,1977823
45.044,1422448,1977821
45.084,1422451,1977830
45.124,1422450,1977825
45.164,1422445,1977821
45.211,1422445,1977822
45.251,1422446,1977823
45.291,1422449,1977832
45.331,1422451,1977825
45.371,1422453,1977837
45.415,1422448,1977831
45.455,1422451,1977836
45.495,1422450,1977830
45.535,1422453,1977835
45.575,1422453,1977829
45.615,1422446,1977839
45.655,1422462,1977827
45.695,1422459,1977836
45.735,1422457,1977842
45.775,1422451,1977831
45.816,1422450,1977828
45.856,1422452,1977832
45.896,1422453,1977826
45.936,1422448,1977826
45.976,1422452,1977828
46.017,1422464,1977834
46.057,1422474,1977833
46.097,1422464,1977836
46.137,1422457,1977827
46.177,1422468,1977828
46.221,1422445,1977835
46.261,1422449,1977824
46.301,1422457,1977833
46.341,1422462,1977827
46.381,1422456,1977832
46.425,1422452,1977831
46.465,1422460,1977837
46.505,1422466,1977831
46.545,1422463,1977835
46.585,1422464,1977843
46.629,1422456,1977841
46.669,1422464,1977833
46.709,1422464,1977829
46.749,1422464,1977841
46.789,1422455,1977838
46.829,1422462,1977846
46.836,1422466,1977850
46.876,1422464,1977839
46.916,1422460,1977848
46.956,1422463,1977843
46.996,1422477,1977844
47.037,1422470,1977840
47.077,1422467,1977829
47.117,1422470,1977840
47.157,1422479,1977843
47.197,1422478,1977844
47.242,1422468,1977850
47.282,1422472,1977847
47.322,1422472,1977856
47.362,1422471,1977839
47.402,1422471,1977850
47.447,1422460,1977854
47.487,1422471,1977853
47.527,1422474,1977846
47.567,1422478,1977841
47.607,1422477,1977848
47.65,1422481,1977845
47.69,1422476,1977847
47.73,1422476,1977843
47.77,1422480,1977855
47.81,1422476,1977846
47.85,1422491,1977855
47.89,1422474,1977852
47.93,1422475,1977849
47.97,1422479,1977852
48.01,1422478,1977852
48.056,1422479,1977852
48.096,1422471,1977843
48.136,1422480,1977854
48.176,1422480,1977850
48.216,1422485,1977850
48.26,1422478,1977848
48.3,1422477,1977854
48.34,1422484,1977854
48.38,1422476,1977851
48.42,1422481,1977852
48.464,1422481,1977843
48.504,1422479,1977845
48.544,1422490,1977849
48.584,1422487,1977848
48.624,1422482,1977846
48.67,1422477,1977843
48.71,1422476,1977855
48.75,1422484,1977851
48.79,1422482,1977849
48.83,1422491,1977851
48.872,1422487,1977856
48.912,1422480,1977852
48.952,1422484,1977854
48.992,1422483,1977850
49.032,1422489,1977849
49.076,1422489,1977855
49.116,1422486,1977857
49.156,1422479,1977846
49.196,1422483,1977859
49.236,1422488,1977856
49.283,1422487,1977853
49.323,1422483,1977851
49.363,1422483,1977855
49.403,1422484,1977856
49.443,1422476,1977851
49.489,1422483,1977846
49.529,1422493,1977854
49.569,1422477,1977853
49.609,1422489,1977857
49.649,1422486,1977864
49.69,1422487,1977849
49.73,1422484,1977857
49.77,1422499,1977856
49.81,1422491,1977856
49.85,1422487,1977855
49.892,1422489,1977853
49.932,1422488,1977857
49.972,1422489,1977863
50.012,1422491,1977851
50.052,1422491,1977863
50.093,1422488,1977851
50.133,1422490,1977858
50.173,1422496,1977864
50.213,1422494,1977865
50.253,1422488,1977865
50.298,1422481,1977857
50.338,1422496,1977868
50.378,1422493,1977860
50.418,1422489,1977860
50.458,1422500,1977857
50.498,1422504,1977866
50.504,1422499,1977856
50.544,1422491,1977863
50.584,1422489,1977864
50.624,1422500,1977861
50.664,1422498,1977860
50.706,1422493,1977846
50.746,1422496,1977851
50.786,1422505,1977853
50.826,1422494,1977856
50.866,1422501,1977844
50.906,1422489,1977855
50.946,1422488,1977848
50.986,1422486,1977851
51.026,1422503,1977858
51.066,1422488,1977845
51.112,1422490,1977853
51.152,1422500,1977850
51.192,1422498,1977861
51.232,1422493,1977863
51.272,1422502,1977855
51.319,1422504,1977847
51.359,1422505,1977857
51.399,1422501,1977865
51.439,1422503,1977854
51.479,1422499,1977850
51.524,1422487,1977849
51.564,1422506,1977856
51.604,1422501,1977865
51.644,1422500,1977854
51.684,1422498,1977871
51.729,1422509,1977864
51.769,1422503,1977862
51.809,1422503,1977863
51.849,1422503,1977861
51.889,1422502,1977870
51.933,1422508,1977871
51.973,1422509,1977868
52.013,1422514,1977868
52.053,1422516,1977872
52.093,1422510,1977877
52.136,1422510,1977872
52.176,1422507,1977884
52.216,1422520,1977868
52.256,1422513,1977873
52.296,1422500,1977873
52.341,1422494,1977862
52.381,1422503,1977863
52.421,1422509,1977875
52.461,1422514,1977875
52.501,1422521,1977872
52.546,1422520,1977869
52.586,1422517,1977875
52.626,1422506,1977875
52.666,1422515,1977870
52.706,1422514,1977877
52.746,1422512,1977874
52.786,1422510,1977874
52.826,1422520,1977888
52.866,1422513,1977881
52.906,1422514,1977878
52.948,1422519,1977881
52.988,1422508,1977878
53.028,1422519,1977884
53.068,1422522,1977879
53.108,1422522,1977874
53.154,1422518,1977891
53.194,1422518,1977882
53.234,1422525,1977892
53.274,1422520,1977884
53.314,1422523,1977885
53.36,1422530,1977874
53.4,1422518,1977889
53.44,1422520,1977882
53.48,1422523,1977890
53.52,1422525,1977887
53.564,1422519,1977891
53.604,1422524,1977890
53.644,1422526,1977884
53.684,1422513,1977886
53.724,1422528,1977881
53.764,1422509,1977878
53.767,1422515,1977887
53.807,1422527,1977872
53.847,1422523,1977885
53.887,1422520,1977882
53.927,1422526,1977884
53.972,1422524,1977887
54.012,1422535,1977894
54.052,1422519,1977878
54.092,1422519,1977883
54.132,1422526,1977886
54.178,1422521,1977883
54.218,1422523,1977879
54.258,1422525,1977875
54.298,1422530,1977880
54.338,1422520,1977876
54.385,1422539,1977890
54.425,1422531,1977889
54.465,1422524,1977878
54.505,1422533,1977888
54.545,1422534,1977881
54.587,1422531,1977886
54.627,1422528,1977890
54.667,1422536,1977896
54.707,1422533,1977885
54.747,1422530,1977882
54.792,1422529,1977875
54.832,1422535,1977886
54.872,1422529,1977885
54.912,1422531,1977893
54.952,1422525,1977882
54.999,1422536,1977889
55.039,1422535,1977884
55.079,1422530,1977879
55.119,1422523,1977887
55.159,1422528,1977877
55.199,1422524,1977882
55.2,1422525,1977873
55.24,1422530,1977888
55.28,1422527,1977887
55.32,1422525,1977894
55.36,1422537,1977888
55.404,1422541,1977890
55.444,1422537,1977876
55.484,1422530,1977887
55.524,1422541,1977893
55.564,1422542,1977891
55.606,1422542,1977896
55.646,1422533,1977892
55.686,1422533,1977888
55.726,1422528,1977880
55.766,1422535,1977887
55.812,1422533,1977895
55.852,1422531,1977894
55.892,1422530,1977895
55.932,1422534,1977882
55.972,1422536,1977893
56.012,1422539,1977893
56.052,1422540,1977891
56.092,1422533,1977892
56.132,1422531,1977899
56.172,1422540,1977897
56.216,1422541,1977888
56.256,1422537,1977895
56.296,1422536,1977887
56.336,1422526,1977886
56.376,1422531,1977886
56.417,1422532,1977887
56.457,1422532,1977894
56.497,1422542,1977893
56.537,1422549,1977901
56.577,1422538,1977897
56.62,1422540,1977890
56.66,1422534,1977900
56.7,1422543,1977892
56.74,1422541,1977888
56.78,1422538,1977890
56.824,1422540,1977889
56.864,1422541,1977898
56.904,1422533,1977886
56.944,1422533,1977893
56.984,1422540,1977901
57.028,1422542,1977897
57.068,1422542,1977898
57.108,1422548,1977889
57.148,1422543,1977905
57.188,1422532,1977904
57.234,1422545,1977896
57.274,1422547,1977897
57.314,1422543,1977898
57.354,1422545,1977894
57.394,1422549,1977895
57.434,1422538,1977899
57.436,1422543,1977891
57.476,1422545,1977903
57.516,1422543,1977899
57.556,1422545,1977901
57.596,1422544,1977896
57.637,1422542,1977893
57.677,1422553,1977892
57.717,1422536,1977898
57.757,1422538,1977881
57.797,1422541,1977898
57.838,1422559,1977893
57.878,1422545,1977885
57.918,1422536,1977884
57.958,1422548,1977880
57.998,1422551,1977903
58.044,1422546,1977889
58.084,1422555,1977888
58.124,1422555,1977885
58.164,1422557,1977890
58.204,1422547,1977887
58.248,1422570,1977896
58.288,1422555,1977897
58.328,1422554,1977895
58.368,1422548,1977904
58.408,1422558,1977892
58.454,1422557,1977893
58.494,1422566,1977901
58.534,1422559,1977915
58.574,1422576,1977929
58.614,1422603,1977945
58.658,1422620,1977974
58.698,1422638,1978011
58.738,1422639,1978044
58.778,1422593,1977929
58.818,1422583,1978027
58.861,1422629,1977864
58.901,1419976,1973864
58.941,1418648,1971782
58.981,1416700,1968733
59.021,1415791,1967340
59.064,1417990,1970679
59.104,1421419,1974917
59.144,1423531,1977911
59.184,1425020,1980287
59.224,1424462,1979864
59.267,1424166,1979684
59.307,1424221,1979773
59.347,1424187,1979763
59.387,1424067,1979624
59.427,1423955,1979468
59.47,1423802,1979334
59.51,1423890,1979462
59.55,1424272,1980113
59.59,1423729,1979384
59.63,1423238,1978709
59.674,1423208,1978709
59.714,1424052,1979947
59.754,1424903,1981153
59.794,1425374,1981853
59.834,1425762,1982360
59.877,1425350,1981744
59.917,1424929,1981112
59.957,1426126,1982955
59.997,1426167,1982724
60.037,1423483,1978858
60.081,1421041,1974746
60.121,1421891,1974824
60.161,1424422,1977624
60.201,1427456,1980957
60.241,1432078,1984927
60.289,1439524,1994664
60.329,1993518,2826125
60.369,2269225,3107207
60.409,2256051,3092477
60.449,1155399,1714711
60.492,864131,1418811
60.532,854507,1145130
60.572,1152668,1710255
60.612,1432902,1990228
60.652,1707673,2268689
60.699,1981264,2549056
60.739,2262143,3096782
60.779,2272379,3106065
60.819,2542059,3378087
60.859,2528969,3365119
60.901,1438731,1988912
60.941,1440057,1994350
60.981,1439836,1992097
61.021,1709371,2263861
61.061,1988697,2549927
61.104,2263920,2830659
61.144,2275120,3104114
61.184,2551966,3382119
61.224,2821024,3388959
61.264,1737848,2274231
61.307,1983575,1991728
61.347,1981732,1989720
61.387,1981552,1986186
61.427,1985178,1987842
61.467,1985816,1988950
61.512,1970792,1968293
61.552,1417359,1416650
61.592,1138614,1141231
61.632,1134566,1137252
61.672,860924,864646
61.716,583401,589718
61.756,579320,588180
61.796,592832,867069
61.836,1151782,1425931
61.876,2257818,1993913
61.917,2272586,2263480
61.957,2541188,2270031
61.997,2538630,2265966
62.037,2525889,2255970
62.077,2250849,1982441
62.117,1425985,1425149
62.157,1143226,1409335
62.197,860871,868522
62.237,583938,856114
62.277,576185,586966
62.319,310077,582539
62.359,310481,582997
62.399,312571,584402
62.439,317822,589532
62.479,321411,592850
62.523,592932,601249
62.563,597335,604157
62.603,870590,876238
62.643,881506,1149186
62.683,1425100,1430082
62.728,1435948,1707988
62.768,1438776,1712600
62.808,1717357,1990032
62.848,1719369,1992516
62.888,1983497,1993741
62.929,1984484,1991567
62.969,2260384,1997379
63.009,2268323,2264253
63.049,2270109,2272434
63.089,2276119,2542396
63.13,2276992,2543619
63.17,2540202,2545463
63.21,2541169,2549139
63.25,2541738,2554047
63.29,2544565,2821742
63.33,2820525,3100613
63.37,2827940,3108205
63.41,2821431,3101469
63.45,2810498,3089438
63.534,2808210,3086619
63.574,2823735,3099135
63.614,3103171,3376383
63.654,3376428,3386134
63.694,3379459,3390993
63.74,3378745,3654259
63.78,3376338,3651819
63.82,3373185,3647766
63.86,3372209,3645974
63.9,3373055,3645733
63.943,3374631,3643766
63.983,3375229,3642739
64.023,3375902,3643709
64.063,3384771,3654237
64.103,3383692,3656211
64.148,3389534,3662713
64.188,3650888,3662156
64.228,3640514,3653001
64.268,3374307,3649657
64.308,3371036,3648355
64.348,3366806,3647790
64.388,3364335,3646532
64.428,3363413,3646542
64.468,3361952,3645393
64.508,3361264,3644815
64.55,3362262,3644744
64.59,3362955,3641336
64.63,3359153,3372324
64.67,3094167,3369028
64.71,3091606,3368948
64.756,3089990,3370094
64.796,3089012,3370177
64.836,3088570,3369988
64.876,3089046,3371396
64.916,3089509,3372958
64.963,3089507,3373445
65.003,3089498,3373762
65.043,3089610,3373721
65.083,3089601,3373627
65.123,3089539,3373646
65.165,3089482,3373734
65.205,3089490,3373859
65.245,3089526,3373964
65.285,3089549,3374039
65.325,3089680,3374237
65.365,3089724,3374337
65.366,3089626,3374428
65.406,3089491,3374414
65.446,3089496,3374610
65.486,3089415,3374988
65.526,3089351,3375163
65.571,3089398,3375209
65.611,3089465,3375508
65.651,3089418,3375850
65.691,3089348,3375928
65.731,3089434,3376177
65.778,3089785,3376817
65.818,3090253,3377450
65.858,3090489,3377691
65.898,3090776,3378136
65.938,3090978,3378446
65.981,3091186,3378772
66.021,3091630,3379438
66.061,3091899,3379737
66.101,3091225,3378635
66.141,3090451,3377423
66.182,3090802,3377589
66.222,3091187,3377951
66.262,3091130,3377893
66.302,3090951,3377761
66.342,3090785,3377551
66.384,3090636,3377349
66.424,3090550,3377233
66.464,3090518,3377242
66.504,3090518,3377291
66.544,3090536,3377347
66.59,3090546,3377379
66.63,3090521,3377386
66.67,3090498,3377378
66.71,3090472,3377373
66.75,3090466,3377406
66.797,3090461,3377421
66.837,3090430,3377416
66.877,3090426,3377430
66.917,3090425,3377463
66.957,3090409,3377475
67.001,3090334,3377454
67.041,3090192,3377312
67.081,3090121,3377168
67.121,3090011,3377080
67.161,3090018,3377108
67.206,3090089,3377173
67.246,3090169,3377253
67.286,3090146,3377279
67.326,3090124,3377298
67.366,3090130,3377307
67.406,3090083,3377294
67.446,3089897,3377225
67.486,3089636,3377110
67.526,3089333,3376896
67.566,3089082,3376642
67.61,3088937,3376407
67.65,3088838,3376278
67.69,3088891,3376239
67.73,3089215,3376565
67.77,3090232,3377896
67.813,3091080,3378966
67.853,3091533,3379426
67.893,3091949,3379998
67.933,3092358,3380530
67.973,3092239,3380421
68.018,3091801,3379903
68.058,3090654,3378402
68.098,3090273,3378020
68.138,3090175,3378066
68.178,3090351,3378299
68.219,3090522,3378455
68.259,3090579,3378527
68.299,3090539,3378491
68.339,3090511,3378476
68.379,3090484,3378459
68.426,3090449,3378442
68.466,3090405,3378414
68.506,3090371,3378402
68.546,3090315,3378351
68.586,3090227,3378184
68.628,3090160,3378013
68.668,3090149,3377967
68.708,3090175,3378018
68.748,3090197,3378079
68.788,3090231,3378169
68.835,3090245,3378219
68.875,3090232,3378228
68.915,3090220,3378270
68.955,3090221,3378287
68.995,3090218,3378304
69.035,3090222,3378342
69.035,3090200,3378341
69.075,3090169,3378366
69.115,3090156,3378378
69.155,3090131,3378374
69.195,3090116,3378370
69.24,3090108,3378384
69.28,3090088,3378357
69.32,3090018,3378188
69.36,3089948,3378053
69.4,3089924,3378047
69.441,3089931,3378091
69.481,3089940,3378185
69.521,3089971,3378266
69.561,3089964,3378283
69.601,3089945,3378271
69.642,3089932,3378296
69.682,3089939,3378310
69.722,3089919,3378346
69.762,3089925,3378359
69.802,3089912,3378372
69.851,3089897,3378391
69.891,3089898,3378398
69.931,3089888,3378405
69.971,3089884,3378439
70.011,3089868,3378437
70.051,3089843,3378389
70.091,3089745,3378185
70.131,3089659,3378021
70.171,3089649,3378020
