Time (s),Red,IR
6.236,2807896,3092760
6.276,2807899,3092722
6.316,2807830,3092489
6.356,2807780,3092287
6.396,2807757,3092214
6.439,2807755,3092190
6.479,2807755,3092205
6.519,2807771,3092242
6.559,2807803,3092310
6.599,2807802,3092322
6.645,2807806,3092315
6.685,2807795,3092332
6.725,2807790,3092370
6.765,2807790,3092408
6.805,2807794,3092459
6.849,2807800,3092489
6.889,2807808,3092517
6.929,2807822,3092548
6.969,2807815,3092572
7.009,2807816,3092601
7.054,2807807,3092633
7.094,2807826,3092675
7.134,2807827,3092667
7.174,2807764,3092450
7.214,2807687,3092220
7.26,2807658,3092156
7.3,2807672,3092174
7.34,2807669,3092229
7.38,2807694,3092271
7.42,2807679,3092290
7.46,2807676,3092282
7.464,2807809,3092521
7.504,2808004,3092876
7.544,2807939,3092839
7.584,2807836,3092757
7.624,2807898,3092918
7.669,2807873,3092952
7.709,2807914,3093079
7.749,2808016,3093322
7.789,2808140,3093656
7.829,2808458,3094228
7.87,2808784,3094718
7.91,2808821,3094765
7.95,2808827,3094779
7.99,2808713,3094426
8.03,2808505,3093885
8.073,2808382,3093546
8.113,2808448,3093606
8.153,2808598,3093821
8.193,2808678,3094013
8.233,2808714,3094090
8.281,2808621,3093907
8.321,2808334,3093427
8.361,2808378,3093469
8.401,2808693,3093970
8.441,2808768,3094091
8.486,2808661,3093935
8.526,2808665,3093953
8.566,2808644,3093931
8.606,2808682,3093966
8.646,2808656,3093982
8.69,2808612,3093922
8.73,2808589,3093918
8.77,2808523,3093772
8.81,2808431,3093511
8.85,2808446,3093491
8.891,2808539,3093665
8.931,2808630,3093905
8.971,2808730,3094203
9.011,2808785,3094398
9.051,2808762,3094354
9.095,2808680,3094205
9.135,2808634,3094057
9.175,2808767,3094246
9.215,2808913,3094521
9.255,2808926,3094612
9.295,2808908,3094653
9.299,2808816,3094600
9.339,2808734,3094549
9.379,2808758,3094625
9.419,2808808,3094608
9.459,2808635,3094164
9.503,2808502,3093803
9.543,2808588,3093871
9.583,2808762,3094180
9.623,2808844,3094411
9.663,2809020,3094857
9.708,2809224,3095288
9.748,2808965,3095089
9.788,2808737,3094818
9.828,2808684,3094594
9.868,2808998,3094956
9.908,2809909,3096166
9.948,2810502,3096810
9.988,2810627,3096820
10.028,2811309,3097837
10.068,2812134,3098980
10.11,2812799,3099847
10.15,2813017,3100044
10.19,2812920,3099697
10.23,2812828,3099451
10.27,2812883,3099446
10.312,2813015,3099719
10.352,2813208,3100040
10.392,2813518,3100370
10.432,2813796,3100627
10.472,2814470,3101787
10.517,2813915,3100867
10.557,2812943,3099427
10.597,2812660,3099041
10.637,2812315,3098666
10.677,2812513,3099089
10.723,2812804,3099585
10.763,2813271,3100368
10.803,2813981,3101550
10.843,2814168,3101599
10.883,2813859,3100523
10.923,2813646,3099912
10.963,2814171,3100711
11.003,2814787,3101750
11.043,2815024,3102201
11.083,2814337,3101118
11.124,2813402,3099884
11.164,2813206,3099620
11.204,2813388,3099843
11.244,2813963,3100800
11.284,2814659,3102025
11.325,2814153,3100909
11.365,2813939,3100384
11.405,2814417,3101271
11.445,2814468,3101516
11.485,2813869,3100675
11.529,2813802,3100637
11.569,2813638,3100211
11.609,2812701,3098479
11.649,2812606,3098077
11.689,2813328,3099011
11.731,2813950,3100095
11.771,2814177,3100871
11.811,2813966,3100705
11.851,2813676,3100014
11.891,2813515,3099611
11.937,2813467,3099484
11.977,2813176,3099242
12.017,2813217,3099552
12.057,2813060,3099279
12.097,2812863,3098919
12.143,2812834,3098673
12.183,2812894,3098632
12.223,2813329,3099239
12.263,2813927,3100214
12.303,2813307,3099175
12.349,2813134,3098820
12.389,2813223,3098875
12.429,2813142,3098749
12.469,2812852,3098447
12.509,2812503,3098211
12.551,2812530,3098463
12.591,2812069,3097741
12.631,2811790,3097309
