Time (s),Red,IR
1075.491,2816722,3097091
1075.531,2816732,3097118
1075.571,2816758,3097162
1075.616,2816795,3097215
1075.656,2816842,3097323
1075.696,2816896,3097397
1075.736,2816915,3097455
1075.776,2816966,3097540
1075.819,2816968,3097593
1075.859,2816982,3097617
1075.899,2816954,3097653
1075.939,2816926,3097664
1075.979,2816929,3097676
1076.019,2816948,3097718
1076.024,2816967,3097792
1076.064,2816984,3097839
1076.104,2816975,3097730
1076.144,2816870,3097348
1076.184,2816729,3096955
1076.225,2816702,3096834
1076.265,2816717,3096800
1076.305,2816761,3096835
1076.345,2816789,3096957
1076.385,2816832,3097131
1076.425,2816849,3097215
1076.465,2816888,3097249
1076.505,2816898,3097273
1076.545,2816926,3097340
1076.585,2816942,3097425
1076.625,2816915,3097466
1076.665,2816965,3097555
1076.705,2816991,3097590
1076.745,2816972,3097622
1076.785,2816939,3097632
1076.829,2816943,3097672
1076.869,2816969,3097708
1076.909,2816957,3097703
1076.949,2816921,3097687
1076.989,2816966,3097751
1077.034,2817063,3097865
1077.074,2817179,3097985
1077.114,2817205,3097848
1077.154,2817091,3097412
1077.194,2817008,3097141
1077.235,2816939,3097051
1077.275,2816911,3097073
1077.315,2816977,3097159
1077.355,2817030,3097324
1077.395,2817091,3097533
1077.439,2817090,3097637
1077.479,2817089,3097688
1077.519,2817121,3097763
1077.559,2817151,3097821
1077.599,2817139,3097858
1077.642,2817145,3097906
1077.682,2817166,3097962
1077.722,2817203,3097996
1077.762,2817232,3098030
1077.802,2817289,3098097
1077.844,2817343,3098162
1077.884,2817356,3098182
1077.924,2817340,3098182
1077.964,2817329,3098206
1078.004,2817339,3098272
1078.047,2817341,3098253
1078.087,2817274,3098057
1078.127,2817162,3097670
1078.167,2817065,3097396
1078.207,2817020,3097305
1078.247,2817022,3097288
1078.287,2817056,3097351
1078.327,2817090,3097482
1078.367,2817110,3097610
1078.407,2817100,3097624
1078.453,2817111,3097691
1078.493,2817151,3097774
1078.533,2817204,3097886
1078.573,2817226,3097968
1078.613,2817255,3098051
1078.653,2817268,3098134
1078.655,2817286,3098158
1078.695,2817297,3098187
1078.735,2817313,3098234
1078.775,2817326,3098279
1078.815,2817336,3098300
1078.86,2817313,3098309
1078.9,2817303,3098298
1078.94,2817302,3098329
1078.98,2817326,3098354
1079.02,2817247,3098083
1079.065,2817116,3097650
1079.105,2817026,3097407
1079.145,2816995,3097308
1079.185,2817020,3097322
1079.225,2817022,3097356
1079.269,2817051,3097511
1079.309,2817105,3097664
1079.349,2817128,3097697
1079.389,2817142,3097741
1079.429,2817156,3097830
1079.474,2817198,3097929
1079.514,2817218,3097993
1079.554,2817201,3098016
1079.594,2817198,3098074
1079.634,2817249,3098155
1079.679,2817288,3098198
1079.719,2817299,3098282
1079.759,2817316,3098328
1079.799,2817331,3098385
1079.839,2817324,3098423
1079.884,2817352,3098494
1079.924,2817367,3098522
1079.964,2817355,3098523
1080.004,2817287,3098318
1080.044,2817169,3097896
1080.084,2817082,3097643
1080.09,2817049,3097532
1080.13,2817025,3097492
1080.17,2817015,3097498
1080.21,2817051,3097624
1080.25,2817097,3097815
1080.294,2817113,3097888
1080.334,2817133,3097917
1080.374,2817162,3097989
1080.414,2817182,3098058
1080.454,2817192,3098126
1080.501,2817221,3098218
1080.541,2817247,3098295
1080.581,2817253,3098316
1080.621,2817267,3098353
1080.661,2817283,3098395
1080.708,2817276,3098424
1080.748,2817285,3098454
1080.788,2817294,3098496
1080.828,2817298,3098538
1080.868,2817306,3098574
1080.915,2817294,3098597
1080.955,2817311,3098577
1080.995,2817224,3098330
1081.035,2817086,3097905
1081.075,2817007,3097694
1081.118,2816985,3097633
1081.158,2816964,3097610
1081.198,2816988,3097696
1081.238,2817069,3097889
1081.278,2817100,3098033
1081.322,2817131,3098138
1081.362,2817153,3098213
1081.402,2817189,3098296
1081.442,2817200,3098374
1081.482,2817212,3098408
1081.524,2817230,3098447
1081.564,2817246,3098489
1081.604,2817252,3098532
1081.644,2817269,3098585
1081.684,2817299,3098631
1081.726,2817305,3098673
1081.766,2817303,3098703
1081.806,2817312,3098738
1081.846,2817317,3098790
1081.886,2817358,3098837
1081.931,2817364,3098854
1081.971,2817303,3098652
1082.011,2817171,3098245
1082.051,2817075,3097994
1082.091,2817048,3097949
1082.136,2817051,3097967
1082.176,2817059,3098013
1082.216,2817104,3098177
1082.256,2817152,3098322
1082.296,2817172,3098366
1082.341,2817197,3098389
1082.381,2817201,3098454
1082.421,2817219,3098513
1082.461,2817234,3098566
1082.501,2817237,3098613
1082.545,2817256,3098648
1082.585,2817250,3098662
1082.625,2817249,3098681
1082.665,2817288,3098739
1082.705,2817286,3098774
1082.749,2817272,3098781
1082.789,2817285,3098813
1082.829,2817281,3098828
1082.869,2817281,3098869
1082.909,2817290,3098910
1082.953,2817307,3098917
1082.993,2817235,3098723
1083.033,2817096,3098331
1083.073,2816997,3098083
1083.113,2816983,3098029
1083.153,2816980,3098041
1083.159,2817004,3098107
1083.199,2817038,3098278
1083.239,2817079,3098402
1083.279,2817091,3098427
1083.319,2817100,3098458
1083.365,2817118,3098504
1083.405,2817139,3098579
1083.445,2817159,3098622
1083.485,2817162,3098678
1083.525,2817177,3098734
1083.569,2817221,3098779
1083.609,2817244,3098813
1083.649,2817231,3098844
1083.689,2817246,3098860
1083.729,2817247,3098902
1083.776,2817260,3098909
1083.816,2817287,3098983
1083.856,2817285,3098987
1083.896,2817265,3099007
1083.936,2817265,3098991
1083.978,2817182,3098727
1084.018,2817035,3098303
1084.058,2816934,3098065
1084.098,2816919,3098042
1084.138,2816949,3098051
1084.182,2816934,3098089
1084.222,2816979,3098242
1084.262,2817016,3098343
1084.302,2817024,3098390
1084.342,2817044,3098429
1084.384,2817052,3098486
1084.424,2817108,3098606
1084.464,2817131,3098667
1084.504,2817130,3098693
1084.544,2817138,3098730
1084.588,2817144,3098761
1084.628,2817121,3098740
1084.668,2817072,3098714
1084.708,2817098,3098771
1084.748,2817130,3098859
1084.788,2817133,3098876
1084.789,2817140,3098902
1084.829,2817172,3098980
1084.869,2817203,3099053
1084.909,2817195,3099028
1084.949,2817090,3098726
1084.993,2816914,3098270
1085.033,2816848,3098082
1085.073,2816825,3098072
1085.113,2816847,3098114
1085.153,2816888,3098183
1085.194,2816932,3098346
1085.234,2816971,3098475
1085.274,2816978,3098480
1085.314,2816957,3098494
1085.354,2816962,3098527
1085.397,2816988,3098609
1085.437,2817005,3098695
1085.477,2817025,3098747
1085.517,2817032,3098799
1085.557,2817063,3098845
1085.598,2817085,3098907
1085.638,2817093,3098949
1085.678,2817104,3098992
1085.718,2817127,3099035
1085.758,2817151,3099074
