Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC
17728,0.993977,59,548,1006,2.81674e+06,3.09936e+06
17768,0.993977,59,508,1006,2.81678e+06,3.09942e+06
17808,0.993977,59,468,1006,2.81681e+06,3.09948e+06
17852,0.993977,59,424,1006,2.81682e+06,3.0995e+06
17892,0.993977,59,384,1006,2.81682e+06,3.09955e+06
17932,0.993977,59,344,1006,2.81684e+06,3.09958e+06
17972,0.993977,59,304,1006,2.81684e+06,3.0996e+06
18012,0.993977,59,264,1006,2.81685e+06,3.09964e+06
18059,0.993977,59,217,1006,2.81687e+06,3.09967e+06
18099,0.993977,59,177,1006,2.81688e+06,3.09973e+06
18139,0.993977,59,137,1006,2.8169e+06,3.09975e+06
18179,0.993977,59,97,1006,2.81685e+06,3.09968e+06
18219,0.993977,59,57,1006,2.81673e+06,3.09934e+06
18262,0.993977,59,14,1006,2.81662e+06,3.09904e+06
18302,0.993977,59,980,1006,2.81658e+06,3.09894e+06
18342,0.993977,59,940,1006,2.81656e+06,3.09892e+06
18382,0.993977,59,900,1006,2.81658e+06,3.09893e+06
18422,0.993977,59,860,1006,2.8166e+06,3.09901e+06
18462,0.993977,59,820,1006,2.81662e+06,3.09912e+06
18467,0.995969,59,753,1004,2.81666e+06,3.09917e+06
18507,0.995969,59,713,1004,2.81666e+06,3.09918e+06
18547,0.995969,59,673,1004,2.81664e+06,3.09919e+06
18587,0.995969,59,633,1004,2.81667e+06,3.09923e+06
18627,0.995969,59,593,1004,2.81667e+06,3.0993e+06
18668,0.995969,59,552,1004,2.81668e+06,3.09935e+06
18708,0.995969,59,512,1004,2.81671e+06,3.09941e+06
18748,0.995969,59,472,1004,2.81674e+06,3.09944e+06
18788,0.995969,59,432,1004,2.81672e+06,3.09946e+06
18828,0.995969,59,392,1004,2.81674e+06,3.09951e+06
18871,0.995969,59,349,1004,2.81674e+06,3.09954e+06
18911,0.995969,59,309,1004,2.81675e+06,3.09959e+06
18951,0.995969,59,269,1004,2.81677e+06,3.09961e+06
18991,0.995969,59,229,1004,2.81677e+06,3.09964e+06
19031,0.995969,59,189,1004,2.81677e+06,3.09966e+06
19077,0.995969,59,143,1004,2.81677e+06,3.09968e+06
19117,0.995969,59,103,1004,2.81678e+06,3.09969e+06
19157,0.995969,59,63,1004,2.81671e+06,3.0995e+06
19197,0.995969,59,23,1004,2.81656e+06,3.09909e+06
19237,0.995969,59,987,1004,2.81648e+06,3.09893e+06
19280,0.995969,59,944,1004,2.81647e+06,3.09888e+06
19320,0.995969,59,904,1004,2.81647e+06,3.09889e+06
19360,0.995969,59,864,1004,2.81649e+06,3.09892e+06
19400,0.999278,59,750,1000,2.81651e+06,3.09903e+06
19440,0.999278,59,710,1000,2.81653e+06,3.09911e+06
19485,0.999278,59,665,1000,2.81653e+06,3.09911e+06
19525,0.999278,59,625,1000,2.81654e+06,3.09914e+06
19565,0.999278,59,585,1000,2.81655e+06,3.09918e+06
19605,0.999278,59,545,1000,2.81658e+06,3.09923e+06
19645,0.999278,59,505,1000,2.8166e+06,3.09929e+06
19691,0.999278,59,459,1000,2.81659e+06,3.09933e+06
19731,0.999278,59,419,1000,2.81662e+06,3.09937e+06
19771,0.999278,59,379,1000,2.81664e+06,3.09943e+06
19811,0.999278,59,339,1000,2.81665e+06,3.09944e+06
19851,0.999278,59,299,1000,2.81664e+06,3.09947e+06
19891,0.999278,59,259,1000,2.81668e+06,3.09955e+06
19931,0.999278,59,219,1000,2.8167e+06,3.09958e+06
19971,0.999278,59,179,1000,2.8167e+06,3.09962e+06
20011,0.999278,59,139,1000,2.81672e+06,3.09968e+06
20051,0.999278,59,99,1000,2.81675e+06,3.09974e+06
20096,0.999278,59,54,1000,2.81678e+06,3.0998e+06
20136,0.999278,59,14,1000,2.81673e+06,3.09965e+06
20176,0.999278,59,974,1000,2.81658e+06,3.09924e+06
20216,0.999278,59,934,1000,2.81648e+06,3.09902e+06
20256,0.999278,59,894,1000,2.81646e+06,3.09898e+06
20296,0.999278,59,854,1000,2.81646e+06,3.09898e+06
20297,0.999278,59,853,1000,2.81646e+06,3.09901e+06
20337,0.999278,59,813,1000,2.81651e+06,3.09911e+06
20377,0.999278,59,773,1000,2.81653e+06,3.09919e+06
20417,0.999278,59,733,1000,2.81655e+06,3.09921e+06
20457,0.999278,59,693,1000,2.81656e+06,3.09922e+06
20502,0.999278,59,648,1000,2.81656e+06,3.09928e+06
20542,0.988448,59,758,1011,2.81659e+06,3.09935e+06
20582,0.988448,59,718,1011,2.81662e+06,3.09942e+06
20622,0.988448,59,678,1011,2.81663e+06,3.09948e+06
20662,0.988448,59,638,1011,2.81667e+06,3.09952e+06
20708,0.988448,59,592,1011,2.81669e+06,3.09958e+06
20748,0.988448,59,552,1011,2.8167e+06,3.09962e+06
20788,0.988448,59,512,1011,2.81671e+06,3.09964e+06
20828,0.988448,59,472,1011,2.81674e+06,3.0997e+06
20868,0.988448,59,432,1011,2.81674e+06,3.09973e+06
20915,0.988448,59,385,1011,2.81675e+06,3.09975e+06
20955,0.988448,59,345,1011,2.81678e+06,3.0998e+06
20995,0.988448,59,305,1011,2.81679e+06,3.09983e+06
21035,0.988448,59,265,1011,2.81678e+06,3.09986e+06
21075,0.988448,59,225,1011,2.81674e+06,3.09971e+06
21122,0.988448,59,178,1011,2.81657e+06,3.09928e+06
21162,0.988448,59,138,1011,2.81649e+06,3.09903e+06
21202,0.988448,59,98,1011,2.81644e+06,3.09896e+06
21242,0.988448,59,58,1011,2.81645e+06,3.09893e+06
21282,0.988448,59,18,1011,2.81646e+06,3.09895e+06
21325,0.988448,59,986,1011,2.81647e+06,3.09902e+06
21365,1.00769,60,744,992,2.8165e+06,3.09912e+06
21405,1.00769,60,704,992,2.81649e+06,3.09915e+06
21445,1.00769,60,664,992,2.8165e+06,3.09915e+06
21485,1.00769,60,624,992,2.81654e+06,3.09921e+06
21530,1.00769,60,579,992,2.81656e+06,3.09926e+06
21570,1.00769,60,539,992,2.81658e+06,3.09933e+06
21610,1.00769,60,499,992,2.81661e+06,3.0994e+06
21650,1.00769,60,459,992,2.81663e+06,3.09945e+06
21690,1.00769,60,419,992,2.81663e+06,3.09951e+06
21730,1.00769,60,379,992,2.81666e+06,3.09955e+06
21733,1.00769,60,376,992,2.81668e+06,3.09958e+06
21773,1.00769,60,336,992,2.81668e+06,3.09962e+06
21813,1.00769,60,296,992,2.81668e+06,3.09965e+06
21853,1.00769,60,256,992,2.81672e+06,3.09971e+06
21893,1.00769,60,216,992,2.81674e+06,3.09976e+06
21937,1.00769,60,172,992,2.81675e+06,3.09979e+06
21977,1.00769,60,132,992,2.81676e+06,3.09986e+06
22017,1.00769,60,92,992,2.81677e+06,3.09986e+06
22057,1.00769,60,52,992,2.81668e+06,3.09959e+06
22097,1.00769,60,12,992,2.81653e+06,3.09918e+06
22141,1.00769,60,960,992,2.81645e+06,3.09901e+06
22181,1.00769,60,920,992,2.81643e+06,3.09897e+06
22221,1.00769,60,880,992,2.81645e+06,3.09897e+06
22261,1.00769,60,840,992,2.81643e+06,3.09898e+06
22301,1.00769,60,800,992,2.81647e+06,3.09911e+06
22345,1.00341,60,747,996,2.81652e+06,3.09923e+06
22385,1.00341,60,707,996,2.81652e+06,3.09923e+06
22425,1.00341,60,667,996,2.81652e+06,3.09924e+06
22465,1.00341,60,627,996,2.81655e+06,3.0993e+06
22505,1.00341,60,587,996,2.81658e+06,3.09936e+06
22550,1.00341,60,542,996,2.8166e+06,3.09944e+06
22590,1.00341,60,502,996,2.81662e+06,3.09951e+06
22630,1.00341,60,462,996,2.81665e+06,3.09957e+06
22670,1.00341,60,422,996,2.81667e+06,3.09961e+06
22710,1.00341,60,382,996,2.81667e+06,3.09965e+06
22751,1.00341,60,341,996,2.81669e+06,3.09968e+06
22791,1.00341,60,301,996,2.8167e+06,3.09974e+06
22831,1.00341,60,261,996,2.81671e+06,3.09979e+06
22871,1.00341,60,221,996,2.81675e+06,3.09985e+06
22911,1.00341,60,181,996,2.81677e+06,3.09988e+06
22953,1.00341,60,139,996,2.81676e+06,3.09992e+06
22993,1.00341,60,99,996,2.81678e+06,3.09997e+06
23033,1.00341,60,59,996,2.81678e+06,3.09994e+06
23073,1.00341,60,19,996,2.81665e+06,3.09961e+06
23113,1.00341,60,975,996,2.81651e+06,3.09924e+06
23154,1.00341,60,934,996,2.81644e+06,3.09909e+06
23194,1.00341,60,894,996,2.81644e+06,3.09904e+06
23234,1.00341,60,854,996,2.81644e+06,3.09902e+06
23274,1.00341,60,814,996,2.81644e+06,3.09905e+06
23314,1.00341,60,774,996,2.81648e+06,3.09918e+06
23357,1.00148,60,748,998,2.81652e+06,3.09926e+06
23397,1.00148,60,708,998,2.81651e+06,3.09926e+06
23437,1.00148,60,668,998,2.81652e+06,3.09929e+06
23477,1.00148,60,628,998,2.81655e+06,3.09935e+06
23517,1.00148,60,588,998,2.81656e+06,3.09942e+06
23560,1.00148,60,545,998,2.81658e+06,3.09947e+06
23600,1.00148,60,505,998,2.81659e+06,3.09954e+06
23640,1.00148,60,465,998,2.81662e+06,3.09962e+06
23680,1.00148,60,425,998,2.81664e+06,3.09968e+06
23720,1.00148,60,385,998,2.81667e+06,3.09972e+06
23765,1.00148,60,340,998,2.81668e+06,3.09976e+06
23805,1.00148,60,300,998,2.81668e+06,3.09979e+06
23845,1.00148,60,260,998,2.81667e+06,3.09983e+06
23885,1.00148,60,220,998,2.8167e+06,3.09987e+06
23925,1.00148,60,180,998,2.81672e+06,3.0999e+06
23965,1.00148,60,140,998,2.81672e+06,3.09994e+06
23970,1.00148,60,135,998,2.81672e+06,3.09997e+06
24010,1.00148,60,95,998,2.81673e+06,3.09995e+06
24050,1.00148,60,55,998,2.81662e+06,3.09961e+06
24090,1.00148,60,15,998,2.81645e+06,3.0992e+06
24130,1.00148,60,973,998,2.81638e+06,3.09906e+06
24174,1.00148,60,929,998,2.81637e+06,3.09904e+06
24214,1.00148,60,889,998,2.81637e+06,3.09904e+06
24254,1.00148,60,849,998,2.81639e+06,3.09908e+06
24294,1.00608,60,744,993,2.81643e+06,3.0992e+06
24334,1.00608,60,704,993,2.81646e+06,3.09926e+06
24376,1.00608,60,662,993,2.81644e+06,3.09927e+06
24416,1.00608,60,622,993,2.81647e+06,3.09931e+06
24456,1.00608,60,582,993,2.8165e+06,3.09937e+06
24496,1.00608,60,542,993,2.81652e+06,3.09944e+06
24536,1.00608,60,502,993,2.81653e+06,3.09951e+06
24577,1.00608,60,461,993,2.81655e+06,3.09958e+06
24617,1.00608,60,421,993,2.81658e+06,3.09965e+06
24657,1.00608,60,381,993,2.81659e+06,3.09969e+06
24697,1.00608,60,341,993,2.81661e+06,3.09973e+06
24737,1.00608,60,301,993,2.81663e+06,3.09979e+06
24779,1.00608,60,259,993,2.81664e+06,3.09983e+06
24819,1.00608,60,219,993,2.81667e+06,3.09987e+06
24859,1.00608,60,179,993,2.81667e+06,3.09991e+06
24899,1.00608,60,139,993,2.8167e+06,3.09997e+06
24939,1.00608,60,99,993,2.81674e+06,3.10003e+06
24982,1.00608,60,56,993,2.81675e+06,3.10004e+06
25022,1.00608,60,16,993,2.81669e+06,3.09987e+06
25062,1.00608,60,969,993,2.81651e+06,3.09943e+06
25102,1.00608,60,929,993,2.81643e+06,3.0992e+06
25142,1.00608,60,889,993,2.81641e+06,3.09914e+06
25184,1.00608,60,847,993,2.81641e+06,3.09914e+06
25224,1.00608,60,807,993,2.81641e+06,3.09916e+06
25264,1.00608,60,767,993,2.81646e+06,3.09927e+06
25304,1.00608,60,727,993,2.8165e+06,3.09938e+06
25344,1.00608,60,687,993,2.81651e+06,3.0994e+06
25390,1.00608,60,641,993,2.8165e+06,3.09939e+06
25430,0.99557,59,753,1004,2.81654e+06,3.09947e+06
25470,0.99557,59,713,1004,2.81656e+06,3.09952e+06
25510,0.99557,59,673,1004,2.81658e+06,3.09958e+06
25550,0.99557,59,633,1004,2.81662e+06,3.09966e+06
25594,0.99557,59,589,1004,2.81663e+06,3.09972e+06
25634,0.99557,59,549,1004,2.81665e+06,3.09977e+06
25674,0.99557,59,509,1004,2.81669e+06,3.09983e+06
25714,0.99557,59,469,1004,2.81668e+06,3.09986e+06
25754,0.99557,59,429,1004,2.81671e+06,3.0999e+06
25800,0.99557,59,383,1004,2.81674e+06,3.09998e+06
25840,0.99557,59,343,1004,2.81676e+06,3.10003e+06
25880,0.99557,59,303,1004,2.81678e+06,3.10007e+06
25920,0.99557,59,263,1004,2.8168e+06,3.10011e+06
25960,0.99557,59,223,1004,2.81677e+06,3.10005e+06
26002,0.99557,59,181,1004,2.81662e+06,3.09964e+06
26042,0.99557,59,141,1004,2.81648e+06,3.09927e+06
26082,0.99557,59,101,1004,2.81642e+06,3.09915e+06
26122,0.99557,59,61,1004,2.8164e+06,3.09911e+06
26162,0.99557,59,21,1004,2.81642e+06,3.09912e+06
26208,0.99557,59,979,1004,2.81641e+06,3.09914e+06
26248,0.99557,59,939,1004,2.81646e+06,3.09926e+06
26288,1.01055,60,741,989,2.81647e+06,3.09933e+06
26328,1.01055,60,701,989,2.81648e+06,3.09934e+06
26368,1.01055,60,661,989,2.81651e+06,3.09939e+06
26415,1.01055,60,614,989,2.81654e+06,3.09945e+06
26455,1.01055,60,574,989,2.81656e+06,3.09951e+06
26495,1.01055,60,534,989,2.81659e+06,3.09959e+06
26535,1.01055,60,494,989,2.81661e+06,3.09967e+06
26575,1.01055,60,454,989,2.81664e+06,3.09973e+06
26617,1.01055,60,412,989,2.81666e+06,3.09979e+06
26657,1.01055,60,372,989,2.81669e+06,3.09984e+06
26697,1.01055,60,332,989,2.81672e+06,3.09988e+06
26737,1.01055,60,292,989,2.81672e+06,3.09992e+06
26777,1.01055,60,252,989,2.81673e+06,3.09996e+06
26822,1.01055,60,207,989,2.81675e+06,3.1e+06
26862,1.01055,60,167,989,2.81678e+06,3.10006e+06
26902,1.01055,60,127,989,2.81679e+06,3.1001e+06
26942,1.01055,60,87,989,2.8168e+06,3.10011e+06
26982,1.01055,60,47,989,2.81677e+06,3.10003e+06
27024,1.01055,60,5,989,2.81661e+06,3.09961e+06
27064,1.01055,60,954,989,2.81648e+06,3.09928e+06
27104,1.01055,60,914,989,2.81642e+06,3.09917e+06
27144,1.01055,60,874,989,2.81641e+06,3.09913e+06
27184,1.01055,60,834,989,2.81641e+06,3.09913e+06
27229,1.01055,60,789,989,2.81642e+06,3.09916e+06
27269,1.01055,60,749,989,2.81647e+06,3.09928e+06
27309,1.00455,60,746,995,2.81648e+06,3.09936e+06
27349,1.00455,60,706,995,2.8165e+06,3.09938e+06
27389,1.00455,60,666,995,2.81652e+06,3.09942e+06
27433,1.00455,60,622,995,2.81657e+06,3.09955e+06
27473,1.00455,60,582,995,2.81657e+06,3.09962e+06
27513,1.00455,60,542,995,2.81662e+06,3.09971e+06
27553,1.00455,60,502,995,2.81666e+06,3.09977e+06
27593,1.00455,60,462,995,2.81667e+06,3.09981e+06
27638,1.00455,60,417,995,2.81667e+06,3.09984e+06
27678,1.00455,60,377,995,2.81669e+06,3.0999e+06
27718,1.00455,60,337,995,2.81672e+06,3.09995e+06
27758,1.00455,60,297,995,2.81675e+06,3.09998e+06
27798,1.00455,60,257,995,2.81674e+06,3.10001e+06
27839,1.00455,60,216,995,2.81676e+06,3.10008e+06
27879,1.00455,60,176,995,2.8168e+06,3.10012e+06
27919,1.00455,60,136,995,2.8168e+06,3.10014e+06
27959,1.00455,60,96,995,2.81678e+06,3.10015e+06
27999,1.00455,60,56,995,2.81671e+06,3.09989e+06
28040,1.00455,60,15,995,2.81653e+06,3.09943e+06
28080,1.00455,60,970,995,2.81645e+06,3.09924e+06
28120,1.00455,60,930,995,2.81643e+06,3.09916e+06
28160,1.00455,60,890,995,2.81641e+06,3.09915e+06
28200,1.00455,60,850,995,2.81642e+06,3.09913e+06
28245,1.00455,60,805,995,2.81642e+06,3.09923e+06
28285,1.00615,60,744,993,2.81647e+06,3.09933e+06
28325,1.00615,60,704,993,2.81648e+06,3.09935e+06
28365,1.00615,60,664,993,2.8165e+06,3.0994e+06
28405,1.00615,60,624,993,2.81653e+06,3.09944e+06
28447,1.00615,60,582,993,2.81654e+06,3.09949e+06
28487,1.00615,60,542,993,2.81655e+06,3.09957e+06
28527,1.00615,60,502,993,2.8166e+06,3.09965e+06
28567,1.00615,60,462,993,2.81663e+06,3.09971e+06
28607,1.00615,60,422,993,2.81664e+06,3.09974e+06
28653,1.00615,60,376,993,2.81665e+06,3.0998e+06
28693,1.00615,60,336,993,2.81667e+06,3.09984e+06
28733,1.00615,60,296,993,2.81669e+06,3.09989e+06
28773,1.00615,60,256,993,2.8167e+06,3.09992e+06
28813,1.00615,60,216,993,2.81671e+06,3.09997e+06
28856,1.00615,60,173,993,2.81673e+06,3.09999e+06
28896,1.00615,60,133,993,2.81676e+06,3.10004e+06
28936,1.00615,60,93,993,2.81677e+06,3.10008e+06
28976,1.00615,60,53,993,2.8168e+06,3.10011e+06
29016,1.00615,60,13,993,2.81676e+06,3.10006e+06
29063,1.00615,60,959,993,2.8166e+06,3.09963e+06
29103,1.00615,60,919,993,2.81645e+06,3.09925e+06
29143,1.00615,60,879,993,2.81642e+06,3.09915e+06
29183,1.00615,60,839,993,2.81638e+06,3.0991e+06
29223,1.00615,60,799,993,2.81638e+06,3.09905e+06
29263,1.00615,60,759,993,2.8164e+06,3.09911e+06
29266,1.00615,60,756,993,2.81644e+06,3.09922e+06
29306,1.00337,60,747,996,2.81645e+06,3.09928e+06
29346,1.00337,60,707,996,2.81646e+06,3.0993e+06
29386,1.00337,60,667,996,2.81648e+06,3.09934e+06
29426,1.00337,60,627,996,2.81648e+06,3.09941e+06
29470,1.00337,60,583,996,2.8165e+06,3.09948e+06
29510,1.00337,60,543,996,2.81655e+06,3.09954e+06
29550,1.00337,60,503,996,2.81656e+06,3.09958e+06
29590,1.00337,60,463,996,2.81658e+06,3.09964e+06
29630,1.00337,60,423,996,2.8166e+06,3.0997e+06
29674,1.00337,60,379,996,2.8166e+06,3.09972e+06
29714,1.00337,60,339,996,2.81662e+06,3.09979e+06
29754,1.00337,60,299,996,2.81666e+06,3.09987e+06
29794,1.00337,60,259,996,2.81669e+06,3.09994e+06
29834,1.00337,60,219,996,2.8167e+06,3.09998e+06
29875,1.00337,60,178,996,2.81671e+06,3.10001e+06
29915,1.00337,60,138,996,2.81674e+06,3.10008e+06
29955,1.00337,60,98,996,2.81677e+06,3.10014e+06
29995,1.00337,60,58,996,2.81677e+06,3.10014e+06
30035,1.00337,60,18,996,2.8167e+06,3.09997e+06
30079,1.00337,60,970,996,2.81652e+06,3.09951e+06
30119,1.00337,60,930,996,2.81641e+06,3.09922e+06
30159,1.00337,60,890,996,2.81638e+06,3.09915e+06
30199,1.00337,60,850,996,2.81636e+06,3.09914e+06
30239,1.00337,60,810,996,2.81636e+06,3.09913e+06
30282,1.00337,60,767,996,2.81639e+06,3.09921e+06
30322,1.00337,60,727,996,2.81644e+06,3.09934e+06
30362,0.999277,59,750,1000,2.81645e+06,3.09934e+06
30402,0.999277,59,710,1000,2.81644e+06,3.09935e+06
30442,0.999277,59,670,1000,2.81647e+06,3.0994e+06
30488,0.999277,59,624,1000,2.8165e+06,3.09947e+06
30528,0.999277,59,584,1000,2.81653e+06,3.09954e+06
30568,0.999277,59,544,1000,2.81656e+06,3.09961e+06
30608,0.999277,59,504,1000,2.81656e+06,3.09967e+06
30648,0.999277,59,464,1000,2.81659e+06,3.09973e+06
30692,0.999277,59,420,1000,2.81661e+06,3.09978e+06
30732,0.999277,59,380,1000,2.81664e+06,3.09983e+06
30772,0.999277,59,340,1000,2.81665e+06,3.09988e+06
30812,0.999277,59,300,1000,2.81665e+06,3.09992e+06
30852,0.999277,59,260,1000,2.81669e+06,3.09997e+06
30892,0.999277,59,220,1000,2.8167e+06,3.10002e+06
30932,0.999277,59,180,1000,2.81672e+06,3.10006e+06
30972,0.999277,59,140,1000,2.81674e+06,3.1001e+06
31012,0.999277,59,100,1000,2.81675e+06,3.10014e+06
31052,0.999277,59,60,1000,2.81671e+06,3.10001e+06
31097,0.999277,59,15,1000,2.81653e+06,3.09958e+06
31137,0.999277,59,975,1000,2.8164e+06,3.09927e+06
31177,0.999277,59,935,1000,2.81636e+06,3.09919e+06
31217,0.999277,59,895,1000,2.81636e+06,3.09918e+06
31257,0.999277,59,855,1000,2.81635e+06,3.09918e+06
31297,0.999277,59,815,1000,2.8164e+06,3.09929e+06
31303,0.999277,59,809,1000,2.81644e+06,3.09939e+06
31343,1.00119,60,748,998,2.81644e+06,3.09942e+06
31383,1.00119,60,708,998,2.81644e+06,3.09944e+06
31423,1.00119,60,668,998,2.81648e+06,3.09949e+06
31463,1.00119,60,628,998,2.81651e+06,3.09957e+06
31503,1.00119,60,588,998,2.81652e+06,3.09965e+06
31543,1.00119,60,548,998,2.81658e+06,3.09973e+06
31583,1.00119,60,508,998,2.81661e+06,3.0998e+06
31623,1.00119,60,468,998,2.81664e+06,3.09986e+06
31663,1.00119,60,428,998,2.81665e+06,3.09989e+06
31706,1.00119,60,385,998,2.81667e+06,3.09993e+06
31746,1.00119,60,345,998,2.8167e+06,3.09999e+06
31786,1.00119,60,305,998,2.81672e+06,3.10003e+06
31826,1.00119,60,265,998,2.81672e+06,3.10007e+06
31866,1.00119,60,225,998,2.81674e+06,3.10012e+06
31906,1.00119,60,185,998,2.81676e+06,3.10016e+06
31946,1.00119,60,145,998,2.81679e+06,3.10021e+06
31986,1.00119,60,105,998,2.81679e+06,3.1002e+06
32026,1.00119,60,65,998,2.81667e+06,3.09985e+06
32066,1.00119,60,25,998,2.8165e+06,3.09942e+06
32106,1.00119,60,983,998,2.81642e+06,3.09925e+06
32146,1.00119,60,943,998,2.8164e+06,3.09921e+06
32186,1.00119,60,903,998,2.81641e+06,3.09922e+06
32226,1.00119,60,863,998,2.81641e+06,3.09924e+06
32266,1.00119,60,823,998,2.81645e+06,3.09935e+06
32313,1.00119,60,776,998,2.81647e+06,3.09944e+06
32353,0.999336,59,750,1000,2.8165e+06,3.09946e+06
32393,0.999336,59,710,1000,2.8165e+06,3.09947e+06
32433,0.999336,59,670,1000,2.81652e+06,3.09955e+06
32473,0.999336,59,630,1000,2.81654e+06,3.09962e+06
32517,0.999336,59,586,1000,2.81658e+06,3.0997e+06
32557,0.999336,59,546,1000,2.8166e+06,3.09977e+06
32597,0.999336,59,506,1000,2.81665e+06,3.09987e+06
32637,0.999336,59,466,1000,2.81668e+06,3.09991e+06
32677,0.999336,59,426,1000,2.8167e+06,3.09996e+06
32719,0.999336,59,384,1000,2.8167e+06,3.10001e+06
32759,0.999336,59,344,1000,2.81674e+06,3.10007e+06
32799,0.999336,59,304,1000,2.81678e+06,3.10013e+06
32839,0.999336,59,264,1000,2.8168e+06,3.10018e+06
32879,0.999336,59,224,1000,2.81682e+06,3.10023e+06
32925,0.999336,59,178,1000,2.81685e+06,3.10026e+06
32965,0.999336,59,138,1000,2.81686e+06,3.1003e+06
33005,0.999336,59,98,1000,2.81682e+06,3.1002e+06
33045,0.999336,59,58,1000,2.81665e+06,3.09974e+06
33085,0.999336,59,18,1000,2.81649e+06,3.09937e+06
33130,0.999336,59,973,1000,2.81643e+06,3.09927e+06
33170,0.999336,59,933,1000,2.81642e+06,3.09922e+06
33210,0.999336,59,893,1000,2.81643e+06,3.09921e+06
33250,0.999336,59,853,1000,2.81645e+06,3.09925e+06
33290,0.999336,59,813,1000,2.81648e+06,3.09937e+06
33330,1.00066,60,749,999,2.8165e+06,3.09942e+06
33335,1.00066,60,744,999,2.8165e+06,3.09944e+06
33375,1.00066,60,704,999,2.81653e+06,3.09948e+06
33415,1.00066,60,664,999,2.81655e+06,3.09953e+06
33455,1.00066,60,624,999,2.81656e+06,3.0996e+06
33495,1.00066,60,584,999,2.81659e+06,3.09968e+06
33537,1.00066,60,542,999,2.81662e+06,3.09976e+06
33577,1.00066,60,502,999,2.81666e+06,3.09982e+06
33617,1.00066,60,462,999,2.81666e+06,3.09985e+06
33657,1.00066,60,422,999,2.81669e+06,3.09989e+06
33697,1.00066,60,382,999,2.8167e+06,3.09996e+06
33741,1.00066,60,338,999,2.81672e+06,3.1e+06
33781,1.00066,60,298,999,2.81675e+06,3.10006e+06
33821,1.00066,60,258,999,2.81678e+06,3.10011e+06
33861,1.00066,60,218,999,2.81678e+06,3.10014e+06
33901,1.00066,60,178,999,2.81681e+06,3.10022e+06
33944,1.00066,60,135,999,2.81684e+06,3.10026e+06
33984,1.00066,60,95,999,2.8168e+06,3.10017e+06
34024,1.00066,60,55,999,2.81663e+06,3.09971e+06
34064,1.00066,60,15,999,2.81649e+06,3.09934e+06
34104,1.00066,60,974,999,2.81642e+06,3.09924e+06
34144,1.00066,60,934,999,2.8164e+06,3.09914e+06
34184,1.00066,60,894,999,2.81637e+06,3.0991e+06
34224,1.00066,60,854,999,2.8164e+06,3.09913e+06
34264,1.00066,60,814,999,2.81641e+06,3.09921e+06
34304,1.00146,60,748,998,2.8164e+06,3.09922e+06
34352,1.00146,60,700,998,2.81639e+06,3.09923e+06
34392,1.00146,60,660,998,2.81642e+06,3.09928e+06
34432,1.00146,60,620,998,2.81644e+06,3.09934e+06
34472,1.00146,60,580,998,2.81648e+06,3.09943e+06
34512,1.00146,60,540,998,2.81654e+06,3.09955e+06
34557,1.00146,60,495,998,2.81657e+06,3.09967e+06
34597,1.00146,60,455,998,2.81665e+06,3.09977e+06
34637,1.00146,60,415,998,2.81668e+06,3.09984e+06
34677,1.00146,60,375,998,2.81672e+06,3.09988e+06
34717,1.00146,60,335,998,2.81676e+06,3.09994e+06
34761,1.00146,60,291,998,2.81676e+06,3.1e+06
34801,1.00146,60,251,998,2.81676e+06,3.10002e+06
34841,1.00146,60,211,998,2.8168e+06,3.10007e+06
34881,1.00146,60,171,998,2.81683e+06,3.10012e+06
34921,1.00146,60,131,998,2.81686e+06,3.10018e+06
34962,1.00146,60,90,998,2.81689e+06,3.10013e+06
35002,1.00146,60,50,998,2.81672e+06,3.09968e+06
35042,1.00146,60,10,998,2.81656e+06,3.09932e+06
35082,1.00146,60,968,998,2.81652e+06,3.09923e+06
35122,1.00146,60,928,998,2.81648e+06,3.0992e+06
35165,1.00146,60,885,998,2.81644e+06,3.09918e+06
35205,1.00146,60,845,998,2.81646e+06,3.09926e+06
35245,1.00146,60,805,998,2.81655e+06,3.09944e+06
35285,1.00146,60,765,998,2.8166e+06,3.09954e+06
35325,1.00146,60,725,998,2.81662e+06,3.09955e+06
35371,1.00146,60,679,998,2.81663e+06,3.09958e+06
35411,1.00146,60,639,998,2.81665e+06,3.09961e+06
35451,0.991282,59,756,1008,2.81667e+06,3.09968e+06
35491,0.991282,59,716,1008,2.81669e+06,3.09974e+06
35531,0.991282,59,676,1008,2.81673e+06,3.09982e+06
35573,0.991282,59,634,1008,2.81677e+06,3.09988e+06
35613,0.991282,59,594,1008,2.8168e+06,3.09994e+06
35653,0.991282,59,554,1008,2.81682e+06,3.10002e+06
35693,0.991282,59,514,1008,2.81685e+06,3.10009e+06
35733,0.991282,59,474,1008,2.81689e+06,3.10016e+06
35779,0.991282,59,428,1008,2.81691e+06,3.10022e+06
35819,0.991282,59,388,1008,2.81696e+06,3.10029e+06
35859,0.991282,59,348,1008,2.81701e+06,3.10035e+06
35899,0.991282,59,308,1008,2.81702e+06,3.10041e+06
35939,0.991282,59,268,1008,2.81702e+06,3.10041e+06
35982,0.991282,59,225,1008,2.81693e+06,3.10017e+06
36022,0.991282,59,185,1008,2.81672e+06,3.09971e+06
36062,0.991282,59,145,1008,2.81665e+06,3.09952e+06
