Time (ms),Estimated HR (Hz),Estimated HR (bpm),Time to next peak (ms),Heart rate pulse interval (ms),Red LED ADC,IR LED ADC
3778,0.991399,59,672,1008,2.81705e+06,3.09751e+06
3818,0.991399,59,632,1008,2.8171e+06,3.09766e+06
3858,0.991399,59,592,1008,2.81713e+06,3.0977e+06
3898,0.991399,59,552,1008,2.81714e+06,3.09774e+06
3938,0.991399,59,512,1008,2.81716e+06,3.09783e+06
3983,0.991399,59,467,1008,2.8172e+06,3.09793e+06
4023,0.991399,59,427,1008,2.81722e+06,3.09799e+06
4063,0.991399,59,387,1008,2.8172e+06,3.09802e+06
4103,0.991399,59,347,1008,2.8172e+06,3.09807e+06
4143,0.991399,59,307,1008,2.81725e+06,3.09816e+06
4188,0.991399,59,262,1008,2.81729e+06,3.0982e+06
4228,0.991399,59,222,1008,2.8173e+06,3.09828e+06
4268,0.991399,59,182,1008,2.81732e+06,3.09833e+06
4308,0.991399,59,142,1008,2.81733e+06,3.09838e+06
4348,0.991399,59,102,1008,2.81732e+06,3.09842e+06
4393,0.991399,59,57,1008,2.81735e+06,3.09849e+06
4433,0.991399,59,17,1008,2.81737e+06,3.09852e+06
4473,0.991399,59,985,1008,2.81736e+06,3.09852e+06
4513,0.991399,59,945,1008,2.81729e+06,3.09832e+06
4553,0.991399,59,905,1008,2.81717e+06,3.0979e+06
4593,0.991399,59,865,1008,2.81708e+06,3.09764e+06
4599,0.991399,59,859,1008,2.81705e+06,3.09753e+06
4639,0.991399,59,819,1008,2.81702e+06,3.09749e+06
4679,0.991399,59,779,1008,2.81702e+06,3.0975e+06
4719,0.991399,59,739,1008,2.81705e+06,3.09762e+06
4759,0.991399,59,699,1008,2.8171e+06,3.09782e+06
4803,0.979118,58,765,1021,2.81711e+06,3.09789e+06
4843,0.979118,58,725,1021,2.81713e+06,3.09792e+06
4883,0.979118,58,685,1021,2.81716e+06,3.09799e+06
4923,0.979118,58,645,1021,2.81718e+06,3.09806e+06
4963,0.979118,58,605,1021,2.81719e+06,3.09813e+06
5010,0.979118,58,558,1021,2.81722e+06,3.09822e+06
5050,0.979118,58,518,1021,2.81725e+06,3.0983e+06
5090,0.979118,58,478,1021,2.81725e+06,3.09832e+06
5130,0.979118,58,438,1021,2.81727e+06,3.09835e+06
5170,0.979118,58,398,1021,2.81728e+06,3.0984e+06
5217,0.979118,58,351,1021,2.81728e+06,3.09842e+06
