Time (s),Red,IR
1.07,868979,869005
1.11,1980010,1978879
1.15,1995894,1990846
1.19,1996736,1991004
1.23,1997307,1990842
1.28,1997484,1990470
1.32,1997495,1990032
1.36,1997012,1989403
1.40,1996556,1989075
1.44,1996896,1989355
1.49,1997179,1989585
1.53,1997162,1989651
1.57,1996507,1989539
1.61,1995664,1989506
1.65,1995041,1989593
1.69,1994572,1989669
1.73,1993831,1989563
1.77,1993095,1989512
1.81,1992983,1989739
1.85,1992891,1989851
1.89,1992671,1989893
1.93,1992484,1990092
1.97,1992182,1990138
2.01,1992041,1990151
2.05,1992052,1990335
2.11,1991791,1990395
2.15,1991695,1990521
2.19,1991658,1990275
2.23,1991457,1989745
2.27,1991206,1989493
2.31,1991158,1989524
2.35,1991116,1989529
2.39,1990899,1989367
2.43,1990911,1989645
2.47,1990853,1989706
2.53,1990662,1989741
2.57,1990715,1990017
2.61,1990671,1990215
2.65,1990570,1990284
2.69,1990627,1990409
2.73,1990498,1990443
2.77,1990392,1990488
2.81,1990430,1990692
2.85,1990450,1990892
2.89,1990406,1991033
2.95,1990389,1991239
2.99,1990440,1991446
3.03,1990444,1991628
3.07,1990473,1991797
3.11,1990511,1991909
3.17,1990395,1991676
3.21,1990182,1991210
3.25,1990099,1990914
3.29,1990008,1990738
3.33,1990000,1990720
3.37,1989973,1990776
3.37,1989976,1990869
3.41,1990036,1991062
3.45,1990104,1991226
3.49,1990070,1991292
3.53,1990081,1991379
3.59,1990138,1991623
3.63,1990145,1991874
3.67,1990173,1992019
3.71,1990196,1992135
3.75,1990179,1992227
3.79,1990227,1992510
3.83,1990322,1992793
3.87,1990357,1992922
3.91,1990365,1993062
3.95,1990418,1993287
4.00,1990493,1993494
4.04,1990465,1993552
4.08,1990524,1993756
4.12,1990547,1993793
4.16,1990325,1993307
4.21,1990112,1992790
4.25,1990075,1992604
4.29,1989964,1992403
4.33,1989865,1992261
4.38,1989835,1992305
4.42,1989824,1992385
4.42,1989804,1992435
4.46,1989869,1992610
4.50,1989860,1992623
4.54,1989855,1992680
4.58,1989875,1992810
4.64,1989981,1993091
4.68,1990000,1993254
4.72,1990109,1993491
4.76,1990167,1993713
4.80,1990293,1993965
4.86,1990335,1994143
4.90,1990287,1994210
4.94,1990389,1994425
4.98,1990465,1994562
5.02,1990477,1994652
5.06,1990519,1994834
5.06,1990605,1995015
5.10,1990557,1994835
5.14,1990339,1994271
5.18,1990099,1993721
5.22,1990021,1993522
5.28,1989937,1993416
5.32,1989900,1993454
5.36,1989994,1993689
5.40,1989975,1993724
5.44,1989904,1993671
5.50,1989914,1993734
5.54,1989900,1993783
5.58,1989956,1993959
5.62,1989952,1994054
5.66,1990003,1994206
5.70,1990078,1994311
5.72,1990151,1994395
5.76,1990140,1994596
5.80,1990139,1994730
5.84,1990174,1994862
5.88,1990282,1995024
5.94,1990347,1995224
5.98,1990237,1995158
6.02,1990305,1995322
6.06,1990362,1995466
6.10,1990262,1995254
6.14,1990028,1994626
6.14,1989869,1994102
6.18,1989684,1993683
6.22,1989519,1993327
6.26,1989553,1993442
6.30,1989590,1993603
6.36,1989476,1993517
6.40,1989440,1993528
6.44,1989541,1993754
6.48,1989608,1993918
6.52,1989560,1993950
6.58,1989606,1994106
6.62,1989629,1994227
6.67,1989733,1994375
6.71,1989594,1994441
6.75,1989576,1994357
6.79,1989586,1994421
6.81,1989619,1994469
6.85,1989623,1994571
6.89,1989715,1994699
6.93,1989711,1994816
6.97,1989699,1994864
7.03,1989785,1995049
7.07,1989735,1994913
7.11,1989482,1994284
7.15,1989218,1993633
7.19,1989006,1993118
7.23,1988900,1992865
7.27,1988841,1992949
